t,v,vw,o,c,h,l,n
2023-05-01 13:30:00,13427,555.9898,555.99,556.62,556.62,555.99,113
2023-05-01 13:31:00,6511,556.3246,556.71,555.0,556.81,555.0,162
2023-05-01 13:32:00,5185,554.5504,555.08,554.045,555.675,553.525,130
2023-05-01 13:33:00,7334,553.4809,554.45,553.2011,554.59,552.36,223
2023-05-01 13:34:00,4744,553.2814,553.61,553.22,553.62,553.01,137
2023-05-01 13:35:00,3828,552.5093,553.29,551.715,553.29,551.715,130
2023-05-01 13:36:00,8799,551.8416,550.95,552.045,552.1,550.95,181
2023-05-01 13:37:00,8355,551.9162,552.34,552.14,552.465,551.385,231
2023-05-01 13:38:00,15471,552.1497,552.2,552.0148,552.55,551.96,196
2023-05-01 13:39:00,11781,552.4454,552.445,551.71,553.03,551.475,237
2023-05-01 13:40:00,9838,551.8813,551.67,552.115,552.43,551.26,265
2023-05-01 13:41:00,4226,551.787,552.115,550.92,552.115,550.78,130
2023-05-01 13:42:00,1627,550.8755,550.81,550.79,550.85,550.79,100
2023-05-01 13:43:00,2067,550.0657,550.36,549.41,550.36,549.41,119
2023-05-01 13:44:00,7078,549.2383,549.25,549.6,549.6,548.7,236
2023-05-01 13:45:00,1775,549.401,549.37,549.14,549.68,549.14,79
2023-05-01 13:46:00,13621,548.8849,549.4875,548.68,549.525,548.44,309
2023-05-01 13:47:00,8922,548.519,548.62,548.64,548.76,548.3,243
2023-05-01 13:48:00,6311,548.9595,548.74,549.0003,549.24,548.66,181
2023-05-01 13:49:00,1818,548.3726,548.66,548.22,548.66,548.15,100
2023-05-01 13:50:00,11085,547.6297,548.23,548.07,548.58,546.71,414
2023-05-01 13:51:00,7652,547.3987,547.51,547.27,547.67,547.03,202
2023-05-01 13:52:00,2220,547.1141,547.245,546.785,547.37,546.7,92
2023-05-01 13:53:00,11725,546.5343,546.5,546.55,547.12,545.88,344
2023-05-01 13:54:00,4555,546.9274,546.61,547.11,547.45,546.48,139
2023-05-01 13:55:00,15540,547.1728,547.45,547.35,547.45,546.9,234
2023-05-01 13:56:00,2372,547.1829,547.28,547.02,547.35,547.0,95
2023-05-01 13:57:00,1518,547.0571,547.04,546.89,547.04,546.89,83
2023-05-01 13:58:00,5447,547.2845,547.06,547.33,547.54,546.89,219
2023-05-01 13:59:00,1957,547.0737,547.28,546.745,547.365,546.745,99
2023-05-01 14:00:00,9096,546.4004,546.19,546.655,546.73,546.19,301
2023-05-01 14:01:00,2737,546.962,546.5,547.28,547.33,546.5,112
2023-05-01 14:02:00,2248,547.0059,547.04,546.83,547.04,546.83,91
2023-05-01 14:03:00,4499,546.5608,546.79,546.82,546.82,546.19,141
2023-05-01 14:04:00,7247,546.5915,547.21,546.035,547.22,545.55,222
2023-05-01 14:05:00,4695,546.1234,546.01,546.35,546.35,545.91,181
2023-05-01 14:06:00,5055,546.4702,546.5,546.42,546.7,546.29,164
2023-05-01 14:07:00,4404,546.3154,546.535,546.24,546.535,546.07,147
2023-05-01 14:08:00,4272,546.3326,546.24,546.2,546.48,546.12,120
2023-05-01 14:09:00,5556,546.2594,546.4659,546.295,546.4659,546.06,164
2023-05-01 14:10:00,4438,546.4708,546.46,546.3,546.68,546.3,144
2023-05-01 14:11:00,5932,546.0053,546.29,545.88,546.35,545.62,182
2023-05-01 14:12:00,6006,545.7632,545.64,545.705,546.07,545.5,135
2023-05-01 14:13:00,1608,545.7198,545.735,545.74,545.75,545.69,40
2023-05-01 14:14:00,5117,545.526,545.64,545.31,545.64,545.31,181
2023-05-01 14:15:00,11293,545.9776,545.48,545.9685,546.41,545.48,275
2023-05-01 14:16:00,2172,546.2952,546.2153,546.355,546.53,546.2,74
2023-05-01 14:17:00,2452,546.1185,546.42,545.945,546.42,545.93,86
2023-05-01 14:18:00,542,546.0085,546.005,546.14,546.14,545.84,28
2023-05-01 14:19:00,6372,546.3501,546.15,546.195,546.68,546.1,147
2023-05-01 14:20:00,4097,546.3901,546.26,546.62,546.625,546.25,121
2023-05-01 14:21:00,2196,546.0921,546.3,545.934,546.3,545.89,88
2023-05-01 14:22:00,2862,545.9092,545.64,545.945,546.0,545.64,100
2023-05-01 14:23:00,2170,546.0818,545.94,546.185,546.35,545.8554,51
2023-05-01 14:24:00,1298,546.0729,546.18,546.06,546.18,545.97,55
2023-05-01 14:26:00,3066,545.9223,545.95,545.72,546.06,545.72,90
2023-05-01 14:27:00,4256,545.9597,545.78,545.89,546.11,545.675,123
2023-05-01 14:28:00,1657,546.0158,545.96,545.988,546.04,545.96,60
2023-05-01 14:29:00,930,545.9144,545.89,545.75,545.995,545.75,57
2023-05-01 14:30:00,506,545.9862,545.96,545.95,545.96,545.95,43
2023-05-01 14:31:00,5782,546.3259,546.16,546.49,546.575,546.14,169
2023-05-01 14:32:00,18914,546.3611,546.42,546.3567,546.56,546.19,315
2023-05-01 14:33:00,23653,546.1585,546.195,546.345,546.51,545.65,413
2023-05-01 14:34:00,11025,546.7976,546.46,546.72,547.21,546.46,174
2023-05-01 14:35:00,5610,546.7677,546.7,546.795,546.93,546.4509,144
2023-05-01 14:36:00,3397,547.0226,546.795,547.28,547.28,546.795,111
2023-05-01 14:37:00,4824,547.0465,547.28,546.835,547.28,546.835,108
2023-05-01 14:38:00,3084,546.8904,546.94,546.8933,546.98,546.8,110
2023-05-01 14:39:00,15395,546.3687,546.75,546.56,546.75,546.21,310
2023-05-01 14:40:00,3589,546.7691,546.65,546.62,546.94,546.555,95
2023-05-01 14:41:00,7860,546.6931,546.65,546.6,546.9,546.3601,129
2023-05-01 14:42:00,3348,546.7104,546.57,547.0,547.0,546.23,90
2023-05-01 14:43:00,1054,547.0679,547.135,547.045,547.135,547.04,38
2023-05-01 14:44:00,3473,547.0681,547.07,547.0,547.19,546.98,115
2023-05-01 14:45:00,973,547.0174,547.015,547.06,547.06,547.015,37
2023-05-01 14:46:00,5979,547.5093,547.18,547.64,547.87,547.18,132
2023-05-01 14:47:00,8335,547.8468,547.4809,547.975,548.07,547.4809,146
2023-05-01 14:48:00,3715,548.0596,547.925,548.15,548.38,547.925,82
2023-05-01 14:49:00,3853,548.4005,548.15,548.68,548.715,548.15,85
2023-05-01 14:50:00,3963,548.912,548.71,548.99,549.035,548.71,73
2023-05-01 14:51:00,1792,548.7889,548.79,548.755,548.84,548.685,62
2023-05-01 14:52:00,3173,549.0922,548.76,549.285,549.29,548.76,84
2023-05-01 14:53:00,4355,548.8322,549.13,548.885,549.13,548.86,99
2023-05-01 14:54:00,536,548.8691,548.855,548.86,548.86,548.855,26
2023-05-01 14:55:00,2527,549.0696,548.8527,549.16,549.16,548.8527,111
2023-05-01 14:56:00,2497,549.0057,549.0641,549.0857,549.1,548.875,66
2023-05-01 14:57:00,1385,548.7558,548.88,548.66,548.89,548.66,74
2023-05-01 14:58:00,714,548.5233,548.47,548.5638,548.5638,548.47,35
2023-05-01 14:59:00,2563,548.3673,548.31,548.355,548.47,548.235,96
2023-05-01 15:01:00,3845,548.5641,548.24,548.8,548.8,548.24,129
2023-05-01 15:02:00,9631,548.9425,548.7,548.955,549.29,548.7,208
2023-05-01 15:03:00,14103,548.8691,549.0,548.77,549.12,548.63,194
2023-05-01 15:04:00,6908,548.3191,548.68,548.215,548.68,548.11,147
2023-05-01 15:05:00,11903,548.1588,548.22,548.31,548.5548,547.98,202
2023-05-01 15:06:00,17554,548.0995,548.37,547.96,548.37,547.92,227
2023-05-01 15:07:00,10026,548.1383,548.06,548.49,548.5,547.99,170
2023-05-01 15:08:00,10348,548.3622,548.64,547.82,548.64,547.82,175
2023-05-01 15:09:00,8748,548.0361,547.865,547.95,548.19,547.865,142
2023-05-01 15:10:00,11994,547.8907,547.975,547.72,548.16,547.68,165
2023-05-01 15:11:00,20286,548.0381,547.815,548.21,548.325,547.73,326
2023-05-01 15:12:00,16161,548.2429,548.21,548.165,548.565,547.95,262
2023-05-01 15:13:00,16167,548.5781,548.165,548.43,549.14,548.13,295
2023-05-01 15:14:00,1315,548.4519,548.36,548.58,548.58,548.36,42
2023-05-01 15:15:00,9253,548.786,548.58,548.81,549.26,548.58,239
2023-05-01 15:16:00,11946,548.3922,548.81,547.965,548.81,547.81,198
2023-05-01 15:17:00,9086,548.2203,548.3,548.2,548.39,548.055,147
2023-05-01 15:18:00,15244,548.1243,548.27,547.838,548.32,547.838,208
2023-05-01 15:19:00,5386,547.9513,547.79,548.085,548.18,547.73,72
2023-05-01 15:20:00,14815,547.7266,548.09,547.6,548.09,547.36,248
2023-05-01 15:21:00,18156,547.8092,547.775,547.7312,548.01,547.56,222
2023-05-01 15:22:00,12727,547.6789,547.7332,547.8,547.84,547.52,188
2023-05-01 15:23:00,5537,547.8658,547.73,548.14,548.14,547.5,100
2023-05-01 15:24:00,5293,547.8951,548.245,547.8331,548.3,547.43,118
2023-05-01 15:25:00,13288,547.7426,547.73,547.56,548.01,547.34,208
2023-05-01 15:26:00,2440,547.7326,547.68,547.72,547.84,547.59,121
2023-05-01 15:27:00,4229,547.2958,547.8738,546.705,547.8738,546.705,151
2023-05-01 15:28:00,2292,546.8736,546.68,546.93,547.0,546.68,73
2023-05-01 15:29:00,1345,547.172,547.015,547.125,547.31,547.015,37
2023-05-01 15:30:00,2284,547.1077,547.145,546.78,547.145,546.78,72
2023-05-01 15:31:00,1073,546.8845,546.97,546.84,546.97,546.84,33
2023-05-01 15:32:00,1726,546.5563,546.97,546.19,546.97,546.19,58
2023-05-01 15:33:00,4531,546.4535,546.44,546.255,546.44,546.25,110
2023-05-01 15:34:00,1352,546.3622,546.3,546.395,546.52,546.3,40
2023-05-01 15:35:00,2022,546.6829,546.53,547.07,547.07,546.5,71
2023-05-01 15:36:00,803,547.0913,547.07,547.07,547.0981,547.07,28
2023-05-01 15:37:00,2095,547.2984,547.28,547.4,547.56,547.28,73
2023-05-01 15:38:00,2258,547.3057,547.435,547.345,547.435,547.22,64
2023-05-01 15:39:00,481,547.2523,547.31,547.305,547.31,547.0601,31
2023-05-01 15:40:00,597,547.1185,547.08,547.165,547.165,547.08,29
2023-05-01 15:41:00,4558,547.3148,547.175,547.055,547.55,547.055,199
2023-05-01 15:42:00,2280,546.9902,546.975,547.01,547.0617,546.7933,190
2023-05-01 15:43:00,10573,547.0153,547.25,546.99,547.28,546.82,148
2023-05-01 15:44:00,9117,546.9178,547.05,546.72,547.15,546.65,191
2023-05-01 15:45:00,12924,546.9963,546.75,547.47,547.47,546.685,168
2023-05-01 15:46:00,3596,547.2641,547.3,547.3,547.4,547.19,69
2023-05-01 15:47:00,6169,547.2056,547.27,547.195,547.325,547.19,87
2023-05-01 15:48:00,10909,547.4446,547.38,547.48,547.75,547.2,214
2023-05-01 15:49:00,2984,547.7096,547.54,547.94,547.96,547.54,79
2023-05-01 15:50:00,2956,547.7961,547.8101,547.69,548.03,547.66,92
