t,v,vw,o,c,h,l,n
2024-03-08 13:32:00,239.0,163.5585,163.57,163.57,163.57,163.57,5
2024-03-08 13:37:00,132.0,163.57,163.57,163.57,163.57,163.57,1
2024-03-08 13:50:00,196.0,164.2763,164.24,164.24,164.24,164.24,6
2024-03-08 14:30:00,58178.0,163.952,164.27,163.68,164.29,163.5,887
2024-03-08 14:31:00,11999.0,163.7876,163.68,163.8,163.88,163.63,252
2024-03-08 14:32:00,11070.0,163.9374,163.77,164.06,164.06,163.77,224
2024-03-08 14:33:00,7110.0,164.4219,164.07,164.65,164.66,164.07,205
2024-03-08 14:34:00,12450.0,164.326,164.49,163.86,164.525,163.86,245
2024-03-08 14:35:00,5988.0,163.7845,163.79,163.78,163.91,163.6675,146
2024-03-08 14:36:00,11518.0,163.8302,163.78,163.81,163.92,163.74,228
2024-03-08 14:37:00,10211.0,163.9487,163.855,164.0447,164.05,163.855,235
2024-03-08 14:38:00,3455.0,164.0789,164.06,164.11,164.11,164.06,79
2024-03-08 14:39:00,8056.0,164.1796,164.165,164.17,164.245,164.1037,168
2024-03-08 14:40:00,5643.0,164.0867,164.11,164.1,164.12,164.01,128
2024-03-08 14:41:00,7299.0,164.2312,164.105,164.46,164.49,164.105,231
2024-03-08 14:42:00,5050.0,164.4572,164.46,164.53,164.53,164.37,134
2024-03-08 14:43:00,9652.0,164.4476,164.53,164.5,164.54,164.35,175
2024-03-08 14:44:00,6927.0,164.4455,164.46,164.455,164.476,164.385,168
2024-03-08 14:45:00,12948.0,164.4203,164.5,164.39,164.54,164.31,198
2024-03-08 14:46:00,6979.0,164.3819,164.39,164.39,164.44,164.33,145
2024-03-08 14:47:00,6866.0,164.4683,164.47,164.47,164.54,164.43,142
2024-03-08 14:48:00,6620.0,164.4726,164.46,164.525,164.53,164.41,151
2024-03-08 14:49:00,7316.0,164.4995,164.54,164.42,164.58,164.39,158
2024-03-08 14:50:00,6675.0,164.4783,164.42,164.49,164.5125,164.415,133
2024-03-08 14:51:00,6490.0,164.4762,164.5,164.42,164.52,164.42,122
2024-03-08 14:52:00,6128.0,164.4422,164.4,164.46,164.5,164.4,120
2024-03-08 14:53:00,4475.0,164.4875,164.51,164.48,164.515,164.48,101
2024-03-08 14:54:00,5545.0,164.4873,164.51,164.46,164.515,164.46,81
2024-03-08 14:55:00,7271.0,164.5251,164.46,164.53,164.59,164.46,143
2024-03-08 14:56:00,8366.0,164.5127,164.53,164.51,164.56,164.46,145
2024-03-08 14:57:00,6958.0,164.5564,164.54,164.56,164.58,164.53,122
2024-03-08 14:58:00,8696.0,164.5012,164.56,164.41,164.575,164.41,158
2024-03-08 14:59:00,7598.0,164.4759,164.435,164.525,164.55,164.39,156
2024-03-08 15:00:00,3423.0,164.501,164.535,164.49,164.535,164.47,73
2024-03-08 15:01:00,5726.0,164.4783,164.49,164.43,164.51,164.41,141
2024-03-08 15:02:00,4127.0,164.4338,164.425,164.42,164.46,164.4,97
2024-03-08 15:03:00,1721.0,164.4476,164.43,164.46,164.46,164.43,52
2024-03-08 15:04:00,8655.0,164.5038,164.46,164.465,164.54,164.45,206
2024-03-08 15:05:00,3058.0,164.4315,164.465,164.39,164.465,164.38,83
2024-03-08 15:06:00,5640.0,164.3257,164.41,164.285,164.41,164.28,131
2024-03-08 15:07:00,5490.0,164.308,164.305,164.32,164.34,164.26,121
2024-03-08 15:08:00,4384.0,164.2377,164.31,164.15,164.315,164.15,105
2024-03-08 15:09:00,10174.0,164.0902,164.13,164.13,164.16,164.0,246
2024-03-08 15:10:00,6108.0,164.1647,164.13,164.17,164.19,164.13,130
2024-03-08 15:11:00,7030.0,164.2196,164.2,164.21,164.26,164.19,130
2024-03-08 15:12:00,3533.0,164.2058,164.225,164.16,164.245,164.15,89
2024-03-08 15:13:00,6072.0,164.2059,164.16,164.18,164.24,164.16,149
2024-03-08 15:14:00,2752.0,164.1717,164.165,164.18,164.18,164.16,91
2024-03-08 15:15:00,6260.0,164.1163,164.185,164.05,164.185,164.05,123
2024-03-08 15:16:00,7497.0,163.9659,164.01,163.885,164.03,163.88,132
2024-03-08 15:17:00,15221.0,163.887,163.865,163.875,163.92,163.85,253
2024-03-08 15:18:00,13732.0,163.9056,163.875,163.9,163.95,163.87,231
2024-03-08 15:19:00,4923.0,163.9496,163.88,163.97,163.985,163.88,127
2024-03-08 15:20:00,5147.0,163.9441,163.97,163.9,163.98,163.89,144
2024-03-08 15:21:00,5627.0,163.917,163.9046,163.915,163.95,163.89,133
2024-03-08 15:22:00,3013.0,163.8583,163.9,163.85,163.9,163.8,85
2024-03-08 15:23:00,3270.0,163.9063,163.85,163.97,163.98,163.85,115
2024-03-08 15:24:00,5485.0,163.9925,163.97,163.94,164.025,163.94,128
2024-03-08 15:25:00,3975.0,163.8958,163.91,163.905,163.9499,163.84,86
2024-03-08 15:26:00,5233.0,163.9092,163.9,163.9546,163.97,163.86,122
2024-03-08 15:27:00,7844.0,163.8417,163.97,163.84,163.97,163.78,191
2024-03-08 15:28:00,1802.0,163.8516,163.85,163.84,163.86,163.84,65
2024-03-08 15:29:00,5106.0,163.8211,163.86,163.77,163.86,163.77,123
2024-03-08 15:30:00,7080.0,163.7534,163.78,163.78,163.8,163.69,181
2024-03-08 15:31:00,4286.0,163.8257,163.79,163.87,163.87,163.79,139
2024-03-08 15:32:00,4712.0,163.889,163.905,163.94,163.94,163.86,115
2024-03-08 15:33:00,2494.0,163.8978,163.93,163.89,163.93,163.8834,87
2024-03-08 15:34:00,2781.0,163.8469,163.87,163.84,163.87,163.83,109
2024-03-08 15:35:00,3401.0,163.8139,163.82,163.81,163.84,163.79,96
2024-03-08 15:36:00,7428.0,163.8158,163.81,163.83,163.86,163.74,170
2024-03-08 15:37:00,1619.0,163.8651,163.85,163.86,163.89,163.85,59
2024-03-08 15:38:00,3686.0,163.8597,163.88,163.89,163.89,163.81,104
2024-03-08 15:39:00,14943.0,163.9666,163.9,164.06,164.06,163.87,327
2024-03-08 15:40:00,10820.0,164.0502,164.05,164.15,164.15,163.99,212
2024-03-08 15:41:00,7748.0,164.179,164.18,164.18,164.21,164.16,151
2024-03-08 15:42:00,10082.0,164.1579,164.19,164.18,164.2,164.08,201
2024-03-08 15:43:00,9444.0,164.1725,164.2,164.15,164.21,164.13,167
2024-03-08 15:44:00,4993.0,164.1548,164.17,164.08,164.22,164.08,110
2024-03-08 15:45:00,5475.0,164.0503,164.085,164.05,164.085,164.02,190
2024-03-08 15:46:00,6317.0,164.1001,164.01,164.0901,164.15,164.01,139
2024-03-08 15:47:00,3101.0,164.1007,164.11,164.11,164.125,164.07,108
2024-03-08 15:48:00,4216.0,164.0424,164.12,163.9,164.13,163.9,142
2024-03-08 15:49:00,6349.0,163.9173,163.9001,163.9,163.97,163.86,155
2024-03-08 15:50:00,3664.0,163.9807,163.93,163.9668,164.02,163.93,110
2024-03-08 15:51:00,3644.0,163.9656,164.0,163.93,164.01,163.93,117
2024-03-08 15:52:00,3957.0,163.9205,163.935,163.89,163.96,163.875,110
2024-03-08 15:53:00,2567.0,163.8698,163.9,163.865,163.9,163.85,91
2024-03-08 15:54:00,4270.0,163.9121,163.865,163.92,163.93,163.865,100
2024-03-08 15:55:00,4441.0,163.8867,163.93,163.9,163.93,163.83,119
2024-03-08 15:56:00,4666.0,163.9222,163.9,163.96,163.96,163.9,70
2024-03-08 15:57:00,4369.0,163.9327,163.9401,163.92,163.97,163.905,90
2024-03-08 15:58:00,5760.0,163.9247,163.92,163.92,163.96,163.91,127
2024-03-08 15:59:00,4629.0,163.9215,163.93,163.95,163.9728,163.8601,125
2024-03-08 16:00:00,11014.0,163.9566,163.965,163.925,164.02,163.89,218
2024-03-08 16:01:00,4237.0,163.9242,163.91,163.94,163.96,163.9,108
2024-03-08 16:02:00,3611.0,163.9806,163.96,163.97,164.0,163.96,100
2024-03-08 16:03:00,10219.0,164.0117,163.99,164.05,164.1,163.96,220
2024-03-08 16:04:00,7682.0,163.9996,164.03,164.02,164.03,163.965,184
2024-03-08 16:05:00,1188.0,164.0396,164.03,164.07,164.07,164.03,49
2024-03-08 16:06:00,4590.0,163.9865,164.055,163.91,164.055,163.91,103
2024-03-08 16:07:00,4531.0,163.9427,163.91,163.91,163.99,163.9077,99
2024-03-08 16:08:00,4132.0,163.8915,163.88,163.93,163.93,163.87,97
2024-03-08 16:09:00,7674.0,164.0753,163.97,164.125,164.125,163.97,159
2024-03-08 16:10:00,5705.0,164.0964,164.13,164.06,164.13,164.06,121
