t,v,vw,o,c,h,l,n
2024-01-29 12:00:00,11317,0.3139,0.308,0.3,0.3149,0.3,12
2024-01-29 12:01:00,625,0.3099,0.3099,0.31,0.31,0.3099,4
2024-01-29 12:03:00,4730,0.3115,0.31,0.31,0.32,0.31,14
2024-01-29 12:04:00,4237,0.3195,0.3149,0.32,0.32,0.3149,26
2024-01-29 12:05:00,14526,0.3216,0.32,0.31,0.33,0.31,33
2024-01-29 12:06:00,1209,0.3016,0.31,0.3,0.31,0.2999,4
2024-01-29 12:08:00,400,0.3104,0.31,0.31,0.31,0.31,4
2024-01-29 12:10:00,1625,0.3054,0.31,0.3,0.31,0.3,5
2024-01-29 12:11:00,100,0.31,0.31,0.31,0.31,0.31,1
2024-01-29 12:13:00,3692,0.2898,0.291,0.287,0.291,0.287,6
2024-01-29 12:15:00,1000,0.3,0.3,0.3,0.3,0.3,1
2024-01-29 12:19:00,4569,0.3119,0.3083,0.311,0.3183,0.3083,16
2024-01-29 12:20:00,7309,0.3237,0.3222,0.3163,0.325,0.3163,30
2024-01-29 12:22:00,603,0.3181,0.3175,0.3205,0.3205,0.3175,4
2024-01-29 12:23:00,850,0.3207,0.3176,0.3239,0.3249,0.3176,4
2024-01-29 12:24:00,1926,0.3235,0.3249,0.325,0.325,0.3112,7
2024-01-29 12:25:00,2400,0.3261,0.3275,0.325,0.3276,0.325,12
2024-01-29 12:28:00,1900,0.3251,0.3253,0.3251,0.3253,0.3251,6
2024-01-29 12:29:00,3708,0.3246,0.3251,0.3112,0.3251,0.3112,7
2024-01-29 12:51:00,1000,0.311,0.311,0.311,0.311,0.311,2
2024-01-29 12:56:00,200,0.31,0.31,0.31,0.31,0.31,2
2024-01-29 12:57:00,10800,0.31,0.31,0.31,0.31,0.31,2
2024-01-29 13:00:00,49299,0.3162,0.3148,0.291,0.33,0.291,41
2024-01-29 13:02:00,100,0.306,0.306,0.306,0.306,0.306,1
2024-01-29 13:03:00,1001,0.3104,0.3104,0.3104,0.3104,0.3104,3
2024-01-29 13:21:00,700,0.3101,0.3119,0.3055,0.3119,0.3055,2
2024-01-29 13:24:00,2792,0.3111,0.3113,0.3055,0.3113,0.3055,2
2024-01-29 13:25:00,1420,0.311,0.3119,0.3055,0.3119,0.3055,2
2024-01-29 13:29:00,655,0.3119,0.3119,0.3119,0.3119,0.3119,1
2024-01-29 13:33:00,300,0.31,0.31,0.31,0.31,0.31,1
2024-01-29 13:35:00,988,0.3055,0.3055,0.3055,0.3055,0.3055,5
2024-01-29 13:39:00,200,0.312,0.312,0.312,0.312,0.312,1
2024-01-29 13:44:00,164,0.3032,0.302,0.302,0.302,0.302,2
2024-01-29 13:52:00,3290,0.2971,0.2971,0.2971,0.2971,0.2971,1
2024-01-29 13:55:00,850,0.2951,0.2951,0.2951,0.2951,0.2951,1
2024-01-29 14:06:00,100,0.307,0.307,0.307,0.307,0.307,1
2024-01-29 14:14:00,100,0.3119,0.3119,0.3119,0.3119,0.3119,1
2024-01-29 14:28:00,23589,0.3155,0.3071,0.3099,0.32,0.303,51
2024-01-29 14:30:00,50160,0.3247,0.3252,0.318999,0.3252,0.313,110
2024-01-29 14:31:00,16115,0.3157,0.315,0.325,0.325,0.31,17
2024-01-29 14:32:00,503,0.31,0.31,0.31,0.31,0.31,2
2024-01-29 14:33:00,571,0.3102,0.31,0.31,0.31,0.31,7
2024-01-29 14:34:00,33639,0.3234,0.316,0.3254,0.3254,0.308,40
2024-01-29 14:35:00,3585,0.3107,0.31905,0.308,0.31905,0.308,13
2024-01-29 14:36:00,11448,0.3225,0.3234,0.325,0.325,0.308,11
2024-01-29 14:37:00,24301,0.3223,0.3165,0.308,0.3234,0.308,16
2024-01-29 14:38:00,4203,0.3192,0.3234,0.308,0.3234,0.308,6
2024-01-29 14:39:00,42322,0.3084,0.314,0.305,0.3176,0.305,29
2024-01-29 14:40:00,13806,0.3111,0.305,0.305,0.3174,0.305,7
2024-01-29 14:41:00,875,0.3069,0.305,0.3095,0.3095,0.305,2
2024-01-29 14:44:00,547,0.3109,0.311,0.311,0.311,0.311,6
2024-01-29 14:45:00,440,0.3107,0.3107,0.3107,0.3107,0.3107,3
2024-01-29 14:47:00,1036,0.3052,0.305,0.305,0.305,0.305,2
2024-01-29 14:48:00,10150,0.3108,0.308,0.305,0.316,0.305,22
2024-01-29 14:49:00,1072,0.3098,0.305,0.316,0.316,0.305,3
2024-01-29 14:50:00,17083,0.3073,0.305,0.3105,0.3105,0.305,6
2024-01-29 14:51:00,6200,0.3136,0.3105,0.305,0.3159,0.305,5
2024-01-29 14:52:00,49631,0.3231,0.3159,0.307,0.325,0.307,21
2024-01-29 14:53:00,40503,0.319,0.307,0.307,0.32,0.307,12
2024-01-29 14:54:00,5700,0.3204,0.3223,0.307,0.3223,0.307,3
2024-01-29 14:55:00,226,0.3141,0.307,0.307,0.307,0.307,3
2024-01-29 14:57:00,1601,0.307,0.307,0.307,0.307,0.307,4
2024-01-29 14:58:00,203,0.3071,0.307,0.307,0.307,0.307,2
2024-01-29 14:59:00,300,0.308,0.308,0.308,0.308,0.308,1
2024-01-29 15:01:00,960,0.316,0.3145,0.3145,0.317554,0.3145,6
2024-01-29 15:02:00,449,0.3145,0.314501,0.314501,0.314501,0.314501,3
2024-01-29 15:03:00,10818,0.3115,0.3144,0.310101,0.3145,0.31,35
2024-01-29 15:04:00,25330,0.31,0.31,0.311,0.311,0.31,12
2024-01-29 15:06:00,765,0.3113,0.311,0.311,0.311,0.311,3
2024-01-29 15:09:00,130,0.3145,0.3145,0.3145,0.3145,0.3145,2
2024-01-29 15:10:00,8244,0.3117,0.311,0.3128,0.3145,0.311,5
2024-01-29 15:11:00,100,0.3128,0.3128,0.3128,0.3128,0.3128,1
2024-01-29 15:12:00,108,0.3129,0.3128,0.3128,0.3128,0.3128,2
2024-01-29 15:14:00,2069,0.314,0.3135,0.3145,0.3145,0.3135,8
2024-01-29 15:15:00,2452,0.3137,0.311,0.314,0.314499,0.311,4
2024-01-29 15:16:00,3118,0.3136,0.314465,0.311101,0.314499,0.311101,5
2024-01-29 15:17:00,5300,0.3111,0.311101,0.311101,0.31275,0.311101,14
2024-01-29 15:18:00,335,0.3113,0.311101,0.311101,0.311101,0.311101,3
2024-01-29 15:21:00,1081,0.3128,0.3128,0.3144,0.3144,0.3128,5
2024-01-29 15:22:00,2000,0.3137,0.314,0.3145,0.3145,0.3128,4
2024-01-29 15:23:00,1300,0.3145,0.3145,0.3145,0.3145,0.3145,2
2024-01-29 15:24:00,439,0.3132,0.31275,0.3144,0.3144,0.31275,3
2024-01-29 15:25:00,10902,0.3144,0.3145,0.3128,0.3145,0.3128,8
2024-01-29 15:26:00,10852,0.3173,0.3145,0.3148,0.3186,0.3145,24
2024-01-29 15:27:00,138,0.3157,0.3148,0.3148,0.3148,0.3148,4
2024-01-29 15:28:00,4209,0.3165,0.311,0.3148,0.3185,0.311,6
2024-01-29 15:29:00,400,0.3138,0.3129,0.3129,0.314699,0.3129,3
2024-01-29 15:30:00,5344,0.3118,0.311,0.3129,0.3129,0.311,6
2024-01-29 15:32:00,602,0.3145,0.3148,0.314799,0.3148,0.314799,5
2024-01-29 15:33:00,1061,0.3147,0.3148,0.3148,0.3148,0.3148,3
2024-01-29 15:35:00,3350,0.3145,0.314699,0.3148,0.3148,0.314399,4
2024-01-29 15:36:00,2301,0.3144,0.314,0.3148,0.3148,0.314,8
2024-01-29 15:37:00,2296,0.3147,0.3144,0.3148,0.3148,0.3144,13
2024-01-29 15:38:00,1247,0.3145,0.31455,0.3148,0.3148,0.314,8
2024-01-29 15:42:00,100,0.314,0.314,0.314,0.314,0.314,1
2024-01-29 15:43:00,1157,0.3141,0.314,0.3145,0.3145,0.314,7
2024-01-29 15:44:00,612,0.3134,0.3139,0.3125,0.3139,0.3125,7
2024-01-29 15:45:00,259,0.3125,0.3125,0.3125,0.3125,0.3125,5
2024-01-29 15:46:00,200,0.3125,0.3125,0.3125,0.3125,0.3125,2
2024-01-29 15:47:00,228,0.3132,0.314,0.314,0.314,0.314,4
2024-01-29 15:48:00,2084,0.3126,0.312499,0.312499,0.312499,0.312499,2
2024-01-29 15:49:00,401,0.3111,0.311,0.311,0.311,0.311,3
2024-01-29 15:50:00,718,0.311,0.311,0.311,0.311,0.311,1
2024-01-29 15:52:00,1121,0.311,0.311,0.311,0.311,0.311,5
2024-01-29 15:55:00,2131,0.3148,0.3138,0.3151,0.3151,0.3138,9
2024-01-29 15:56:00,600,0.3136,0.3136,0.31355,0.3136,0.31355,2
2024-01-29 15:57:00,115,0.3148,0.314999,0.314999,0.314999,0.314999,3
2024-01-29 15:59:00,1700,0.3121,0.312,0.312101,0.312101,0.312,2
2024-01-29 16:01:00,1000,0.312,0.312,0.312,0.312,0.312,2
2024-01-29 16:03:00,105,0.3151,0.3151,0.3151,0.3151,0.3151,2
2024-01-29 16:06:00,1004,0.312,0.312,0.312,0.312,0.312,4
2024-01-29 16:10:00,300,0.3121,0.312,0.312,0.312,0.312,2
2024-01-29 16:11:00,2218,0.3137,0.3151,0.312,0.3151,0.312,6
2024-01-29 16:13:00,1000,0.315,0.315,0.315,0.315,0.315,1
2024-01-29 16:14:00,1004,0.3145,0.3136,0.3151,0.3151,0.3136,2
2024-01-29 16:16:00,802,0.315,0.3151,0.315,0.3151,0.315,4
2024-01-29 16:18:00,929,0.315,0.315,0.315,0.315,0.315,4
2024-01-29 16:20:00,3855,0.3151,0.315,0.315,0.3151,0.315,13
2024-01-29 16:21:00,400,0.3175,0.3175,0.3175,0.3175,0.3175,2
2024-01-29 16:24:00,215,0.3175,0.3175,0.3175,0.3175,0.3175,1
2024-01-29 16:30:00,503,0.3175,0.3175,0.3175,0.3175,0.3175,3
2024-01-29 16:31:00,935,0.3177,0.318,0.3179,0.318,0.3175,7
2024-01-29 16:32:00,1017,0.317,0.317,0.317,0.317,0.317,4
2024-01-29 16:33:00,487,0.3163,0.317,0.316,0.317,0.316,4
2024-01-29 16:34:00,29079,0.3213,0.318,0.322,0.322,0.318,18
2024-01-29 16:36:00,2785,0.3194,0.32,0.31621,0.32,0.31621,6
2024-01-29 16:37:00,1440,0.3166,0.3199,0.3162,0.3199,0.3162,5
2024-01-29 16:38:00,1200,0.3196,0.3199,0.3181,0.3199,0.3181,2
