t,v,vw,o,c,h,l,n
2024-05-20 10:15:00,100,27.1,27.1,27.1,27.1,27.1,1
2024-05-20 11:00:00,674,26.9646,26.96,26.96,26.96,26.96,9
2024-05-20 12:00:00,918,27.0073,27.0,27.08,27.08,27.0,11
2024-05-20 12:42:00,914,27.0733,27.05,27.1,27.1,27.05,6
2024-05-20 12:50:00,184,27.09,27.09,27.09,27.09,27.09,1
2024-05-20 13:04:00,105,27.0,27.0,27.0,27.0,27.0,2
2024-05-20 13:13:00,512,27.0,27.0,27.0,27.0,27.0,7
2024-05-20 13:23:00,1431,27.0,27.0,27.0,27.0,27.0,13
2024-05-20 13:24:00,244,26.9757,26.97,26.97,26.97,26.97,5
2024-05-20 13:25:00,1410,26.9064,26.91,26.9,26.91,26.9,7
2024-05-20 13:30:00,59928,26.9494,26.97,26.7955,26.97,26.76,193
2024-05-20 13:31:00,5340,26.733,26.75,26.66,26.7728,26.66,61
2024-05-20 13:32:00,19394,26.7768,26.6674,26.82,26.91,26.66,175
2024-05-20 13:33:00,5588,26.7685,26.805,26.708,26.84,26.68,55
2024-05-20 13:34:00,26137,26.74,26.735,26.75,26.7847,26.66,207
2024-05-20 13:35:00,61412,26.8106,26.745,26.8232,26.88,26.65,453
2024-05-20 13:36:00,37780,26.7988,26.78,26.7975,26.88,26.66,253
2024-05-20 13:37:00,7012,26.757,26.75,26.74,26.7835,26.71,52
2024-05-20 13:38:00,11677,26.7803,26.76,26.775,26.81,26.75,132
2024-05-20 13:39:00,7488,26.7589,26.775,26.73,26.79,26.73,113
2024-05-20 13:40:00,12621,26.7096,26.73,26.72,26.74,26.69,123
2024-05-20 13:41:00,13692,26.6749,26.71,26.65,26.7164,26.64,150
2024-05-20 13:42:00,45384,26.6115,26.65,26.56,26.67,26.55,399
2024-05-20 13:43:00,26901,26.5852,26.57,26.6,26.6,26.56,322
2024-05-20 13:44:00,16369,26.6082,26.6,26.61,26.64,26.59,177
2024-05-20 13:45:00,9120,26.6492,26.61,26.7,26.7,26.61,125
2024-05-20 13:46:00,12661,26.7181,26.7,26.74,26.7475,26.68,163
2024-05-20 13:47:00,65738,26.7883,26.735,26.83,26.88,26.735,357
2024-05-20 13:48:00,10125,26.8714,26.85,26.87,26.8974,26.85,120
2024-05-20 13:49:00,11603,26.8888,26.87,26.9203,26.93,26.86,108
2024-05-20 13:50:00,19291,26.937,26.93,26.95,26.96,26.915,213
2024-05-20 13:51:00,11552,26.9719,26.95,26.99,26.995,26.94,144
2024-05-20 13:52:00,37534,26.976,26.9899,26.91,27.018,26.91,288
2024-05-20 13:53:00,17032,26.9182,26.91,26.94,26.94,26.9,239
2024-05-20 13:54:00,19181,26.9461,26.94,26.915,26.96,26.91,224
2024-05-20 13:55:00,26876,26.8913,26.915,26.8908,26.9199,26.875,314
2024-05-20 13:56:00,13547,26.9133,26.881,26.93,26.94,26.881,184
2024-05-20 13:57:00,8756,26.9225,26.92,26.955,26.955,26.9,146
2024-05-20 13:58:00,14598,26.9218,26.96,26.895,26.97,26.87,181
2024-05-20 13:59:00,20312,26.906,26.89,26.93,26.93,26.88,176
2024-05-20 14:00:00,8256,26.907,26.93,26.9,26.93,26.89,114
2024-05-20 14:01:00,10110,26.9025,26.9,26.92,26.925,26.88,156
2024-05-20 14:02:00,15741,26.8822,26.91,26.88,26.91,26.86,222
2024-05-20 14:03:00,17044,26.8836,26.87,26.9,26.9,26.865,231
2024-05-20 14:04:00,10086,26.8975,26.9,26.895,26.9,26.89,132
2024-05-20 14:05:00,40703,26.9425,26.9,26.99,27.0,26.88,445
2024-05-20 14:06:00,46249,27.0201,26.9899,26.995,27.07,26.975,397
2024-05-20 14:07:00,29992,27.0302,26.998,27.0,27.05,26.99,281
2024-05-20 14:08:00,8754,27.0112,27.01,27.0287,27.04,26.99,132
2024-05-20 14:09:00,8617,27.0298,27.03,27.09,27.09,27.015,122
2024-05-20 14:10:00,14828,27.0546,27.09,27.03,27.1,27.02,130
2024-05-20 14:11:00,16568,26.9927,27.03,26.96,27.03,26.96,157
2024-05-20 14:12:00,11130,26.9449,26.96,26.9383,26.9625,26.92,157
2024-05-20 14:13:00,18545,26.9274,26.93,26.94,26.94,26.92,208
2024-05-20 14:14:00,9766,26.9581,26.94,26.98,26.98,26.935,143
2024-05-20 14:15:00,9160,26.9583,26.97,26.95,26.98,26.93,144
2024-05-20 14:16:00,5819,26.9349,26.9385,26.94,26.95,26.93,94
2024-05-20 14:17:00,13638,26.9359,26.94,26.935,26.965,26.92,188
2024-05-20 14:18:00,42081,26.8697,26.92,26.845,26.93,26.825,378
2024-05-20 14:19:00,44103,26.89,26.845,26.925,26.93,26.82,441
2024-05-20 14:20:00,39445,26.9346,26.925,26.975,26.975,26.9,303
2024-05-20 14:21:00,19020,26.9802,26.975,26.992,27.0,26.97,120
2024-05-20 14:22:00,27190,26.9828,26.99,26.99,27.005,26.965,280
2024-05-20 14:23:00,11234,26.9811,26.985,26.965,26.99,26.96,111
2024-05-20 14:24:00,29076,26.9888,26.965,26.985,27.015,26.95,178
2024-05-20 14:25:00,11434,26.9795,26.985,27.0,27.0,26.96,137
2024-05-20 14:26:00,19241,26.9939,27.0,26.94,27.04,26.94,261
2024-05-20 14:27:00,7693,26.9283,26.94,26.96,26.96,26.89,133
2024-05-20 14:28:00,7384,26.9678,26.97,26.975,26.98,26.96,113
2024-05-20 14:29:00,9813,26.9969,26.98,27.02,27.02,26.98,163
2024-05-20 14:30:00,15430,27.0114,27.02,27.0,27.02,26.99,193
2024-05-20 14:31:00,10024,27.0055,26.995,27.04,27.04,26.995,142
2024-05-20 14:32:00,5690,27.0567,27.04,27.079,27.079,27.04,109
2024-05-20 14:33:00,5912,27.0792,27.08,27.075,27.09,27.07,118
2024-05-20 14:34:00,17740,27.0702,27.07,27.05,27.095,27.05,270
2024-05-20 14:35:00,9650,27.0632,27.05,27.06,27.07,27.05,93
2024-05-20 14:36:00,28635,27.0876,27.07,27.11,27.11,27.045,310
2024-05-20 14:37:00,12097,27.111,27.0901,27.105,27.13,27.0901,150
2024-05-20 14:38:00,8816,27.1001,27.105,27.11,27.11,27.085,166
2024-05-20 14:39:00,8971,27.0889,27.115,27.085,27.115,27.07,96
2024-05-20 14:40:00,8532,27.0876,27.09,27.082,27.09,27.08,150
2024-05-20 14:41:00,20648,27.064,27.08,27.055,27.08,27.04,237
2024-05-20 14:42:00,10716,27.0409,27.065,27.015,27.065,27.015,147
2024-05-20 14:43:00,12159,27.0244,27.02,27.01,27.03,27.01,136
2024-05-20 14:44:00,7931,26.9993,27.015,26.99,27.02,26.981,122
2024-05-20 14:45:00,6283,27.0066,27.0,27.015,27.02,26.995,97
2024-05-20 14:46:00,12984,27.0178,27.01,27.065,27.065,26.985,165
2024-05-20 14:47:00,13039,27.0473,27.07,27.04,27.07,27.035,190
2024-05-20 14:48:00,12809,27.0088,27.036,26.995,27.0361,26.98,173
2024-05-20 14:49:00,9347,27.0028,27.0,27.0,27.02,26.9901,122
2024-05-20 14:50:00,32608,27.0431,26.998,27.055,27.06,26.998,310
2024-05-20 14:51:00,14267,27.0131,27.05,26.98,27.05,26.98,178
2024-05-20 14:52:00,9267,27.0032,26.97,27.035,27.035,26.97,136
2024-05-20 14:53:00,8270,27.0487,27.04,27.06,27.06,27.035,131
2024-05-20 14:54:00,9785,27.0372,27.0593,27.02,27.06,27.02,111
2024-05-20 14:55:00,14198,27.0202,27.03,27.01,27.04,27.005,143
2024-05-20 14:56:00,11051,27.0106,27.015,27.0,27.016,27.0,92
2024-05-20 14:57:00,10158,27.005,27.01,27.0,27.015,26.995,139
2024-05-20 14:58:00,6588,26.9898,27.0,26.98,27.0,26.975,117
2024-05-20 14:59:00,7357,26.9929,26.985,27.01,27.01,26.98,130
2024-05-20 15:00:00,6344,26.9981,27.0178,26.9925,27.0178,26.9825,127
2024-05-20 15:01:00,3337,26.9905,26.999,26.99,27.0,26.985,65
2024-05-20 15:02:00,11582,26.9959,26.985,27.01,27.01,26.98,203
2024-05-20 15:03:00,2501,27.0126,27.01,27.01,27.02,27.01,57
2024-05-20 15:04:00,3476,26.9939,27.01,26.97,27.01,26.97,69
2024-05-20 15:05:00,4126,26.98,26.99,26.97,26.99,26.97,71
2024-05-20 15:06:00,12530,26.9397,26.96,26.945,26.97,26.93,153
2024-05-20 15:07:00,6194,26.9594,26.9455,27.005,27.005,26.94,122
2024-05-20 15:08:00,10873,26.9977,27.005,27.01,27.02,26.9987,143
2024-05-20 15:09:00,4155,27.0018,27.005,27.01,27.01,26.995,69
2024-05-20 15:10:00,2275,27.0076,27.0081,27.015,27.015,27.0081,43
2024-05-20 15:11:00,7240,27.0234,27.02,27.01,27.035,27.01,126
2024-05-20 15:12:00,10383,27.0042,27.02,27.0,27.02,27.0,144
2024-05-20 15:13:00,20124,27.0398,27.01,27.05,27.06,27.01,235
2024-05-20 15:14:00,14424,27.0555,27.055,27.06,27.065,27.04,232
2024-05-20 15:15:00,6948,27.0682,27.065,27.06,27.0758,27.06,134
2024-05-20 15:16:00,23316,27.0491,27.06,27.06,27.07,27.03,255
2024-05-20 15:17:00,7858,27.0639,27.065,27.06,27.07,27.0597,116
2024-05-20 15:18:00,4771,27.0546,27.05,27.045,27.07,27.04,94
2024-05-20 15:19:00,4335,27.0569,27.045,27.07,27.07,27.045,56
2024-05-20 15:20:00,4492,27.0706,27.065,27.07,27.079,27.065,87
2024-05-20 15:21:00,3505,27.0586,27.0699,27.07,27.07,27.05,60
2024-05-20 15:22:00,4098,27.0668,27.07,27.065,27.08,27.06,60
2024-05-20 15:23:00,3368,27.0706,27.07,27.065,27.08,27.06,86
2024-05-20 15:24:00,5421,27.0699,27.07,27.075,27.075,27.065,80
2024-05-20 15:25:00,11658,27.0764,27.075,27.09,27.09,27.07,139
2024-05-20 15:26:00,10541,27.0939,27.085,27.095,27.1,27.08,131
2024-05-20 15:27:00,24098,27.1231,27.1,27.138,27.14,27.095,203
2024-05-20 15:28:00,9795,27.1368,27.135,27.13,27.15,27.13,130
2024-05-20 15:29:00,9651,27.1373,27.14,27.14,27.16,27.125,153
2024-05-20 15:30:00,12459,27.1036,27.11,27.102,27.12,27.095,167
2024-05-20 15:31:00,4310,27.0955,27.1087,27.09,27.1087,27.08,133
2024-05-20 15:32:00,8595,27.0943,27.09,27.09,27.1,27.08,100
2024-05-20 15:33:00,6088,27.0808,27.09,27.08,27.09,27.07,102
2024-05-20 15:34:00,6749,27.0948,27.08,27.11,27.115,27.08,117
2024-05-20 15:35:00,2484,27.1071,27.11,27.105,27.11,27.105,43
2024-05-20 15:36:00,3416,27.1035,27.105,27.105,27.11,27.1,64
2024-05-20 15:37:00,4138,27.084,27.1,27.075,27.1,27.075,84
2024-05-20 15:38:00,6941,27.0794,27.0765,27.1,27.1,27.0601,122
2024-05-20 15:39:00,11773,27.1246,27.1,27.13,27.15,27.1,174
