t,v,vw,o,c,h,l,n
2023-05-09 09:57:00,150.0,16.0147,16.0,16.0,16.0,16.0,4
2023-05-09 11:00:00,800.0,16.13,16.13,16.13,16.13,16.13,1
2023-05-09 13:00:00,151.0,16.05,16.05,16.05,16.05,16.05,1
2023-05-09 13:23:00,1000.0,15.9465,16.0,15.89,16.0,15.89,9
2023-05-09 13:25:00,945.0,15.8058,15.73,15.73,15.9,15.73,9
2023-05-09 13:30:00,49527.0,15.9659,15.97,15.96,15.97,15.92,94
2023-05-09 13:31:00,3230.0,15.9987,15.97,16.045,16.045,15.97,45
2023-05-09 13:32:00,1457.0,16.0944,16.065,16.12,16.12,16.065,21
2023-05-09 13:33:00,8742.0,16.1598,16.14,16.18,16.185,16.14,97
2023-05-09 13:34:00,4282.0,16.159,16.18,16.155,16.18,16.14,53
2023-05-09 13:35:00,9115.0,16.1479,16.16,16.15,16.16,16.13,89
2023-05-09 13:36:00,2680.0,16.1489,16.14,16.16,16.16,16.14,35
2023-05-09 13:37:00,11666.0,16.1584,16.16,16.145,16.17,16.145,130
2023-05-09 13:38:00,10304.0,16.1678,16.16,16.17,16.175,16.16,128
2023-05-09 13:39:00,9490.0,16.1777,16.18,16.1608,16.185,16.1608,108
2023-05-09 13:40:00,9033.0,16.1686,16.165,16.155,16.18,16.155,123
2023-05-09 13:41:00,12728.0,16.13,16.15,16.125,16.15,16.11,156
2023-05-09 13:42:00,10602.0,16.1323,16.13,16.15,16.15,16.115,134
2023-05-09 13:43:00,17443.0,16.116,16.14,16.1,16.14,16.08,209
2023-05-09 13:44:00,5577.0,16.1052,16.1,16.095,16.1101,16.09,79
2023-05-09 13:45:00,16094.0,16.0474,16.09,16.08,16.09,16.015,203
2023-05-09 13:46:00,10149.0,16.0827,16.08,16.08,16.09,16.065,130
2023-05-09 13:47:00,9131.0,16.0418,16.075,16.025,16.075,16.015,124
2023-05-09 13:48:00,12772.0,16.0257,16.025,16.035,16.035,16.02,156
2023-05-09 13:49:00,15248.0,16.0023,16.03,15.91,16.03,15.91,209
2023-05-09 13:50:00,12542.0,15.9563,15.92,15.965,15.97,15.92,134
2023-05-09 13:51:00,11468.0,15.9666,15.965,15.98,15.99,15.94,138
2023-05-09 13:52:00,10820.0,15.9711,15.98,15.955,15.985,15.955,142
2023-05-09 13:53:00,9323.0,15.951,15.97,15.945,15.985,15.925,107
2023-05-09 13:54:00,7934.0,15.945,15.94,15.95,15.95,15.935,92
2023-05-09 13:55:00,5624.0,15.9566,15.96,15.955,15.9602,15.95,72
2023-05-09 13:56:00,6278.0,15.9507,15.95,15.95,15.96,15.945,78
2023-05-09 13:57:00,9000.0,15.9511,15.95,15.94,15.96,15.94,104
2023-05-09 13:58:00,13983.0,15.9667,15.945,15.96,15.98,15.945,148
2023-05-09 13:59:00,4114.0,15.9575,15.95,15.955,15.96,15.95,52
2023-05-09 14:00:00,13415.0,15.9745,15.955,15.96,16.0,15.955,171
2023-05-09 14:01:00,6249.0,15.9625,15.96,15.955,15.97,15.955,92
2023-05-09 14:02:00,11164.0,15.951,15.96,15.945,15.96,15.94,125
2023-05-09 14:03:00,7101.0,15.9242,15.94,15.91,15.94,15.905,124
2023-05-09 14:04:00,9618.0,15.9208,15.91,15.93,15.93,15.905,108
2023-05-09 14:05:00,7372.0,15.9495,15.94,15.95,15.955,15.94,52
2023-05-09 14:06:00,11550.0,15.934,15.94,15.94,15.945,15.92,144
2023-05-09 14:07:00,9343.0,15.9369,15.94,15.935,15.94,15.93,56
2023-05-09 14:08:00,6991.0,15.9302,15.93,15.935,15.935,15.925,106
2023-05-09 14:09:00,19554.0,15.928,15.93,15.925,15.935,15.915,278
2023-05-09 14:10:00,10410.0,15.9342,15.925,15.955,15.955,15.925,125
2023-05-09 14:11:00,7147.0,15.9595,15.96,15.955,15.97,15.955,88
2023-05-09 14:12:00,9313.0,15.9743,15.955,15.995,15.995,15.955,107
2023-05-09 14:13:00,3231.0,16.0094,16.01,16.02,16.02,16.01,37
2023-05-09 14:14:00,10443.0,16.0172,16.01,16.04,16.05,16.005,136
2023-05-09 14:15:00,5179.0,16.03,16.035,16.035,16.04,16.03,90
2023-05-09 14:16:00,4059.0,16.029,16.03,16.03,16.035,16.03,55
2023-05-09 14:17:00,6120.0,16.0438,16.04,16.06,16.06,16.035,60
2023-05-09 14:18:00,660.0,16.066,16.065,16.065,16.065,16.065,13
2023-05-09 14:19:00,8182.0,16.0539,16.06,16.045,16.07,16.04,126
2023-05-09 14:20:00,4035.0,16.0468,16.05,16.05,16.0544,16.045,68
2023-05-09 14:21:00,5075.0,16.0524,16.05,16.05,16.06,16.05,66
2023-05-09 14:22:00,4112.0,16.0473,16.04,16.05,16.05,16.04,40
2023-05-09 14:23:00,6773.0,16.0634,16.055,16.08,16.08,16.055,78
2023-05-09 14:24:00,6324.0,16.0655,16.07,16.055,16.07,16.05,93
2023-05-09 14:25:00,7657.0,16.0536,16.05,16.05,16.06,16.05,111
2023-05-09 14:26:00,15283.0,16.0484,16.05,16.045,16.055,16.04,191
2023-05-09 14:27:00,8640.0,16.054,16.04,16.06,16.065,16.04,94
2023-05-09 14:28:00,16015.0,16.07,16.065,16.075,16.09,16.06,175
2023-05-09 14:29:00,7790.0,16.0604,16.07,16.035,16.07,16.035,98
2023-05-09 14:30:00,6198.0,16.045,16.035,16.045,16.05,16.035,88
2023-05-09 14:31:00,3643.0,16.0567,16.045,16.06,16.065,16.045,39
2023-05-09 14:32:00,4852.0,16.0717,16.065,16.1,16.1,16.065,62
2023-05-09 14:33:00,8488.0,16.0859,16.09,16.075,16.095,16.075,97
2023-05-09 14:34:00,11487.0,16.0799,16.075,16.075,16.09,16.07,98
2023-05-09 14:35:00,16949.0,16.0714,16.075,16.055,16.085,16.055,201
2023-05-09 14:36:00,7420.0,16.0534,16.055,16.055,16.065,16.045,96
2023-05-09 14:37:00,5437.0,16.0729,16.065,16.08,16.08,16.065,57
2023-05-09 14:38:00,12724.0,16.0743,16.09,16.085,16.09,16.07,148
2023-05-09 14:39:00,5013.0,16.0863,16.085,16.085,16.095,16.085,67
2023-05-09 14:40:00,9501.0,16.0956,16.08,16.095,16.105,16.08,120
2023-05-09 14:41:00,7552.0,16.0856,16.095,16.08,16.095,16.07,101
2023-05-09 14:42:00,6486.0,16.0729,16.08,16.075,16.08,16.065,79
2023-05-09 14:43:00,17521.0,16.0942,16.075,16.115,16.115,16.075,145
2023-05-09 14:44:00,8461.0,16.1107,16.115,16.12,16.125,16.1,112
2023-05-09 14:45:00,2081.0,16.1448,16.13,16.14,16.16,16.13,35
2023-05-09 14:46:00,11361.0,16.1269,16.14,16.11,16.14,16.105,121
2023-05-09 14:47:00,1502.0,16.1104,16.11,16.115,16.115,16.11,26
2023-05-09 14:48:00,4100.0,16.1026,16.11,16.1,16.11,16.095,68
