t,v,vw,o,c,h,l,n
2024-01-12 14:16:00,600,1.67,1.67,1.67,1.67,1.67,1
2024-01-12 14:30:00,7132,1.6779,1.67,1.7,1.7,1.67,21
2024-01-12 14:32:00,162,1.7085,1.72,1.72,1.72,1.72,2
2024-01-12 14:34:00,106,1.7194,1.72,1.72,1.72,1.72,2
2024-01-12 14:35:00,1717,1.7084,1.7,1.71,1.72,1.7,15
2024-01-12 14:36:00,1530,1.6985,1.7,1.6901,1.7,1.6901,17
2024-01-12 14:38:00,25138,1.6906,1.69,1.7,1.7,1.69,260
2024-01-12 14:39:00,2583,1.7092,1.71,1.71,1.71,1.705,9
2024-01-12 14:40:00,220,1.7045,1.7,1.71,1.71,1.7,3
2024-01-12 14:41:00,2951,1.7106,1.71,1.7137,1.7137,1.71,21
2024-01-12 14:42:00,12590,1.71,1.71,1.71,1.71,1.71,105
2024-01-12 14:43:00,1027,1.7026,1.705,1.71,1.71,1.7,9
2024-01-12 14:44:00,1797,1.7101,1.71,1.71,1.71,1.71,20
2024-01-12 14:46:00,3410,1.7149,1.712,1.715,1.715,1.712,6
2024-01-12 14:47:00,8863,1.7292,1.72,1.7311,1.74,1.72,53
2024-01-12 14:48:00,7690,1.7337,1.735,1.73,1.735,1.73,23
2024-01-12 14:49:00,8730,1.7214,1.73,1.7201,1.73,1.7201,11
2024-01-12 14:50:00,3700,1.7199,1.72,1.715,1.72,1.715,25
2024-01-12 14:51:00,370,1.71,1.71,1.71,1.71,1.71,8
2024-01-12 14:52:00,4601,1.7192,1.705,1.72,1.72,1.705,29
2024-01-12 14:53:00,624,1.7198,1.72,1.72,1.72,1.72,16
2024-01-12 14:54:00,412,1.7201,1.72,1.72,1.72,1.72,5
2024-01-12 14:55:00,125,1.721,1.72,1.72,1.72,1.72,2
2024-01-12 14:56:00,3194,1.72,1.72,1.72,1.72,1.72,20
2024-01-12 14:57:00,13704,1.7129,1.72,1.71,1.72,1.71,92
2024-01-12 15:00:00,2778,1.6983,1.705,1.68,1.705,1.68,30
2024-01-12 15:02:00,596,1.6742,1.68,1.67,1.68,1.67,12
2024-01-12 15:03:00,2963,1.6703,1.67,1.675,1.675,1.67,23
2024-01-12 15:04:00,683,1.6799,1.68,1.68,1.68,1.68,5
2024-01-12 15:06:00,1600,1.6799,1.68,1.6799,1.68,1.6799,2
2024-01-12 15:07:00,2595,1.6805,1.6789,1.685,1.685,1.6789,28
2024-01-12 15:08:00,105,1.685,1.685,1.685,1.685,1.685,3
2024-01-12 15:10:00,200,1.6863,1.685,1.6875,1.6875,1.685,2
2024-01-12 15:11:00,1886,1.68,1.68,1.68,1.68,1.68,12
