t,v,vw,o,c,h,l,n
2023-10-02 09:52:00,210,78.5043,78.5,78.5,78.5,78.5,2
2023-10-02 09:53:00,115,78.4431,78.44,78.44,78.44,78.44,6
2023-10-02 12:00:00,1157,78.7311,78.74,78.74,78.74,78.74,7
2023-10-02 12:02:00,510,78.2231,78.21,78.21,78.21,78.21,10
2023-10-02 12:03:00,497,78.1616,78.15,78.15,78.15,78.15,11
2023-10-02 12:24:00,274,78.15,78.15,78.15,78.15,78.15,1
2023-10-02 13:01:00,228,78.0022,78.0,78.0,78.0,78.0,5
2023-10-02 13:07:00,154,77.8092,77.8,77.8,77.8,77.8,6
2023-10-02 13:11:00,216,77.7994,77.8,77.8,77.8,77.8,2
2023-10-02 13:24:00,100,79.08,79.08,79.08,79.08,79.08,1
2023-10-02 13:26:00,100,78.5,78.5,78.5,78.5,78.5,1
2023-10-02 13:30:00,28861,77.869,78.155,78.04,78.155,77.84,166
2023-10-02 13:31:00,9982,78.1619,78.04,78.13,78.28,78.04,170
2023-10-02 13:32:00,5453,78.3322,78.25,78.355,78.46,78.25,66
2023-10-02 13:33:00,3512,78.4731,78.39,78.655,78.655,78.295,52
2023-10-02 13:34:00,6304,78.5592,78.675,78.495,78.75,78.36,126
2023-10-02 13:35:00,4183,78.5781,78.525,78.58,78.64,78.47,79
2023-10-02 13:36:00,5836,78.5466,78.6,78.495,78.64,78.43,98
2023-10-02 13:37:00,2480,78.5102,78.49,78.5,78.57,78.44,46
2023-10-02 13:38:00,6368,78.7037,78.57,78.78,78.81,78.57,111
2023-10-02 13:39:00,5910,78.8895,78.785,78.835,78.98,78.77,117
2023-10-02 13:40:00,6141,78.8242,78.885,78.805,78.92,78.73,99
2023-10-02 13:41:00,5681,78.8335,78.805,78.885,78.9,78.74,85
2023-10-02 13:42:00,4318,78.8937,78.9,78.905,78.915,78.85,70
2023-10-02 13:43:00,5095,78.8712,78.93,78.85,78.93,78.84,133
2023-10-02 13:44:00,11002,79.0545,78.9,79.125,79.135,78.9,199
2023-10-02 13:45:00,12865,79.0065,79.14,79.13,79.14,78.89,291
2023-10-02 13:46:00,13934,79.0236,79.05,78.96,79.15,78.9,302
2023-10-02 13:47:00,6229,78.9014,78.99,78.85,79.04,78.81,114
2023-10-02 13:48:00,17916,78.8409,78.8,78.93,79.01,78.8,122
2023-10-02 13:49:00,10111,78.9205,78.96,78.86,78.975,78.818,124
2023-10-02 13:50:00,4225,78.7831,78.86,78.775,78.86,78.65,117
2023-10-02 13:51:00,1799,78.7879,78.775,78.724,78.81,78.724,45
2023-10-02 13:52:00,2221,78.7888,78.775,78.79,78.83,78.75,35
2023-10-02 13:53:00,4714,78.7336,78.72,78.76,78.775,78.69,111
2023-10-02 13:54:00,6240,78.7915,78.775,78.805,78.845,78.76,78
2023-10-02 13:55:00,8169,78.894,78.84,78.88,79.01,78.84,133
2023-10-02 13:56:00,2641,78.8109,78.875,78.745,78.89,78.745,60
2023-10-02 13:57:00,1726,78.787,78.8,78.7973,78.81,78.7973,30
2023-10-02 13:58:00,1358,78.7735,78.795,78.74,78.795,78.74,38
2023-10-02 13:59:00,2454,78.7626,78.75,78.76,78.8,78.725,67
2023-10-02 14:00:00,7075,78.791,78.72,78.9,78.98,78.66,147
2023-10-02 14:01:00,1074,78.9392,78.965,78.965,78.965,78.9,31
2023-10-02 14:02:00,4003,79.0038,78.935,79.095,79.095,78.89,97
2023-10-02 14:03:00,3499,79.1409,79.095,79.185,79.19,79.09,64
2023-10-02 14:04:00,5454,79.1098,79.18,79.035,79.19,79.03,84
2023-10-02 14:05:00,3446,78.9515,79.04,78.8799,79.04,78.79,77
2023-10-02 14:06:00,17140,78.8439,78.835,78.82,78.94,78.7395,295
2023-10-02 14:07:00,2420,78.6029,78.67,78.5801,78.67,78.58,28
2023-10-02 14:08:00,13093,78.693,78.6,78.775,78.78,78.5355,158
2023-10-02 14:09:00,6080,78.7718,78.715,78.72,78.83,78.71,97
2023-10-02 14:10:00,2004,78.4962,78.66,78.43,78.66,78.43,66
2023-10-02 14:11:00,1732,78.4467,78.42,78.44,78.5,78.42,54
2023-10-02 14:12:00,1907,78.4431,78.4238,78.51,78.51,78.4101,28
2023-10-02 14:13:00,4491,78.4165,78.47,78.48,78.51,78.36,52
2023-10-02 14:14:00,1418,78.4029,78.41,78.345,78.4625,78.345,31
2023-10-02 14:15:00,5502,78.4388,78.355,78.56,78.56,78.355,136
2023-10-02 14:16:00,9834,78.6046,78.57,78.55,78.66,78.53,220
2023-10-02 14:17:00,2967,78.5801,78.6,78.61,78.61,78.57,35
2023-10-02 14:18:00,10265,78.6535,78.63,78.72,78.735,78.57,179
2023-10-02 14:19:00,2350,78.6157,78.71,78.51,78.71,78.51,53
2023-10-02 14:20:00,1503,78.562,78.56,78.55,78.57,78.55,33
2023-10-02 14:21:00,1696,78.5079,78.54,78.48,78.54,78.48,57
2023-10-02 14:22:00,4708,78.4451,78.45,78.48,78.49,78.36,134
2023-10-02 14:23:00,4513,78.5359,78.46,78.64,78.64,78.435,96
2023-10-02 14:24:00,6367,78.6179,78.64,78.6,78.68,78.55,136
2023-10-02 14:25:00,12489,78.6426,78.585,78.61,78.685,78.56,95
2023-10-02 14:26:00,24860,78.5416,78.6,78.49,78.61,78.49,127
2023-10-02 14:27:00,3515,78.4246,78.475,78.28,78.51,78.28,100
2023-10-02 14:28:00,6231,78.2167,78.27,78.25,78.27,78.18,143
2023-10-02 14:29:00,6393,78.0747,78.27,78.06,78.27,78.0,156
2023-10-02 14:30:00,5217,78.0327,78.08,78.05,78.08,78.0,92
2023-10-02 14:31:00,6512,78.0266,77.97,77.957,78.07,77.957,140
2023-10-02 14:32:00,5641,78.1617,78.04,78.15,78.265,78.04,156
2023-10-02 14:33:00,8047,78.2192,78.19,78.16,78.28,78.16,60
2023-10-02 14:34:00,1849,78.1895,78.19,78.17,78.24,78.17,52
2023-10-02 14:35:00,1234,78.2317,78.24,78.1812,78.26,78.1812,43
2023-10-02 14:36:00,4796,78.208,78.1792,78.28,78.28,78.17,65
2023-10-02 14:37:00,4909,78.2647,78.28,78.22,78.34,78.22,121
2023-10-02 14:38:00,2899,78.2006,78.235,78.17,78.245,78.17,48
2023-10-02 14:39:00,2586,78.1153,78.15,78.095,78.18,78.08,78
2023-10-02 14:40:00,2115,78.1496,78.1,78.165,78.19,78.0701,74
2023-10-02 14:41:00,2190,78.126,78.14,78.11,78.155,78.1,56
2023-10-02 14:42:00,5586,78.0672,78.09,77.98,78.11,77.98,117
2023-10-02 14:43:00,6316,77.9568,77.96,77.9608,78.015,77.94,85
2023-10-02 14:44:00,7451,78.1176,78.02,78.175,78.205,78.02,178
2023-10-02 14:45:00,12482,78.2231,78.18,78.15,78.295,78.15,149
2023-10-02 14:46:00,5360,78.0893,78.09,78.1,78.125,78.05,109
2023-10-02 14:47:00,4810,78.0987,78.08,78.12,78.16,78.03,99
2023-10-02 14:48:00,9244,78.2068,78.16,78.12,78.25,78.12,203
2023-10-02 14:49:00,6193,78.1519,78.155,78.185,78.215,78.1,106
2023-10-02 14:50:00,3109,78.1868,78.19,78.18,78.22,78.15,67
2023-10-02 14:51:00,7779,78.1292,78.17,78.11,78.18,78.09,106
2023-10-02 14:52:00,7415,78.1392,78.11,78.145,78.19,78.1,120
2023-10-02 14:53:00,4601,78.0672,78.14,78.04,78.14,78.02,129
2023-10-02 14:54:00,5851,78.0105,77.9956,78.06,78.06,77.97,121
2023-10-02 14:55:00,5367,78.0582,78.035,78.08,78.08,78.03,101
2023-10-02 14:56:00,8493,78.0701,78.07,78.02,78.08,78.02,110
2023-10-02 14:57:00,8048,77.8964,77.99,77.82,77.99,77.81,187
2023-10-02 14:58:00,14020,77.8025,77.8,77.8466,77.87,77.74,366
2023-10-02 14:59:00,4060,77.8183,77.88,77.78,77.88,77.76,112
2023-10-02 15:00:00,5731,77.7705,77.76,77.73,77.83,77.71,131
2023-10-02 15:01:00,7099,77.7847,77.76,77.85,77.85,77.73,243
2023-10-02 15:02:00,6304,77.8946,77.88,77.97,77.97,77.84,160
2023-10-02 15:03:00,5134,78.0219,77.975,78.14,78.14,77.9549,126
2023-10-02 15:04:00,4263,78.1302,78.105,78.1,78.16,78.08,148
2023-10-02 15:05:00,4069,78.0982,78.11,78.12,78.14,78.08,109
2023-10-02 15:06:00,1669,78.0932,78.09,78.1,78.13,78.06,25
2023-10-02 15:07:00,6216,78.2416,78.16,78.3,78.35,78.16,186
2023-10-02 15:08:00,14417,78.2419,78.3,78.235,78.3,78.08,246
2023-10-02 15:09:00,2805,78.1723,78.18,78.17,78.225,78.1301,46
2023-10-02 15:10:00,1995,78.2162,78.2,78.22,78.245,78.19,45
2023-10-02 15:11:00,3769,78.2938,78.215,78.33,78.337,78.215,92
2023-10-02 15:12:00,1986,78.3725,78.3566,78.4,78.43,78.34,57
2023-10-02 15:13:00,2349,78.4158,78.37,78.43,78.43,78.37,60
2023-10-02 15:14:00,1255,78.4906,78.47,78.53,78.53,78.47,50
2023-10-02 15:15:00,17319,78.621,78.54,78.65,78.65,78.54,88
2023-10-02 15:16:00,11342,78.6895,78.66,78.73,78.75,78.625,140
2023-10-02 15:17:00,2313,78.7076,78.73,78.74,78.74,78.695,64
2023-10-02 15:18:00,2841,78.7371,78.74,78.74,78.81,78.7,78
2023-10-02 15:19:00,779,78.7969,78.765,78.81,78.82,78.765,30
2023-10-02 15:20:00,2827,78.8354,78.8405,78.86,78.88,78.79,94
2023-10-02 15:21:00,3199,78.918,78.87,78.97,78.97,78.87,110
2023-10-02 15:22:00,4763,78.9927,78.975,79.03,79.03,78.975,57
2023-10-02 15:23:00,2255,79.0626,79.03,79.08,79.09,79.03,66
2023-10-02 15:24:00,2340,79.0652,79.0447,79.05,79.0787,79.0301,26
2023-10-02 15:25:00,5269,79.0232,79.06,78.98,79.06,78.98,138
2023-10-02 15:26:00,4141,79.0282,78.975,79.06,79.06,78.9676,57
2023-10-02 15:27:00,4917,79.0899,79.07,79.0972,79.115,79.0401,85
2023-10-02 15:28:00,797,79.0994,79.11,79.1,79.11,79.1,39
2023-10-02 15:29:00,7181,79.0478,79.07,79.05,79.085,79.0,183
2023-10-02 15:30:00,1779,79.0394,79.015,79.035,79.05,79.015,50
2023-10-02 15:31:00,5340,78.9683,79.005,78.95,79.0399,78.93,120
2023-10-02 15:32:00,10567,78.9769,78.935,79.06,79.06,78.9211,126
2023-10-02 15:33:00,4960,79.0622,79.06,79.09,79.09,79.0201,97
2023-10-02 15:34:00,7210,79.0621,79.0365,79.075,79.1,79.0365,131
2023-10-02 15:35:00,17671,79.0301,79.06,78.9626,79.1,78.95,180
2023-10-02 15:36:00,21239,78.906,78.945,78.7399,78.97,78.66,218
2023-10-02 15:37:00,6145,78.6972,78.65,78.72,78.725,78.65,114
2023-10-02 15:38:00,2921,78.6567,78.68,78.6,78.72,78.6,78
2023-10-02 15:39:00,2014,78.6756,78.66,78.715,78.715,78.66,50
2023-10-02 15:40:00,3295,78.6831,78.69,78.73,78.73,78.63,77
2023-10-02 15:41:00,3100,78.6706,78.7,78.68,78.7,78.67,71
2023-10-02 15:42:00,15363,78.6431,78.65,78.6,78.68,78.58,76
2023-10-02 15:43:00,16521,78.5087,78.5,78.545,78.56,78.45,238
2023-10-02 15:44:00,19012,78.5493,78.545,78.48,78.59,78.48,244
2023-10-02 15:45:00,11541,78.4391,78.46,78.39,78.47,78.39,178
2023-10-02 15:46:00,9032,78.4095,78.39,78.425,78.45,78.29,105
2023-10-02 15:47:00,8300,78.4083,78.405,78.415,78.44,78.38,118
2023-10-02 15:48:00,5022,78.3737,78.39,78.36,78.42,78.36,39
2023-10-02 15:49:00,6244,78.3217,78.37,78.32,78.37,78.305,78
2023-10-02 15:50:00,20486,78.4331,78.34,78.505,78.55,78.335,250
2023-10-02 15:51:00,4494,78.5339,78.54,78.51,78.56,78.5,90
2023-10-02 15:52:00,1954,78.5485,78.51,78.57,78.59,78.51,44
2023-10-02 15:53:00,26655,78.5396,78.59,78.33,78.5925,78.33,271
2023-10-02 15:54:00,2526,78.3915,78.38,78.395,78.4,78.38,59
2023-10-02 15:55:00,4191,78.365,78.38,78.36,78.44,78.3501,45
2023-10-02 15:56:00,2461,78.3727,78.36,78.405,78.41,78.3475,34
2023-10-02 15:57:00,1481,78.4225,78.41,78.4,78.44,78.4,47
2023-10-02 15:58:00,7811,78.4534,78.45,78.45,78.47,78.42,140
2023-10-02 15:59:00,13811,78.4692,78.46,78.4,78.49,78.4,149
2023-10-02 16:01:00,1758,78.281,78.3,78.27,78.31,78.27,46
2023-10-02 16:02:00,2111,78.2616,78.23,78.27,78.3,78.21,57
2023-10-02 16:03:00,1507,78.3049,78.3,78.295,78.315,78.295,37
2023-10-02 16:04:00,7604,78.32,78.295,78.325,78.39,78.285,187
2023-10-02 16:05:00,9059,78.3597,78.315,78.37,78.375,78.315,113
2023-10-02 16:06:00,1873,78.3144,78.3001,78.3,78.35,78.3,48
2023-10-02 16:07:00,3356,78.2203,78.295,78.13,78.295,78.13,73
2023-10-02 16:08:00,7219,78.1667,78.17,78.11,78.21,78.11,85
2023-10-02 16:09:00,6032,78.0353,78.09,78.03,78.1,77.99,107
2023-10-02 16:10:00,1797,77.9855,77.99,77.985,78.02,77.98,27
2023-10-02 16:11:00,1681,78.0318,78.02,78.07,78.07,78.02,57
2023-10-02 16:12:00,2360,78.0437,78.06,78.03,78.08,78.03,53
2023-10-02 16:13:00,4026,78.1058,78.08,78.12,78.16,78.065,75
2023-10-02 16:14:00,4792,78.1815,78.08,78.27,78.27,78.08,84
2023-10-02 16:15:00,2354,78.2795,78.28,78.265,78.32,78.26,51
2023-10-02 16:16:00,3333,78.2788,78.27,78.27,78.295,78.24,47
2023-10-02 16:17:00,2254,78.2636,78.2983,78.215,78.2983,78.215,34
2023-10-02 16:18:00,1582,78.2048,78.215,78.1749,78.24,78.1749,31
2023-10-02 16:19:00,1255,78.1993,78.2399,78.2041,78.2399,78.16,38
2023-10-02 16:20:00,943,78.2198,78.225,78.1942,78.255,78.1942,20
2023-10-02 16:21:00,3614,78.2418,78.26,78.2107,78.28,78.2107,43
2023-10-02 16:22:00,134,78.2566,78.25,78.25,78.25,78.25,7
2023-10-02 16:23:00,1611,78.2984,78.27,78.33,78.33,78.27,52
2023-10-02 16:24:00,1186,78.3025,78.315,78.3,78.315,78.29,26
2023-10-02 16:25:00,1570,78.2552,78.295,78.22,78.3,78.22,74
2023-10-02 16:26:00,986,78.2236,78.21,78.215,78.2411,78.21,20
2023-10-02 16:27:00,1156,78.1279,78.22,78.1276,78.22,78.09,25
2023-10-02 16:28:00,643,78.0424,78.06,77.99,78.075,77.99,22
2023-10-02 16:29:00,1580,78.0372,78.01,78.0436,78.055,78.01,41
2023-10-02 16:30:00,1742,78.0231,78.03,78.05,78.05,78.0,51
2023-10-02 16:31:00,1455,77.9975,78.02,77.98,78.02,77.98,41
2023-10-02 16:32:00,1201,78.022,78.04,78.0,78.05,77.99,27
2023-10-02 16:33:00,8726,78.0504,78.04,78.05,78.06,78.04,75
2023-10-02 16:34:00,479,78.0362,78.05,78.025,78.05,78.025,19
2023-10-02 16:35:00,2123,78.0864,78.07,78.1013,78.12,78.06,56
2023-10-02 16:36:00,9014,78.0438,78.09,78.07,78.11,78.01,146
2023-10-02 16:37:00,1291,78.0159,78.01,78.055,78.055,78.01,30
2023-10-02 16:38:00,1411,77.9906,77.96,78.009,78.009,77.955,45
2023-10-02 16:39:00,5748,78.0856,78.08,78.09,78.095,78.08,112
2023-10-02 16:40:00,1314,78.1012,78.11,78.1,78.12,78.07,40
2023-10-02 16:41:00,2219,78.1105,78.1,78.09,78.18,78.09,57
2023-10-02 16:42:00,1171,78.0647,78.1,78.05,78.1,78.05,36
2023-10-02 16:43:00,6510,78.1104,78.09,78.145,78.17,78.09,69
2023-10-02 16:44:00,2265,78.0824,78.11,78.09,78.11,78.05,55
2023-10-02 16:45:00,1690,78.0892,78.11,78.08,78.11,78.06,36
2023-10-02 16:46:00,4397,78.1408,78.1,78.195,78.2,78.1,100
2023-10-02 16:47:00,2912,78.1977,78.2111,78.18,78.23,78.17,44
2023-10-02 16:48:00,1723,78.132,78.195,78.06,78.195,78.06,45
2023-10-02 16:49:00,7515,78.0347,78.045,78.04,78.08,77.99,101
2023-10-02 16:50:00,12798,77.9636,78.07,77.94,78.07,77.87,197
2023-10-02 16:51:00,1439,77.9199,77.88,77.915,77.92,77.88,38
2023-10-02 16:52:00,927,77.9,77.91,77.88,77.92,77.88,31
2023-10-02 16:53:00,4276,77.9267,77.9187,77.985,77.985,77.89,44
2023-10-02 16:54:00,2550,77.9657,77.94,77.96,77.99,77.93,63
2023-10-02 16:55:00,3559,78.0025,77.95,78.03,78.03,77.95,48
2023-10-02 16:56:00,1681,77.9798,77.97,78.01,78.01,77.96,28
2023-10-02 16:57:00,13144,78.0097,77.985,78.0,78.02,77.985,232
2023-10-02 16:58:00,4074,77.9999,77.97,78.03,78.045,77.95,101
2023-10-02 16:59:00,1467,78.0343,78.025,78.04,78.08,78.02,46
2023-10-02 17:00:00,2445,78.079,78.07,78.11,78.11,78.03,67
2023-10-02 17:01:00,1665,78.1197,78.115,78.15,78.15,78.1,51
2023-10-02 17:03:00,3566,78.1737,78.17,78.21,78.22,78.16,75
2023-10-02 17:04:00,2835,78.1702,78.2,78.14,78.2,78.14,68
2023-10-02 17:05:00,5689,78.0917,78.15,78.06,78.17,78.04,89
2023-10-02 17:06:00,2455,78.0768,78.06,78.08,78.09,78.0561,58
2023-10-02 17:07:00,17033,78.0764,78.08,78.04,78.1,78.03,161
2023-10-02 17:08:00,2889,78.063,78.05,78.105,78.105,78.03,56
2023-10-02 17:09:00,2741,78.1062,78.07,78.1,78.15,78.07,77
2023-10-02 17:10:00,901,78.1165,78.125,78.0954,78.125,78.0954,21
2023-10-02 17:11:00,2318,78.0774,78.11,78.04,78.11,78.04,50
2023-10-02 17:12:00,5770,77.9958,78.02,77.97,78.02,77.95,98
2023-10-02 17:13:00,492,77.9248,77.94,77.9009,77.94,77.9009,26
2023-10-02 17:14:00,1650,77.8858,77.89,77.87,77.9,77.87,55
2023-10-02 17:15:00,3011,77.9292,77.875,77.99,77.99,77.875,77
2023-10-02 17:16:00,5518,78.0165,78.0095,78.01,78.05,78.0,101
2023-10-02 17:17:00,9180,78.01,78.015,78.0045,78.02,78.0,101
2023-10-02 17:18:00,4536,78.013,78.02,77.98,78.0594,77.98,88
2023-10-02 17:19:00,1849,77.9057,77.9,77.9,77.91,77.89,50
2023-10-02 17:20:00,7668,77.9292,77.88,78.06,78.06,77.88,129
2023-10-02 17:21:00,1089,78.0359,78.04,78.02,78.07,78.02,28
2023-10-02 17:22:00,1485,78.0037,78.01,78.03,78.03,78.0,36
2023-10-02 17:23:00,939,78.046,78.045,78.04,78.06,78.04,35
2023-10-02 17:25:00,2060,78.0307,78.01,78.05,78.06,78.01,70
2023-10-02 17:26:00,2532,78.0843,78.05,78.12,78.12,78.05,64
2023-10-02 17:27:00,2164,78.1706,78.16,78.19,78.19,78.14,44
2023-10-02 17:28:00,1920,78.1553,78.1935,78.1,78.1995,78.1,51
2023-10-02 17:29:00,2064,78.107,78.115,78.12,78.12,78.09,51
2023-10-02 17:30:00,1233,78.1754,78.13,78.21,78.21,78.13,45
2023-10-02 17:31:00,986,78.1671,78.18,78.16,78.18,78.16,33
2023-10-02 17:32:00,3833,78.1061,78.155,78.1,78.155,78.06,79
2023-10-02 17:33:00,4570,78.0985,78.1,78.085,78.1,78.085,46
2023-10-02 17:34:00,1026,78.1005,78.11,78.08,78.12,78.08,41
2023-10-02 17:35:00,1741,78.0998,78.07,78.12,78.14,78.07,57
2023-10-02 17:36:00,873,78.0761,78.07,78.07,78.1,78.07,30
2023-10-02 17:37:00,1162,78.0271,78.05,77.99,78.05,77.99,52
2023-10-02 17:38:00,10000,77.9659,78.015,77.97,78.04,77.915,192
2023-10-02 17:39:00,6685,77.9335,77.97,77.88,77.97,77.88,75
2023-10-02 17:40:00,4141,77.923,77.89,77.95,77.95,77.89,68
2023-10-02 17:41:00,1381,77.9486,77.95,77.92,77.97,77.92,64
2023-10-02 17:42:00,5070,77.9586,77.92,78.02,78.02,77.92,130
2023-10-02 17:43:00,1911,77.9989,78.01,77.98,78.01,77.98,28
2023-10-02 17:44:00,832,78.0148,78.0,78.0,78.04,78.0,21
2023-10-02 17:45:00,1207,78.0156,77.99,78.05,78.05,77.99,48
2023-10-02 17:46:00,2019,78.0502,78.03,78.1,78.1,78.025,70
2023-10-02 17:48:00,4247,78.027,78.06,78.02,78.06,78.01,102
2023-10-02 17:49:00,2463,78.025,78.02,78.04,78.04,77.99,58
2023-10-02 17:50:00,1754,78.0349,78.03,77.99,78.06,77.99,48
2023-10-02 17:51:00,872,78.0123,78.05,78.01,78.05,78.01,33
2023-10-02 17:52:00,1139,78.0423,78.0,78.08,78.08,78.0,45
2023-10-02 17:53:00,5930,78.0906,78.09,78.1,78.1,78.07,64
2023-10-02 17:54:00,1253,78.1178,78.11,78.14,78.14,78.11,45
2023-10-02 17:55:00,3425,78.1651,78.1375,78.175,78.175,78.1375,63
2023-10-02 17:56:00,4096,78.1558,78.17,78.1,78.17,78.1,86
2023-10-02 17:57:00,903,78.092,78.105,78.08,78.105,78.08,21
2023-10-02 17:58:00,529,78.0549,78.03,78.06,78.06,78.03,24
2023-10-02 17:59:00,454,78.0553,78.06,78.06,78.06,78.06,32
2023-10-02 18:00:00,3091,78.0374,78.055,78.01,78.06,78.01,71
2023-10-02 18:01:00,4007,77.9823,77.94,78.0,78.02,77.94,97
2023-10-02 18:02:00,2103,77.9939,77.96,78.01,78.03,77.95,50
2023-10-02 18:03:00,1626,78.0289,78.0101,78.06,78.06,78.01,48
2023-10-02 18:04:00,2175,78.0028,78.07,77.98,78.07,77.98,43
2023-10-02 18:05:00,1911,78.0034,77.99,78.0085,78.01,77.99,42
2023-10-02 18:06:00,3796,78.0181,78.0,78.065,78.065,77.99,42
2023-10-02 18:07:00,3205,78.0249,78.01,78.01,78.05,78.01,85
2023-10-02 18:08:00,3898,78.0277,77.99,78.045,78.05,77.99,56
2023-10-02 18:09:00,2708,78.0343,78.0313,78.01,78.05,78.01,48
2023-10-02 18:10:00,2788,78.0444,78.01,78.05,78.08,78.01,60
2023-10-02 18:11:00,3775,78.1535,78.08,78.225,78.23,78.06,92
2023-10-02 18:12:00,2375,78.2704,78.255,78.28,78.295,78.255,46
2023-10-02 18:13:00,2997,78.2913,78.27,78.29,78.32,78.27,60
