t,v,vw,o,c,h,l,n
2023-11-27 14:30:00,13328,17.6862,17.63,17.64,17.71,17.63,29
2023-11-27 14:31:00,1974,17.6201,17.63,17.6,17.63,17.6,27
2023-11-27 14:32:00,1669,17.6054,17.59,17.62,17.62,17.59,22
2023-11-27 14:33:00,1594,17.614,17.62,17.61,17.62,17.6,19
2023-11-27 14:34:00,329,17.618,17.62,17.62,17.62,17.62,9
2023-11-27 14:35:00,2157,17.641,17.63,17.645,17.645,17.63,14
2023-11-27 14:36:00,2538,17.6427,17.64,17.63,17.645,17.63,17
2023-11-27 14:37:00,2329,17.6487,17.64,17.6499,17.6499,17.64,7
2023-11-27 14:38:00,2582,17.64,17.64,17.64,17.64,17.64,22
2023-11-27 14:39:00,3308,17.63,17.63,17.63,17.63,17.63,12
2023-11-27 14:40:00,9247,17.6446,17.64,17.65,17.66,17.63,64
2023-11-27 14:41:00,521,17.6406,17.64,17.64,17.64,17.64,7
2023-11-27 14:42:00,1704,17.6261,17.6381,17.62,17.64,17.62,8
2023-11-27 14:43:00,3246,17.6195,17.62,17.62,17.62,17.615,15
2023-11-27 14:44:00,1404,17.6195,17.62,17.6201,17.6201,17.61,12
2023-11-27 14:45:00,2414,17.6297,17.63,17.63,17.63,17.625,22
2023-11-27 14:46:00,10830,17.639,17.6288,17.645,17.645,17.6288,31
2023-11-27 14:47:00,1788,17.6367,17.64,17.63,17.64,17.63,26
2023-11-27 14:48:00,6768,17.6396,17.63,17.64,17.64,17.63,39
2023-11-27 14:49:00,1944,17.6358,17.64,17.63,17.64,17.63,15
2023-11-27 14:50:00,2340,17.6178,17.62,17.62,17.62,17.61,35
2023-11-27 14:51:00,1156,17.6273,17.62,17.63,17.63,17.62,17
2023-11-27 14:52:00,3512,17.624,17.63,17.62,17.63,17.62,32
2023-11-27 14:53:00,8926,17.6151,17.6199,17.61,17.6199,17.61,28
2023-11-27 14:54:00,955,17.6123,17.615,17.61,17.615,17.61,8
2023-11-27 14:56:00,523,17.6209,17.615,17.625,17.625,17.615,8
2023-11-27 14:57:00,1854,17.6306,17.63,17.63,17.635,17.63,15
2023-11-27 14:58:00,561,17.6229,17.63,17.62,17.63,17.62,9
2023-11-27 14:59:00,5604,17.6106,17.615,17.61,17.615,17.61,38
2023-11-27 15:00:00,1371,17.6196,17.62,17.61,17.625,17.61,10
2023-11-27 15:01:00,332,17.6202,17.62,17.62,17.62,17.62,9
2023-11-27 15:02:00,4000,17.6298,17.6201,17.63,17.63,17.6201,20
2023-11-27 15:03:00,110,17.63,17.63,17.63,17.63,17.63,2
2023-11-27 15:04:00,147,17.6368,17.64,17.64,17.64,17.64,5
2023-11-27 15:05:00,7406,17.639,17.63,17.64,17.64,17.63,19
2023-11-27 15:06:00,2415,17.6309,17.63,17.63,17.6375,17.63,14
2023-11-27 15:07:00,3842,17.627,17.63,17.63,17.63,17.62,30
2023-11-27 15:08:00,860,17.6311,17.63,17.6373,17.6373,17.63,11
2023-11-27 15:10:00,1774,17.6418,17.64,17.645,17.645,17.64,17
2023-11-27 15:11:00,201,17.645,17.645,17.645,17.645,17.645,3
2023-11-27 15:12:00,391,17.6384,17.64,17.635,17.64,17.635,10
2023-11-27 15:13:00,246,17.6508,17.65,17.65,17.65,17.65,4
2023-11-27 15:14:00,374,17.65,17.65,17.65,17.65,17.65,7
2023-11-27 15:15:00,339,17.6527,17.66,17.66,17.66,17.66,7
2023-11-27 15:16:00,474,17.6699,17.665,17.675,17.675,17.665,12
2023-11-27 15:17:00,6060,17.6794,17.68,17.67,17.685,17.67,21
2023-11-27 15:18:00,619,17.6711,17.672,17.67,17.672,17.67,4
2023-11-27 15:19:00,1026,17.6684,17.67,17.6668,17.67,17.6668,10
2023-11-27 15:20:00,757,17.6691,17.665,17.67,17.67,17.665,9
2023-11-27 15:21:00,694,17.6763,17.6752,17.6752,17.6752,17.6752,8
2023-11-27 15:22:00,437,17.68,17.68,17.68,17.68,17.68,5
2023-11-27 15:23:00,449,17.6798,17.68,17.68,17.68,17.68,6
2023-11-27 15:24:00,2938,17.6648,17.67,17.655,17.675,17.655,34
2023-11-27 15:25:00,1610,17.6565,17.65,17.66,17.66,17.65,16
2023-11-27 15:26:00,2780,17.66,17.66,17.6601,17.6601,17.66,19
2023-11-27 15:27:00,546,17.6697,17.67,17.67,17.67,17.67,14
2023-11-27 15:28:00,600,17.66,17.66,17.66,17.66,17.66,6
2023-11-27 15:30:00,1404,17.6682,17.67,17.67,17.67,17.666,14
2023-11-27 15:31:00,3257,17.6642,17.67,17.66,17.67,17.66,19
2023-11-27 15:32:00,3504,17.6506,17.66,17.65,17.66,17.645,15
2023-11-27 15:33:00,401,17.651,17.65,17.65,17.65,17.645,5
2023-11-27 15:34:00,304,17.6533,17.655,17.65,17.655,17.65,3
2023-11-27 15:35:00,919,17.6558,17.6516,17.66,17.66,17.6516,9
2023-11-27 15:36:00,1033,17.663,17.67,17.66,17.67,17.66,10
2023-11-27 15:37:00,812,17.6555,17.65,17.66,17.66,17.65,5
