t,v,vw,o,c,h,l,n
2024-01-29 14:27:00,124,43.1995,43.2,43.2,43.2,43.2,4
2024-01-29 14:30:00,17579,43.1939,43.19,43.18,43.25,43.18,64
2024-01-29 14:31:00,984,43.2033,43.21,43.17,43.33,43.17,23
2024-01-29 14:32:00,2622,43.4154,43.34,43.41,43.57,43.34,61
2024-01-29 14:33:00,2277,43.3673,43.53,43.43,43.55,43.3,59
2024-01-29 14:34:00,2176,43.4286,43.37,43.47,43.47,43.36,56
2024-01-29 14:35:00,1216,43.6221,43.65,43.68,43.68,43.59,40
2024-01-29 14:36:00,1034,43.7427,43.69,43.78,43.78,43.69,32
2024-01-29 14:37:00,6359,43.7042,43.7031,43.6,43.82,43.59,61
2024-01-29 14:38:00,282,43.6049,43.58,43.62,43.62,43.58,16
2024-01-29 14:39:00,1529,43.7795,43.73,43.8,43.84,43.73,50
2024-01-29 14:40:00,3410,43.7122,43.81,43.5,43.82,43.5,68
2024-01-29 14:41:00,959,43.4352,43.47,43.43,43.47,43.43,28
2024-01-29 14:42:00,376,43.5081,43.49,43.49,43.49,43.49,19
2024-01-29 14:43:00,2162,43.5982,43.57,43.615,43.64,43.56,38
2024-01-29 14:44:00,613,43.5782,43.625,43.55,43.625,43.55,20
2024-01-29 14:45:00,1054,43.5151,43.526,43.51,43.526,43.51,19
2024-01-29 14:46:00,1037,43.4959,43.48,43.5,43.5,43.48,25
2024-01-29 14:47:00,1605,43.5071,43.47,43.51,43.51,43.47,52
2024-01-29 14:48:00,850,43.5997,43.615,43.61,43.615,43.61,26
2024-01-29 14:49:00,1572,43.5696,43.65,43.57,43.65,43.54,50
2024-01-29 14:50:00,930,43.4932,43.48,43.495,43.5,43.48,27
2024-01-29 14:51:00,1085,43.4947,43.47,43.53,43.53,43.47,34
2024-01-29 14:52:00,799,43.55,43.53,43.53,43.53,43.52,37
2024-01-29 14:53:00,226,43.5801,43.58,43.58,43.58,43.58,13
2024-01-29 14:54:00,2179,43.5963,43.62,43.55,43.645,43.55,61
2024-01-29 14:55:00,2461,43.549,43.555,43.53,43.575,43.52,49
2024-01-29 14:56:00,1972,43.507,43.54,43.525,43.54,43.49,30
2024-01-29 14:57:00,995,43.5195,43.51,43.52,43.53,43.51,27
2024-01-29 14:58:00,5028,43.4945,43.495,43.475,43.495,43.475,29
2024-01-29 14:59:00,5907,43.3916,43.48,43.39,43.48,43.31,93
2024-01-29 15:00:00,4480,43.3376,43.38,43.26,43.38,43.26,95
2024-01-29 15:01:00,15394,43.115,43.23,43.08,43.23,43.01,236
2024-01-29 15:02:00,13535,43.1572,43.08,43.185,43.2,43.08,128
2024-01-29 15:03:00,3034,43.0958,43.16,43.08,43.16,43.05,47
2024-01-29 15:04:00,2711,43.0616,43.06,43.06,43.095,43.06,22
2024-01-29 15:05:00,9494,43.1091,43.06,43.09,43.14,43.06,160
2024-01-29 15:06:00,19788,43.0927,43.095,43.13,43.14,43.08,241
2024-01-29 15:07:00,8165,43.1558,43.15,43.11,43.17,43.11,164
2024-01-29 15:08:00,5355,43.1321,43.13,43.13,43.14,43.11,94
2024-01-29 15:09:00,15678,43.1776,43.16,43.26,43.26,43.13,114
2024-01-29 15:10:00,6763,43.3407,43.23,43.27,43.4566,43.23,133
2024-01-29 15:11:00,5785,43.3742,43.32,43.32,43.455,43.31,79
2024-01-29 15:12:00,17408,43.3998,43.32,43.54,43.54,43.32,260
2024-01-29 15:13:00,5131,43.5216,43.57,43.52,43.58,43.5,90
2024-01-29 15:14:00,1332,43.5259,43.52,43.54,43.55,43.5,34
2024-01-29 15:15:00,2732,43.5421,43.56,43.62,43.62,43.5,47
2024-01-29 15:16:00,2897,43.719,43.71,43.7,43.76,43.7,48
2024-01-29 15:17:00,423,43.7585,43.755,43.7925,43.7925,43.735,4
2024-01-29 15:18:00,1054,43.7802,43.76,43.75,43.8,43.75,34
2024-01-29 15:19:00,717,43.777,43.78,43.8075,43.8075,43.76,21
2024-01-29 15:20:00,1834,43.8114,43.82,43.795,43.84,43.795,37
2024-01-29 15:21:00,1910,43.8008,43.8,43.8,43.82,43.77,36
2024-01-29 15:22:00,1559,43.7566,43.8,43.735,43.8,43.71,30
2024-01-29 15:23:00,2393,43.7371,43.735,43.75,43.78,43.7,46
2024-01-29 15:24:00,1704,43.8038,43.82,43.78,43.83,43.78,30
2024-01-29 15:25:00,525,43.8222,43.81,43.84,43.84,43.81,24
2024-01-29 15:26:00,822,43.78,43.815,43.76,43.815,43.76,21
2024-01-29 15:27:00,581,43.8016,43.8,43.82,43.82,43.8,17
2024-01-29 15:28:00,760,43.8448,43.83,43.8628,43.8628,43.83,20
2024-01-29 15:29:00,2840,43.8704,43.885,43.85,43.895,43.85,48
2024-01-29 15:30:00,715,43.8011,43.8,43.82,43.82,43.8,24
2024-01-29 15:31:00,425,43.7763,43.78,43.7842,43.7842,43.77,11
2024-01-29 15:32:00,1120,43.7235,43.73,43.72,43.74,43.71,41
2024-01-29 15:33:00,1652,43.6652,43.67,43.65,43.69,43.65,41
2024-01-29 15:34:00,1501,43.6589,43.635,43.675,43.68,43.635,48
2024-01-29 15:35:00,10341,43.7421,43.68,43.81,43.81,43.68,157
2024-01-29 15:36:00,1032,43.7881,43.82,43.78,43.82,43.76,29
2024-01-29 15:37:00,385,43.7802,43.805,43.76,43.805,43.76,7
2024-01-29 15:38:00,914,43.8454,43.815,43.87,43.87,43.815,28
2024-01-29 15:39:00,1262,43.8869,43.88,43.91,43.91,43.87,39
2024-01-29 15:40:00,356,43.8488,43.88,43.9,43.9,43.88,20
2024-01-29 15:41:00,605,43.9011,43.905,43.91,43.915,43.88,16
2024-01-29 15:42:00,2289,43.8468,43.87,43.85,43.88,43.82,47
2024-01-29 15:43:00,1178,43.7885,43.81,43.78,43.81,43.78,26
2024-01-29 15:44:00,18554,43.8449,43.84,43.87,43.8899,43.81,76
2024-01-29 15:45:00,951,43.8573,43.88,43.88,43.88,43.84,34
2024-01-29 15:46:00,22194,43.8558,43.865,43.87,43.87,43.81,70
2024-01-29 15:47:00,1717,43.8443,43.84,43.84,43.84,43.84,36
2024-01-29 15:48:00,2106,43.7642,43.84,43.76,43.84,43.74,29
2024-01-29 15:49:00,2590,43.7625,43.76,43.745,43.78,43.74,45
2024-01-29 15:50:00,576,43.7393,43.75,43.74,43.75,43.73,15
2024-01-29 15:51:00,1680,43.7418,43.72,43.765,43.765,43.715,43
2024-01-29 15:52:00,1086,43.7989,43.8,43.81,43.81,43.79,28
2024-01-29 15:53:00,1690,43.7466,43.77,43.71,43.77,43.71,31
2024-01-29 15:54:00,861,43.7305,43.73,43.73,43.73,43.72,32
2024-01-29 15:55:00,2284,43.781,43.765,43.75,43.8,43.75,54
2024-01-29 15:56:00,722,43.7815,43.795,43.795,43.795,43.75,8
2024-01-29 15:57:00,2446,43.7349,43.8,43.68,43.8,43.68,52
2024-01-29 15:58:00,287,43.6921,43.685,43.695,43.695,43.685,5
2024-01-29 15:59:00,1808,43.6643,43.64,43.69,43.7,43.64,38
2024-01-29 16:00:00,1402,43.7136,43.7289,43.69,43.735,43.69,21
2024-01-29 16:02:00,338,43.6623,43.66,43.66,43.66,43.66,7
2024-01-29 16:04:00,704,43.6759,43.67,43.685,43.685,43.66,10
2024-01-29 16:05:00,1411,43.6703,43.685,43.69,43.7,43.665,14
2024-01-29 16:06:00,650,43.7192,43.682,43.74,43.74,43.682,25
2024-01-29 16:07:00,4518,43.7045,43.74,43.63,43.74,43.62,55
2024-01-29 16:08:00,759,43.6332,43.64,43.63,43.64,43.63,24
2024-01-29 16:09:00,5564,43.6188,43.65,43.63,43.67,43.57,104
2024-01-29 16:10:00,2103,43.6744,43.67,43.67,43.68,43.67,45
2024-01-29 16:11:00,1794,43.6644,43.66,43.705,43.705,43.66,20
2024-01-29 16:12:00,430,43.6973,43.69,43.69,43.69,43.69,23
2024-01-29 16:13:00,134,43.679,43.67,43.67,43.67,43.67,6
2024-01-29 16:14:00,4714,43.6847,43.68,43.69,43.7,43.66,67
2024-01-29 16:15:00,381,43.6838,43.685,43.685,43.685,43.685,12
2024-01-29 16:16:00,123,43.7496,43.75,43.75,43.75,43.75,10
2024-01-29 16:17:00,1067,43.78,43.77,43.75,43.8,43.75,47
2024-01-29 16:18:00,498,43.7975,43.79,43.78,43.79,43.78,12
2024-01-29 16:19:00,585,43.7898,43.7764,43.78,43.78,43.7764,21
2024-01-29 16:20:00,268,43.833,43.83,43.83,43.83,43.83,12
2024-01-29 16:21:00,2919,43.8131,43.85,43.795,43.85,43.78,43
2024-01-29 16:22:00,1885,43.7837,43.8,43.785,43.8,43.77,29
2024-01-29 16:23:00,2173,43.7764,43.77,43.8,43.8,43.75,52
2024-01-29 16:24:00,706,43.8035,43.8,43.83,43.83,43.8,5
2024-01-29 16:25:00,958,43.8047,43.81,43.81,43.81,43.81,20
2024-01-29 16:26:00,7081,43.806,43.81,43.79,43.835,43.79,118
2024-01-29 16:27:00,413,43.79,43.79,43.79,43.79,43.79,6
2024-01-29 16:28:00,1886,43.8269,43.82,43.81,43.85,43.81,46
2024-01-29 16:29:00,1586,43.7649,43.805,43.74,43.805,43.74,43
2024-01-29 16:30:00,960,43.688,43.71,43.67,43.71,43.67,26
2024-01-29 16:31:00,5802,43.7157,43.69,43.79,43.79,43.69,84
2024-01-29 16:32:00,310,43.7577,43.77,43.76,43.77,43.76,7
2024-01-29 16:33:00,614,43.7511,43.72,43.76,43.76,43.72,23
2024-01-29 16:34:00,1429,43.7619,43.77,43.74,43.79,43.74,28
2024-01-29 16:35:00,160,43.69,43.69,43.69,43.69,43.69,7
2024-01-29 16:36:00,1228,43.6555,43.69,43.62,43.69,43.62,23
2024-01-29 16:37:00,199,43.5999,43.58,43.58,43.58,43.58,5
2024-01-29 16:38:00,772,43.6368,43.62,43.65,43.65,43.615,16
2024-01-29 16:39:00,464,43.6602,43.645,43.68,43.68,43.645,9
2024-01-29 16:40:00,177,43.6901,43.68,43.68,43.68,43.68,5
2024-01-29 16:42:00,2339,43.6933,43.7,43.705,43.71,43.68,40
2024-01-29 16:43:00,390,43.7337,43.74,43.73,43.74,43.73,12
2024-01-29 16:45:00,507,43.7387,43.745,43.77,43.77,43.745,23
2024-01-29 16:46:00,474,43.7975,43.8,43.8,43.8,43.8,19
2024-01-29 16:47:00,1621,43.7746,43.77,43.785,43.8,43.76,27
2024-01-29 16:48:00,411,43.7735,43.785,43.785,43.785,43.785,9
2024-01-29 16:49:00,1979,43.8214,43.82,43.845,43.845,43.82,46
2024-01-29 16:50:00,2183,43.8343,43.84,43.835,43.84,43.83,28
2024-01-29 16:51:00,1912,43.8322,43.835,43.83,43.835,43.83,37
2024-01-29 16:52:00,984,43.8337,43.83,43.84,43.84,43.83,20
2024-01-29 16:53:00,2262,43.8436,43.84,43.84,43.86,43.84,51
2024-01-29 16:54:00,100,43.84,43.84,43.84,43.84,43.84,1
2024-01-29 16:55:00,2517,43.8647,43.87,43.87,43.87,43.85,94
2024-01-29 16:56:00,2138,43.8828,43.87,43.88,43.9,43.87,39
2024-01-29 16:57:00,540,43.878,43.88,43.88,43.88,43.875,8
2024-01-29 16:58:00,505,43.8708,43.88,43.875,43.88,43.875,10
2024-01-29 16:59:00,3320,43.9116,43.905,43.9,43.93,43.9,64
2024-01-29 17:00:00,1478,43.9096,43.93,43.88,43.93,43.88,45
2024-01-29 17:01:00,2754,43.8584,43.85,43.865,43.88,43.84,45
2024-01-29 17:02:00,1564,43.8512,43.8899,43.83,43.8899,43.83,13
2024-01-29 17:03:00,1759,43.8309,43.84,43.81,43.84,43.81,22
2024-01-29 17:04:00,881,43.7994,43.8,43.7999,43.8,43.7999,18
2024-01-29 17:05:00,122,43.7836,43.785,43.785,43.785,43.785,5
2024-01-29 17:06:00,1681,43.7356,43.76,43.78,43.78,43.7,52
2024-01-29 17:07:00,3966,43.7473,43.745,43.7425,43.77,43.7425,13
2024-01-29 17:08:00,604,43.7539,43.75,43.76,43.76,43.75,18
2024-01-29 17:10:00,586,43.7642,43.765,43.765,43.765,43.765,4
