t,v,vw,o,c,h,l,n
2023-10-02 08:01:00,2654,31.7907,31.82,31.8,31.82,31.76,24
2023-10-02 08:06:00,928,31.8959,31.9,31.9,31.9,31.9,7
2023-10-02 08:08:00,495,31.8726,31.85,31.89,31.89,31.85,8
2023-10-02 08:11:00,400,31.88,31.88,31.88,31.88,31.88,4
2023-10-02 08:30:00,353,31.8057,31.8,31.8,31.8,31.8,16
2023-10-02 09:05:00,826,31.76,31.76,31.76,31.76,31.76,15
2023-10-02 09:10:00,361,31.7442,31.74,31.75,31.75,31.74,8
2023-10-02 09:14:00,266,31.78,31.78,31.78,31.78,31.78,2
2023-10-02 09:17:00,251,31.776,31.77,31.78,31.78,31.77,4
2023-10-02 09:19:00,201,31.775,31.77,31.78,31.78,31.77,3
2023-10-02 09:20:00,499,31.78,31.78,31.78,31.78,31.78,5
2023-10-02 09:47:00,1056,31.6887,31.7,31.7,31.7,31.7,24
2023-10-02 09:49:00,200,31.7,31.7,31.7,31.7,31.7,1
2023-10-02 09:53:00,100,31.6,31.6,31.6,31.6,31.6,1
2023-10-02 09:56:00,290,31.6005,31.6,31.6,31.6,31.6,5
2023-10-02 09:57:00,168,31.6081,31.6,31.6,31.6,31.6,4
2023-10-02 10:12:00,486,31.5837,31.61,31.61,31.61,31.55,9
2023-10-02 10:13:00,767,31.5044,31.51,31.5,31.51,31.5,16
2023-10-02 10:17:00,200,31.517,31.52,31.52,31.52,31.52,4
2023-10-02 10:32:00,3113,31.5299,31.525,31.53,31.53,31.525,8
2023-10-02 10:51:00,776,31.52,31.52,31.52,31.52,31.52,2
2023-10-02 10:54:00,499,31.5244,31.52,31.52,31.52,31.52,6
2023-10-02 10:58:00,400,31.5175,31.52,31.51,31.52,31.51,2
2023-10-02 10:59:00,132,31.51,31.51,31.51,31.51,31.51,3
2023-10-02 11:00:00,729,31.5208,31.51,31.51,31.51,31.51,19
2023-10-02 11:01:00,336,31.51,31.51,31.51,31.51,31.51,3
2023-10-02 11:03:00,461,31.5501,31.55,31.55,31.55,31.55,5
2023-10-02 11:06:00,500,31.55,31.55,31.55,31.55,31.55,1
2023-10-02 11:16:00,448,31.54,31.54,31.54,31.54,31.54,7
2023-10-02 11:20:00,770,31.5491,31.54,31.55,31.55,31.54,10
2023-10-02 11:34:00,479,31.5631,31.56,31.56,31.56,31.56,4
2023-10-02 11:44:00,926,31.5092,31.5,31.5,31.5,31.5,23
