t,v,vw,o,c,h,l,n
2023-08-14 13:29:00,5150,24.0694,24.09,24.06,24.09,24.06,18
2023-08-14 13:30:00,68669,23.9837,24.125,23.99,24.125,23.83,182
2023-08-14 13:31:00,2243,23.9307,23.95,23.91,23.98,23.91,22
2023-08-14 13:32:00,2848,23.9243,23.9,23.94,23.94,23.9,77
2023-08-14 13:33:00,1985,23.8684,23.87,23.8646,23.87,23.84,26
2023-08-14 13:34:00,1411,23.8576,23.8703,23.85,23.8703,23.85,29
2023-08-14 13:35:00,4450,23.84,23.84,23.8,23.86,23.8,64
2023-08-14 13:36:00,9249,23.7707,23.79,23.76,23.81,23.72,117
2023-08-14 13:37:00,9403,23.7341,23.75,23.7,23.79,23.6901,82
2023-08-14 13:38:00,9562,23.6538,23.7,23.615,23.7,23.615,121
2023-08-14 13:39:00,8003,23.6172,23.615,23.62,23.63,23.6,94
2023-08-14 13:40:00,9769,23.6295,23.625,23.66,23.66,23.6,119
2023-08-14 13:41:00,4083,23.6216,23.655,23.605,23.655,23.59,61
2023-08-14 13:42:00,3327,23.626,23.595,23.64,23.648,23.595,45
2023-08-14 13:43:00,4824,23.6059,23.63,23.58,23.64,23.58,59
2023-08-14 13:44:00,7191,23.5595,23.56,23.57,23.58,23.54,89
2023-08-14 13:45:00,4577,23.5446,23.57,23.56,23.57,23.52,95
2023-08-14 13:46:00,1128,23.588,23.56,23.555,23.56,23.555,21
2023-08-14 13:47:00,6924,23.5485,23.56,23.54,23.56,23.54,60
2023-08-14 13:48:00,18298,23.492,23.52,23.46,23.52,23.46,216
2023-08-14 13:49:00,6955,23.4285,23.45,23.425,23.45,23.411,91
2023-08-14 13:50:00,5557,23.4205,23.44,23.405,23.44,23.405,72
2023-08-14 13:51:00,6053,23.3961,23.405,23.395,23.41,23.38,112
2023-08-14 13:52:00,3450,23.415,23.405,23.42,23.42,23.405,76
2023-08-14 13:53:00,7530,23.381,23.41,23.35,23.41,23.35,87
2023-08-14 13:54:00,4309,23.352,23.35,23.35,23.36,23.3352,64
2023-08-14 13:55:00,3299,23.3741,23.35,23.39,23.39,23.34,51
2023-08-14 13:56:00,12167,23.3551,23.38,23.34,23.38,23.34,69
2023-08-14 13:57:00,7020,23.3381,23.355,23.34,23.355,23.33,87
2023-08-14 13:58:00,10238,23.3396,23.34,23.335,23.35,23.33,98
2023-08-14 13:59:00,16947,23.3385,23.34,23.31,23.35,23.31,152
2023-08-14 14:00:00,18307,23.3461,23.305,23.33,23.36,23.305,137
2023-08-14 14:01:00,7800,23.3369,23.34,23.36,23.36,23.3201,94
2023-08-14 14:02:00,9814,23.3667,23.35,23.365,23.38,23.35,97
2023-08-14 14:03:00,6321,23.3662,23.365,23.37,23.375,23.36,70
2023-08-14 14:04:00,1316,23.3666,23.37,23.37,23.37,23.37,18
2023-08-14 14:05:00,15848,23.3924,23.37,23.385,23.41,23.37,176
2023-08-14 14:06:00,7781,23.3918,23.38,23.41,23.415,23.38,133
2023-08-14 14:07:00,6765,23.4291,23.41,23.44,23.45,23.41,106
2023-08-14 14:08:00,2924,23.4221,23.44,23.4,23.44,23.4,48
2023-08-14 14:09:00,6980,23.4124,23.4,23.42,23.42,23.4,109
2023-08-14 14:10:00,7849,23.4099,23.42,23.43,23.43,23.395,108
2023-08-14 14:11:00,2653,23.4276,23.42,23.4275,23.435,23.42,37
2023-08-14 14:12:00,12602,23.4436,23.43,23.455,23.47,23.4293,147
2023-08-14 14:13:00,3242,23.452,23.455,23.435,23.46,23.435,44
2023-08-14 14:14:00,3449,23.4065,23.43,23.388,23.43,23.388,53
2023-08-14 14:15:00,4579,23.3882,23.385,23.37,23.385,23.37,57
2023-08-14 14:16:00,9622,23.3718,23.3607,23.38,23.38,23.355,118
2023-08-14 14:17:00,4718,23.3798,23.38,23.385,23.385,23.375,62
2023-08-14 14:18:00,1919,23.3792,23.38,23.38,23.385,23.37,33
2023-08-14 14:19:00,4141,23.3916,23.375,23.4,23.4,23.375,61
2023-08-14 14:20:00,7701,23.401,23.4,23.375,23.41,23.375,128
2023-08-14 14:21:00,3217,23.3587,23.37,23.36,23.37,23.35,50
2023-08-14 14:22:00,9013,23.3639,23.36,23.37,23.37,23.355,101
2023-08-14 14:23:00,8997,23.3797,23.3779,23.4,23.4,23.375,121
2023-08-14 14:24:00,2545,23.394,23.4,23.39,23.4,23.39,51
2023-08-14 14:25:00,5736,23.3972,23.39,23.4199,23.4199,23.39,83
2023-08-14 14:26:00,6228,23.4136,23.405,23.42,23.42,23.405,102
2023-08-14 14:27:00,1253,23.4266,23.42,23.43,23.43,23.42,33
2023-08-14 14:28:00,9465,23.4355,23.4299,23.43,23.44,23.425,97
2023-08-14 14:29:00,10445,23.433,23.43,23.43,23.45,23.425,137
2023-08-14 14:30:00,4690,23.4232,23.43,23.43,23.435,23.4115,67
2023-08-14 14:31:00,2820,23.4418,23.43,23.45,23.45,23.43,52
2023-08-14 14:32:00,8170,23.4391,23.445,23.425,23.45,23.415,86
2023-08-14 14:33:00,2457,23.4088,23.42,23.395,23.42,23.395,44
2023-08-14 14:34:00,4301,23.3874,23.4,23.38,23.4,23.375,70
2023-08-14 14:35:00,3142,23.3738,23.3801,23.37,23.3801,23.36,48
2023-08-14 14:36:00,7440,23.3637,23.3759,23.36,23.3759,23.355,81
2023-08-14 14:37:00,5990,23.3753,23.37,23.385,23.385,23.37,96
2023-08-14 14:38:00,6876,23.3442,23.38,23.33,23.38,23.32,83
2023-08-14 14:39:00,5845,23.3307,23.325,23.32,23.33,23.315,85
2023-08-14 14:40:00,2795,23.3138,23.33,23.31,23.33,23.31,41
2023-08-14 14:41:00,3612,23.3179,23.31,23.32,23.32,23.31,58
2023-08-14 14:42:00,951,23.3197,23.32,23.33,23.33,23.315,22
2023-08-14 14:43:00,5736,23.3319,23.315,23.35,23.35,23.315,113
2023-08-14 14:44:00,6461,23.3522,23.36,23.365,23.365,23.34,61
2023-08-14 14:45:00,6223,23.3795,23.37,23.395,23.395,23.37,99
2023-08-14 14:46:00,3331,23.381,23.39,23.36,23.39,23.36,62
2023-08-14 14:47:00,1941,23.3788,23.37,23.38,23.385,23.37,36
2023-08-14 14:48:00,3010,23.3966,23.39,23.44,23.44,23.39,59
2023-08-14 14:49:00,5348,23.3963,23.42,23.39,23.43,23.39,67
2023-08-14 14:50:00,3714,23.4188,23.39,23.43,23.4304,23.39,81
2023-08-14 14:51:00,3227,23.4306,23.44,23.41,23.44,23.41,44
2023-08-14 14:52:00,2075,23.4096,23.41,23.41,23.41,23.405,41
2023-08-14 14:53:00,1436,23.4253,23.43,23.42,23.43,23.42,34
2023-08-14 14:54:00,4084,23.4143,23.43,23.39,23.43,23.39,78
2023-08-14 14:55:00,626,23.3891,23.385,23.38,23.385,23.38,14
2023-08-14 14:56:00,4954,23.358,23.37,23.36,23.37,23.345,72
2023-08-14 14:57:00,3915,23.3915,23.37,23.39,23.405,23.37,91
2023-08-14 14:58:00,3546,23.3796,23.39,23.375,23.39,23.37,64
2023-08-14 14:59:00,3951,23.3806,23.38,23.375,23.38,23.3709,48
2023-08-14 15:00:00,3009,23.3678,23.37,23.36,23.375,23.36,50
2023-08-14 15:01:00,2299,23.3529,23.355,23.3501,23.36,23.35,26
2023-08-14 15:02:00,1893,23.353,23.355,23.345,23.355,23.345,36
2023-08-14 15:03:00,5856,23.3239,23.34,23.315,23.34,23.31,80
2023-08-14 15:04:00,10029,23.3185,23.31,23.325,23.325,23.31,116
2023-08-14 15:05:00,7846,23.3329,23.325,23.33,23.345,23.32,123
2023-08-14 15:06:00,427,23.3322,23.34,23.33,23.34,23.33,20
2023-08-14 15:07:00,5033,23.3438,23.335,23.33,23.355,23.33,70
2023-08-14 15:08:00,6598,23.3295,23.3251,23.315,23.34,23.315,58
2023-08-14 15:09:00,8324,23.3158,23.315,23.335,23.3399,23.3,114
2023-08-14 15:10:00,7675,23.3349,23.34,23.345,23.35,23.3201,89
2023-08-14 15:11:00,2250,23.3461,23.345,23.345,23.35,23.345,26
2023-08-14 15:12:00,7141,23.3361,23.34,23.35,23.35,23.32,86
2023-08-14 15:13:00,2352,23.3493,23.35,23.345,23.35,23.345,45
2023-08-14 15:14:00,1561,23.3277,23.34,23.32,23.34,23.32,43
2023-08-14 15:15:00,5815,23.3157,23.315,23.31,23.325,23.31,68
2023-08-14 15:16:00,12591,23.3078,23.305,23.3,23.31,23.3,137
2023-08-14 15:17:00,7664,23.3193,23.31,23.32,23.325,23.31,92
2023-08-14 15:18:00,1626,23.3191,23.32,23.315,23.32,23.315,29
2023-08-14 15:19:00,813,23.3144,23.315,23.31,23.315,23.31,17
2023-08-14 15:20:00,4910,23.3223,23.32,23.332,23.332,23.315,89
2023-08-14 15:21:00,987,23.3285,23.331,23.325,23.331,23.32,29
2023-08-14 15:22:00,4168,23.339,23.33,23.35,23.355,23.33,66
2023-08-14 15:23:00,4462,23.3492,23.35,23.35,23.355,23.34,69
2023-08-14 15:24:00,1800,23.3481,23.355,23.36,23.36,23.35,34
2023-08-14 15:25:00,2067,23.3741,23.355,23.38,23.38,23.355,65
2023-08-14 15:26:00,3290,23.3814,23.38,23.395,23.395,23.375,53
2023-08-14 15:27:00,4353,23.389,23.395,23.38,23.395,23.38,63
2023-08-14 15:28:00,2336,23.3841,23.38,23.385,23.39,23.38,26
2023-08-14 15:29:00,8184,23.3659,23.385,23.36,23.385,23.355,91
2023-08-14 15:30:00,1126,23.3702,23.365,23.3699,23.3699,23.365,17
2023-08-14 15:31:00,16606,23.3815,23.365,23.41,23.41,23.365,197
2023-08-14 15:32:00,4271,23.4188,23.4093,23.445,23.445,23.4093,67
2023-08-14 15:33:00,26767,23.4488,23.445,23.465,23.475,23.44,234
2023-08-14 15:34:00,5828,23.4541,23.465,23.43,23.465,23.43,59
2023-08-14 15:35:00,1938,23.4047,23.42,23.4,23.42,23.39,47
2023-08-14 15:36:00,4441,23.4007,23.395,23.405,23.4091,23.39,79
2023-08-14 15:37:00,5411,23.3939,23.4,23.36,23.41,23.36,68
2023-08-14 15:38:00,7576,23.3618,23.36,23.35,23.37,23.35,102
2023-08-14 15:39:00,3757,23.352,23.35,23.36,23.36,23.34,67
2023-08-14 15:40:00,2952,23.3706,23.36,23.36,23.365,23.355,40
2023-08-14 15:41:00,8128,23.3748,23.36,23.385,23.385,23.36,93
2023-08-14 15:42:00,2731,23.3709,23.38,23.36,23.38,23.3599,48
2023-08-14 15:43:00,2287,23.3706,23.37,23.37,23.3721,23.37,37
2023-08-14 15:44:00,1198,23.3696,23.37,23.36,23.37,23.36,28
2023-08-14 15:45:00,801,23.3623,23.3607,23.3601,23.3607,23.3601,16
2023-08-14 15:46:00,1733,23.3684,23.365,23.375,23.375,23.365,43
2023-08-14 15:47:00,3123,23.3698,23.375,23.3775,23.3775,23.365,60
2023-08-14 15:48:00,2741,23.3708,23.375,23.37,23.375,23.37,47
2023-08-14 15:49:00,5820,23.3761,23.362,23.38,23.385,23.362,86
2023-08-14 15:50:00,2577,23.3797,23.38,23.3783,23.38,23.3783,46
2023-08-14 15:51:00,1932,23.3787,23.3766,23.39,23.39,23.3766,28
2023-08-14 15:52:00,7162,23.3834,23.385,23.3842,23.39,23.375,61
2023-08-14 15:53:00,6730,23.3884,23.385,23.375,23.4,23.375,100
2023-08-14 15:54:00,5697,23.3687,23.375,23.37,23.375,23.365,80
2023-08-14 15:55:00,2060,23.38,23.38,23.38,23.38,23.38,31
2023-08-14 15:56:00,2326,23.377,23.385,23.365,23.39,23.365,51
2023-08-14 15:57:00,2030,23.3593,23.36,23.355,23.36,23.355,32
2023-08-14 15:58:00,3672,23.3625,23.36,23.37,23.37,23.355,60
2023-08-14 15:59:00,3985,23.361,23.36,23.36,23.365,23.355,54
2023-08-14 16:00:00,7945,23.3677,23.365,23.375,23.38,23.3623,83
2023-08-14 16:01:00,4309,23.382,23.38,23.38,23.39,23.38,77
2023-08-14 16:02:00,3994,23.385,23.385,23.375,23.39,23.375,60
2023-08-14 16:03:00,2241,23.3814,23.3753,23.3899,23.3899,23.3753,32
2023-08-14 16:04:00,3928,23.3956,23.385,23.405,23.405,23.385,56
2023-08-14 16:05:00,1527,23.3996,23.4,23.395,23.4,23.395,30
2023-08-14 16:06:00,1655,23.3961,23.395,23.4,23.4,23.395,22
2023-08-14 16:07:00,3782,23.3989,23.4,23.395,23.405,23.395,58
2023-08-14 16:08:00,2136,23.3864,23.39,23.375,23.39,23.375,46
2023-08-14 16:09:00,1468,23.3654,23.37,23.35,23.37,23.35,42
2023-08-14 16:10:00,3810,23.3489,23.3509,23.33,23.3574,23.33,92
2023-08-14 16:11:00,2524,23.33,23.33,23.33,23.335,23.3275,42
