t,v,vw,o,c,h,l,n
2023-06-02 11:22:00,2454,8.4426,8.44,8.46,8.46,8.44,8
2023-06-02 11:59:00,100,8.41,8.41,8.41,8.41,8.41,1
2023-06-02 12:00:00,408,8.4616,8.5,8.5,8.5,8.5,3
2023-06-02 12:23:00,229,8.4496,8.44,8.46,8.46,8.44,4
2023-06-02 12:24:00,674,8.433,8.45,8.43,8.45,8.43,7
2023-06-02 12:27:00,1800,8.43,8.43,8.43,8.43,8.43,2
2023-06-02 12:30:00,9526,8.43,8.43,8.43,8.43,8.43,12
2023-06-02 12:43:00,593,8.43,8.43,8.43,8.43,8.43,1
2023-06-02 12:48:00,467,8.4579,8.46,8.46,8.46,8.45,5
2023-06-02 12:54:00,500,8.39,8.39,8.39,8.39,8.39,1
2023-06-02 13:25:00,3000,8.4967,8.48,8.5,8.5,8.48,5
2023-06-02 13:30:00,46642,8.5411,8.54,8.5728,8.5728,8.5,46
2023-06-02 13:31:00,31227,8.7394,8.6,8.81,8.82,8.6,108
2023-06-02 13:32:00,13558,8.7817,8.84,8.73,8.84,8.72,154
2023-06-02 13:33:00,6842,8.7117,8.73,8.725,8.735,8.68,67
2023-06-02 13:34:00,17443,8.784,8.74,8.7248,8.81,8.7248,85
2023-06-02 13:35:00,4919,8.7756,8.74,8.75,8.8,8.74,57
2023-06-02 13:36:00,6158,8.776,8.76,8.78,8.8,8.76,45
2023-06-02 13:37:00,20006,8.7502,8.78,8.75,8.78,8.72,62
2023-06-02 13:38:00,2915,8.7289,8.76,8.7,8.76,8.7,36
2023-06-02 13:39:00,6369,8.6978,8.6905,8.73,8.73,8.6532,50
2023-06-02 13:40:00,5250,8.7336,8.74,8.74,8.75,8.71,60
2023-06-02 13:41:00,9884,8.7086,8.74,8.71,8.74,8.69,59
2023-06-02 13:42:00,10838,8.7272,8.71,8.69,8.75,8.69,67
2023-06-02 13:43:00,4510,8.6861,8.685,8.71,8.71,8.67,65
2023-06-02 13:44:00,4114,8.7009,8.71,8.6925,8.72,8.68,50
2023-06-02 13:45:00,3759,8.6946,8.69,8.67,8.71,8.67,56
2023-06-02 13:46:00,5915,8.6937,8.68,8.68,8.7125,8.67,69
2023-06-02 13:47:00,4913,8.6421,8.655,8.64,8.655,8.63,60
2023-06-02 13:48:00,8499,8.6378,8.64,8.62,8.65,8.62,101
2023-06-02 13:49:00,4409,8.6141,8.62,8.6,8.63,8.6,45
2023-06-02 13:50:00,11764,8.6504,8.61,8.68,8.68,8.61,111
2023-06-02 13:51:00,3787,8.6569,8.67,8.64,8.675,8.63,82
2023-06-02 13:52:00,2299,8.6455,8.645,8.655,8.655,8.635,34
2023-06-02 13:53:00,1850,8.6565,8.65,8.66,8.68,8.645,34
2023-06-02 13:54:00,1396,8.6664,8.66,8.66,8.67,8.66,24
2023-06-02 13:55:00,4564,8.6323,8.66,8.625,8.66,8.62,44
2023-06-02 13:56:00,3637,8.6229,8.62,8.65,8.65,8.6,55
2023-06-02 13:57:00,3437,8.6398,8.65,8.61,8.65,8.61,50
2023-06-02 13:58:00,3574,8.5922,8.6,8.585,8.605,8.585,39
2023-06-02 13:59:00,3741,8.5744,8.585,8.54,8.585,8.54,54
2023-06-02 14:00:00,4033,8.5286,8.53,8.53,8.531,8.52,57
2023-06-02 14:01:00,3321,8.5247,8.525,8.515,8.53,8.51,50
2023-06-02 14:02:00,9419,8.4924,8.515,8.49,8.515,8.47,111
2023-06-02 14:03:00,5981,8.5011,8.495,8.51,8.51,8.49,61
2023-06-02 14:04:00,4341,8.5474,8.52,8.58,8.58,8.52,63
2023-06-02 14:05:00,1553,8.572,8.595,8.55,8.595,8.55,39
2023-06-02 14:06:00,1703,8.5643,8.555,8.58,8.58,8.555,27
2023-06-02 14:07:00,2041,8.5716,8.6,8.56,8.6,8.56,49
2023-06-02 14:08:00,975,8.56,8.56,8.56,8.565,8.56,36
2023-06-02 14:09:00,4092,8.5519,8.565,8.56,8.565,8.54,47
2023-06-02 14:10:00,4323,8.5789,8.56,8.6,8.6,8.56,60
2023-06-02 14:11:00,2521,8.5751,8.59,8.58,8.59,8.58,39
2023-06-02 14:12:00,4914,8.5841,8.58,8.5999,8.6,8.57,68
2023-06-02 14:13:00,4269,8.5954,8.595,8.58,8.6,8.58,60
2023-06-02 14:14:00,2481,8.5845,8.58,8.58,8.59,8.575,41
2023-06-02 14:15:00,1764,8.5829,8.585,8.575,8.59,8.575,24
2023-06-02 14:16:00,1771,8.5632,8.57,8.545,8.57,8.545,35
2023-06-02 14:17:00,2256,8.5436,8.54,8.55,8.55,8.54,38
2023-06-02 14:18:00,1888,8.5634,8.56,8.57,8.57,8.56,28
2023-06-02 14:19:00,2993,8.583,8.58,8.6,8.6,8.58,46
2023-06-02 14:20:00,2535,8.6208,8.61,8.62,8.63,8.61,27
2023-06-02 14:21:00,4528,8.6061,8.61,8.601,8.61,8.6,42
2023-06-02 14:22:00,1509,8.6159,8.61,8.625,8.63,8.61,30
2023-06-02 14:23:00,2881,8.6202,8.62,8.62,8.62,8.62,49
2023-06-02 14:24:00,1187,8.6056,8.61,8.6,8.61,8.6,28
2023-06-02 14:25:00,2283,8.6053,8.6,8.62,8.62,8.591,41
2023-06-02 14:26:00,812,8.6235,8.62,8.63,8.63,8.62,15
2023-06-02 14:27:00,856,8.6368,8.63,8.64,8.65,8.63,14
2023-06-02 14:28:00,3086,8.6376,8.65,8.64,8.65,8.63,45
2023-06-02 14:29:00,498,8.6392,8.64,8.64,8.64,8.64,11
2023-06-02 14:30:00,209,8.645,8.645,8.645,8.645,8.645,3
2023-06-02 14:31:00,1256,8.6404,8.64,8.645,8.645,8.635,36
2023-06-02 14:32:00,601,8.6376,8.645,8.63,8.645,8.63,8
2023-06-02 14:34:00,4369,8.6403,8.635,8.65,8.65,8.635,68
2023-06-02 14:35:00,2678,8.6326,8.65,8.615,8.65,8.615,36
2023-06-02 14:36:00,2372,8.6057,8.61,8.6,8.61,8.6,39
2023-06-02 14:37:00,588,8.5975,8.595,8.59,8.595,8.59,12
2023-06-02 14:38:00,1674,8.5926,8.59,8.5701,8.59,8.5701,21
2023-06-02 14:39:00,4185,8.5947,8.575,8.62,8.62,8.575,63
2023-06-02 14:40:00,1979,8.6132,8.62,8.6,8.62,8.6,28
2023-06-02 14:41:00,409,8.5926,8.6,8.59,8.6,8.59,5
2023-06-02 14:42:00,2145,8.599,8.59,8.6,8.6,8.59,50
2023-06-02 14:43:00,2062,8.6028,8.6,8.61,8.61,8.6,34
2023-06-02 14:44:00,1122,8.62,8.62,8.62,8.62,8.62,23
2023-06-02 14:45:00,5134,8.616,8.615,8.6,8.62,8.6,67
2023-06-02 14:46:00,813,8.594,8.6,8.595,8.6,8.59,13
2023-06-02 14:47:00,1409,8.5996,8.595,8.6,8.6,8.595,28
2023-06-02 14:48:00,1129,8.6039,8.605,8.605,8.605,8.6,13
2023-06-02 14:49:00,713,8.6067,8.605,8.61,8.61,8.6,14
2023-06-02 14:50:00,1053,8.5988,8.6,8.595,8.6,8.595,16
2023-06-02 14:51:00,3717,8.5929,8.5912,8.59,8.6,8.59,56
2023-06-02 14:52:00,2093,8.5824,8.5801,8.5815,8.5815,8.5801,19
2023-06-02 14:53:00,1117,8.5775,8.58,8.571,8.58,8.571,15
2023-06-02 14:54:00,1909,8.5695,8.57,8.562,8.57,8.562,31
2023-06-02 14:55:00,4786,8.5652,8.56,8.56,8.5699,8.555,33
2023-06-02 14:56:00,1818,8.5457,8.56,8.545,8.56,8.535,33
2023-06-02 14:57:00,347,8.5418,8.545,8.54,8.545,8.54,7
2023-06-02 14:58:00,6420,8.5513,8.5449,8.565,8.57,8.54,64
2023-06-02 14:59:00,3654,8.5771,8.57,8.575,8.58,8.57,57
2023-06-02 15:00:00,1991,8.584,8.58,8.58,8.59,8.58,26
2023-06-02 15:01:00,1583,8.5785,8.57,8.58,8.58,8.57,27
2023-06-02 15:02:00,2423,8.5862,8.59,8.585,8.595,8.585,31
2023-06-02 15:03:00,2943,8.5796,8.5801,8.5704,8.5801,8.5704,10
2023-06-02 15:04:00,2146,8.5626,8.57,8.565,8.57,8.55,37
2023-06-02 15:05:00,898,8.5711,8.57,8.575,8.575,8.57,16
2023-06-02 15:07:00,1017,8.5652,8.57,8.555,8.572,8.55,23
2023-06-02 15:09:00,3961,8.5474,8.55,8.555,8.555,8.54,43
2023-06-02 15:10:00,2800,8.55,8.55,8.55,8.55,8.55,4
2023-06-02 15:11:00,9022,8.5478,8.55,8.55,8.5501,8.54,112
2023-06-02 15:12:00,10836,8.5527,8.55,8.55,8.565,8.55,78
2023-06-02 15:13:00,1908,8.5573,8.55,8.56,8.56,8.55,38
2023-06-02 15:14:00,1137,8.56,8.56,8.56,8.56,8.56,21
2023-06-02 15:16:00,2218,8.5688,8.56,8.575,8.575,8.56,32
2023-06-02 15:17:00,1943,8.5854,8.58,8.59,8.59,8.58,37
2023-06-02 15:18:00,3098,8.5903,8.59,8.59,8.6,8.59,44
2023-06-02 15:19:00,698,8.5836,8.58,8.585,8.59,8.58,12
2023-06-02 15:20:00,2444,8.5986,8.59,8.615,8.615,8.59,35
2023-06-02 15:21:00,290,8.6133,8.6175,8.612,8.6175,8.612,5
2023-06-02 15:22:00,5514,8.6101,8.61,8.6101,8.6175,8.61,13
2023-06-02 15:23:00,2177,8.607,8.61,8.6,8.62,8.6,57
2023-06-02 15:24:00,315,8.5997,8.5997,8.5997,8.5997,8.5997,1
2023-06-02 15:25:00,1235,8.5906,8.59,8.585,8.59,8.585,29
2023-06-02 15:26:00,586,8.5817,8.58,8.585,8.585,8.58,8
2023-06-02 15:27:00,401,8.5889,8.585,8.585,8.585,8.585,8
2023-06-02 15:28:00,2238,8.5855,8.58,8.575,8.58,8.57,28
2023-06-02 15:29:00,4958,8.5795,8.58,8.58,8.58,8.579,46
2023-06-02 15:30:00,1398,8.5769,8.58,8.5775,8.58,8.57,21
2023-06-02 15:31:00,1855,8.5696,8.57,8.57,8.57,8.56,30
2023-06-02 15:32:00,2959,8.5796,8.575,8.585,8.585,8.575,36
2023-06-02 15:33:00,200,8.5851,8.585,8.585,8.585,8.585,4
2023-06-02 15:34:00,2916,8.5884,8.5875,8.595,8.595,8.58,29
2023-06-02 15:35:00,5976,8.607,8.6,8.615,8.62,8.6,53
2023-06-02 15:36:00,136933,8.6751,8.62,8.695,8.71,8.62,487
2023-06-02 15:37:00,97877,8.7151,8.69,8.745,8.745,8.69,392
2023-06-02 15:38:00,121306,8.7793,8.75,8.83,8.84,8.74,423
2023-06-02 15:39:00,105362,8.8102,8.8399,8.87,8.87,8.755,565
2023-06-02 15:40:00,213140,8.9914,8.8601,9.1,9.1,8.8601,1036
2023-06-02 15:41:00,131563,9.1098,9.09,9.14,9.1901,9.0,660
2023-06-02 15:42:00,150051,9.0393,9.14,9.0911,9.17,8.97,458
2023-06-02 15:43:00,211458,9.0275,9.1,9.0199,9.13,8.95,741
2023-06-02 15:44:00,82054,9.0531,9.0101,9.07,9.085,8.995,384
2023-06-02 15:45:00,78710,9.0151,9.075,9.02,9.075,8.98,474
2023-06-02 15:46:00,73509,9.0168,9.02,9.04,9.06,8.9899,421
2023-06-02 15:47:00,70538,8.9892,9.0311,9.01,9.05,8.95,307
2023-06-02 15:48:00,104911,9.0275,9.02,8.97,9.07,8.96,381
2023-06-02 15:49:00,44942,8.9734,8.965,8.9813,9.01,8.95,142
2023-06-02 15:50:00,47763,8.9804,8.99,8.9516,9.015,8.95,144
2023-06-02 15:51:00,24355,8.9577,8.97,8.94,8.98,8.94,124
2023-06-02 15:52:00,20280,8.9446,8.9306,8.955,8.9692,8.9306,75
2023-06-02 15:53:00,46915,8.9728,8.955,9.005,9.02,8.9395,116
2023-06-02 15:54:00,107163,9.067,9.0006,9.08,9.11,9.0,320
2023-06-02 15:55:00,22038,9.1074,9.0714,9.135,9.15,9.07,134
2023-06-02 15:56:00,41763,9.0926,9.12,9.07,9.12,9.05,169
2023-06-02 15:57:00,20191,9.06,9.06,9.0588,9.08,9.04,96
2023-06-02 15:58:00,59776,9.0346,9.0501,9.0006,9.08,9.0,182
2023-06-02 15:59:00,21721,8.9874,9.0,8.97,9.02,8.97,117
2023-06-02 16:00:00,6980,8.9912,8.9792,9.005,9.01,8.975,58
2023-06-02 16:01:00,21712,9.0167,9.01,9.026,9.03,9.0,67
2023-06-02 16:02:00,14058,8.9835,9.02,8.9606,9.02,8.9606,84
2023-06-02 16:03:00,5334,8.9914,8.965,9.0,9.01,8.96,50
2023-06-02 16:04:00,2499,9.0136,9.01,9.015,9.02,9.01,21
