t,v,vw,o,c,h,l,n
2024-01-04 12:14:00,200,8.0801,8.08,8.08,8.08,8.08,3
2024-01-04 12:19:00,800,8.08,8.08,8.08,8.08,8.08,5
2024-01-04 13:07:00,300,8.08,8.08,8.08,8.08,8.08,2
2024-01-04 13:10:00,2500,8.08,8.08,8.08,8.08,8.08,2
2024-01-04 13:32:00,300,8.07,8.07,8.07,8.07,8.07,1
2024-01-04 13:59:00,1000,8.0601,8.0601,8.0601,8.0601,8.0601,1
2024-01-04 14:01:00,100,8.06,8.06,8.06,8.06,8.06,1
2024-01-04 14:06:00,5144,8.1889,8.19,8.19,8.19,8.19,22
2024-01-04 14:07:00,30992,8.2489,8.19,8.22,8.29,8.19,75
2024-01-04 14:08:00,6930,8.2196,8.22,8.2,8.22,8.2,9
2024-01-04 14:09:00,332,8.19,8.19,8.19,8.19,8.19,2
2024-01-04 14:10:00,3292,8.1851,8.19,8.18,8.19,8.18,13
2024-01-04 14:20:00,5150,8.1602,8.17,8.16,8.17,8.16,7
2024-01-04 14:21:00,700,8.15,8.15,8.15,8.15,8.15,2
2024-01-04 14:22:00,4405,8.1498,8.15,8.15,8.15,8.15,4
2024-01-04 14:25:00,200,8.11,8.11,8.11,8.11,8.11,1
2024-01-04 14:29:00,100,8.1135,8.1135,8.1135,8.1135,8.1135,1
2024-01-04 14:30:00,142154,8.1205,8.12,8.14,8.15,8.11,282
2024-01-04 14:31:00,51588,8.1484,8.135,8.16,8.16,8.135,154
2024-01-04 14:32:00,15627,8.1527,8.16,8.15,8.165,8.145,62
2024-01-04 14:33:00,19485,8.1408,8.14,8.14,8.15,8.14,49
2024-01-04 14:34:00,30815,8.1316,8.135,8.13,8.14,8.125,102
2024-01-04 14:35:00,19224,8.1344,8.135,8.1487,8.1487,8.125,60
2024-01-04 14:36:00,12307,8.1407,8.1499,8.145,8.1499,8.135,55
2024-01-04 14:37:00,5209,8.148,8.142,8.1477,8.15,8.142,24
2024-01-04 14:38:00,11301,8.1401,8.145,8.135,8.145,8.135,50
2024-01-04 14:39:00,19941,8.1298,8.135,8.125,8.135,8.125,73
2024-01-04 14:40:00,23566,8.1183,8.12,8.115,8.125,8.11,96
2024-01-04 14:41:00,18872,8.1184,8.115,8.125,8.125,8.11,56
2024-01-04 14:42:00,6324,8.1265,8.13,8.125,8.13,8.12,28
2024-01-04 14:43:00,74211,8.1381,8.125,8.145,8.145,8.125,155
2024-01-04 14:44:00,14938,8.1498,8.15,8.15,8.15,8.145,42
2024-01-04 14:45:00,36577,8.15,8.145,8.15,8.155,8.145,102
2024-01-04 14:46:00,52889,8.142,8.15,8.135,8.15,8.135,119
2024-01-04 14:47:00,9391,8.1298,8.1301,8.13,8.1301,8.125,52
2024-01-04 14:48:00,47296,8.1304,8.12,8.1312,8.14,8.12,144
2024-01-04 14:49:00,7711,8.1342,8.135,8.135,8.14,8.13,67
2024-01-04 14:50:00,4233,8.1333,8.13,8.135,8.135,8.13,39
2024-01-04 14:51:00,38283,8.1299,8.13,8.135,8.135,8.12,107
2024-01-04 14:52:00,6333,8.1384,8.135,8.14,8.14,8.13,33
2024-01-04 14:53:00,15379,8.1333,8.135,8.125,8.14,8.125,55
2024-01-04 14:54:00,15104,8.1211,8.12,8.13,8.13,8.115,73
2024-01-04 14:55:00,14924,8.125,8.125,8.115,8.13,8.115,68
2024-01-04 14:56:00,14881,8.1196,8.12,8.115,8.12,8.1125,53
2024-01-04 14:57:00,12916,8.1128,8.115,8.11,8.12,8.1014,62
2024-01-04 14:58:00,1513,8.1052,8.105,8.105,8.105,8.105,26
2024-01-04 14:59:00,3436,8.1045,8.105,8.1,8.105,8.1,28
2024-01-04 15:00:00,62639,8.1039,8.1,8.115,8.115,8.095,137
2024-01-04 15:01:00,24590,8.121,8.115,8.125,8.125,8.115,51
2024-01-04 15:02:00,7435,8.1199,8.121,8.115,8.121,8.115,31
2024-01-04 15:03:00,2677,8.116,8.115,8.115,8.12,8.115,32
2024-01-04 15:04:00,1298,8.1181,8.115,8.115,8.12,8.115,20
2024-01-04 15:05:00,8917,8.1215,8.12,8.12,8.13,8.115,33
2024-01-04 15:06:00,10744,8.12,8.12,8.115,8.12,8.115,34
2024-01-04 15:07:00,1034,8.1156,8.115,8.115,8.115,8.115,17
2024-01-04 15:08:00,25183,8.12,8.115,8.115,8.1285,8.115,76
2024-01-04 15:09:00,1029,8.1171,8.12,8.115,8.12,8.115,14
2024-01-04 15:10:00,20595,8.1204,8.115,8.125,8.125,8.115,76
2024-01-04 15:11:00,1664,8.1262,8.13,8.125,8.13,8.125,14
2024-01-04 15:12:00,8252,8.1295,8.13,8.135,8.135,8.125,42
2024-01-04 15:13:00,59171,8.1403,8.14,8.145,8.15,8.135,132
2024-01-04 15:14:00,2155,8.1484,8.15,8.145,8.15,8.145,24
2024-01-04 15:15:00,1477,8.1471,8.15,8.15,8.15,8.145,16
2024-01-04 15:16:00,1872,8.1489,8.15,8.145,8.15,8.145,16
2024-01-04 15:17:00,21292,8.1514,8.15,8.16,8.16,8.145,77
2024-01-04 15:18:00,3703,8.1586,8.16,8.16,8.16,8.155,20
2024-01-04 15:19:00,9525,8.1521,8.155,8.15,8.16,8.15,32
2024-01-04 15:20:00,4201,8.1521,8.155,8.15,8.158,8.15,24
2024-01-04 15:21:00,20022,8.1495,8.155,8.1489,8.155,8.145,65
2024-01-04 15:22:00,3246,8.1458,8.145,8.145,8.15,8.145,22
2024-01-04 15:23:00,2186,8.145,8.145,8.145,8.145,8.145,17
2024-01-04 15:24:00,22676,8.1481,8.145,8.155,8.157,8.14,66
2024-01-04 15:25:00,46440,8.1517,8.155,8.145,8.16,8.145,133
2024-01-04 15:26:00,3491,8.1433,8.145,8.1401,8.145,8.14,21
2024-01-04 15:27:00,24899,8.1516,8.145,8.155,8.16,8.145,65
2024-01-04 15:28:00,7326,8.1571,8.155,8.16,8.16,8.155,12
2024-01-04 15:29:00,213,8.1575,8.16,8.155,8.16,8.155,4
2024-01-04 15:30:00,30505,8.1684,8.16,8.175,8.18,8.155,79
2024-01-04 15:31:00,6939,8.1739,8.175,8.175,8.175,8.17,39
2024-01-04 15:32:00,2824,8.1752,8.175,8.175,8.18,8.175,26
2024-01-04 15:33:00,18737,8.1806,8.175,8.185,8.185,8.175,55
2024-01-04 15:34:00,37582,8.1805,8.185,8.185,8.185,8.175,81
2024-01-04 15:35:00,1308,8.1831,8.185,8.185,8.185,8.18,12
2024-01-04 15:36:00,44240,8.1822,8.18,8.19,8.19,8.18,51
2024-01-04 15:37:00,17533,8.1817,8.1899,8.175,8.19,8.175,84
2024-01-04 15:38:00,4316,8.177,8.18,8.175,8.18,8.175,21
2024-01-04 15:39:00,8515,8.1757,8.17,8.175,8.18,8.17,37
2024-01-04 15:40:00,1330,8.1762,8.175,8.175,8.175,8.175,16
