t,v,vw,o,c,h,l,n
2024-01-12 14:28:00,102,5.7086,5.71,5.71,5.71,5.71,3
2024-01-12 14:30:00,26883,5.7357,5.72,5.77,5.77,5.72,65
2024-01-12 14:31:00,3884,5.7407,5.76,5.72,5.76,5.71,44
2024-01-12 14:32:00,1748,5.7018,5.71,5.7,5.71,5.7,28
2024-01-12 14:33:00,1725,5.6912,5.7,5.69,5.7,5.69,21
2024-01-12 14:34:00,1933,5.6849,5.69,5.6895,5.69,5.68,27
2024-01-12 14:35:00,1101,5.6856,5.68,5.68,5.7,5.68,21
2024-01-12 14:36:00,471,5.7005,5.7,5.7,5.7,5.7,8
2024-01-12 14:37:00,939,5.7135,5.705,5.715,5.715,5.705,11
2024-01-12 14:38:00,5601,5.7103,5.71,5.71,5.715,5.71,56
2024-01-12 14:39:00,2702,5.7096,5.71,5.7025,5.7198,5.7025,32
2024-01-12 14:40:00,1019,5.7103,5.71,5.71,5.71,5.71,20
2024-01-12 14:41:00,279,5.7163,5.71,5.71,5.71,5.71,13
2024-01-12 14:43:00,548,5.7211,5.715,5.72,5.725,5.715,12
2024-01-12 14:44:00,2484,5.7418,5.74,5.745,5.745,5.74,34
2024-01-12 14:46:00,1335,5.7666,5.765,5.775,5.775,5.7608,19
2024-01-12 14:47:00,5953,5.7748,5.77,5.795,5.795,5.7663,49
2024-01-12 14:48:00,7001,5.8058,5.795,5.8,5.81,5.795,62
2024-01-12 14:49:00,5112,5.7901,5.795,5.785,5.795,5.785,44
2024-01-12 14:50:00,1894,5.7844,5.78,5.79,5.79,5.78,20
2024-01-12 14:51:00,1270,5.7982,5.795,5.795,5.8,5.795,21
2024-01-12 14:52:00,446,5.7937,5.795,5.795,5.795,5.795,38
2024-01-12 14:53:00,3499,5.7901,5.8,5.78,5.8,5.78,42
2024-01-12 14:54:00,3619,5.775,5.775,5.775,5.775,5.775,11
2024-01-12 14:55:00,1399,5.772,5.775,5.77,5.775,5.77,23
2024-01-12 14:57:00,612,5.7597,5.76,5.76,5.76,5.76,15
2024-01-12 14:58:00,572,5.7501,5.75,5.75,5.75,5.75,15
2024-01-12 14:59:00,1131,5.744,5.75,5.748,5.75,5.741,17
2024-01-12 15:00:00,1031,5.7411,5.74,5.74,5.745,5.74,19
2024-01-12 15:01:00,396,5.7339,5.74,5.7302,5.74,5.7302,9
2024-01-12 15:02:00,4763,5.7223,5.73,5.705,5.73,5.705,40
2024-01-12 15:03:00,4998,5.704,5.7,5.71,5.71,5.7,57
2024-01-12 15:04:00,1339,5.7108,5.71,5.715,5.715,5.71,20
2024-01-12 15:05:00,347,5.7199,5.72,5.72,5.72,5.72,8
2024-01-12 15:06:00,1140,5.7391,5.7399,5.7399,5.7399,5.7399,10
2024-01-12 15:07:00,2050,5.7396,5.74,5.74,5.74,5.735,31
2024-01-12 15:08:00,1686,5.738,5.74,5.7399,5.74,5.735,16
2024-01-12 15:10:00,335,5.7369,5.735,5.735,5.735,5.735,11
2024-01-12 15:11:00,834,5.735,5.735,5.735,5.735,5.735,14
2024-01-12 15:12:00,3246,5.733,5.735,5.735,5.735,5.73,38
2024-01-12 15:13:00,1196,5.7349,5.735,5.735,5.735,5.735,21
2024-01-12 15:14:00,4654,5.7401,5.735,5.7411,5.7411,5.735,19
2024-01-12 15:15:00,592,5.7415,5.745,5.74,5.745,5.74,10
2024-01-12 15:17:00,5330,5.7413,5.7434,5.74,5.745,5.74,60
2024-01-12 15:18:00,1254,5.7355,5.74,5.7389,5.74,5.73,26
2024-01-12 15:20:00,9092,5.7309,5.7384,5.73,5.7384,5.73,43
2024-01-12 15:21:00,220,5.7291,5.73,5.73,5.73,5.73,15
2024-01-12 15:22:00,525,5.7234,5.725,5.725,5.725,5.72,9
2024-01-12 15:23:00,2383,5.7196,5.725,5.72,5.725,5.715,47
2024-01-12 15:24:00,673,5.724,5.725,5.7203,5.725,5.7203,9
2024-01-12 15:25:00,815,5.7237,5.72,5.72,5.72,5.72,18
2024-01-12 15:26:00,894,5.7188,5.72,5.715,5.72,5.715,18
2024-01-12 15:27:00,5833,5.7103,5.7102,5.71,5.7103,5.71,41
2024-01-12 15:28:00,3870,5.7193,5.717,5.725,5.725,5.717,23
2024-01-12 15:30:00,1831,5.732,5.73,5.74,5.74,5.73,23
2024-01-12 15:31:00,851,5.7417,5.74,5.745,5.745,5.74,18
2024-01-12 15:33:00,242,5.7453,5.745,5.745,5.745,5.745,7
2024-01-12 15:34:00,528,5.745,5.745,5.745,5.745,5.745,12
2024-01-12 15:35:00,3826,5.7484,5.745,5.7494,5.7494,5.745,12
2024-01-12 15:36:00,4512,5.7414,5.74,5.745,5.75,5.74,64
2024-01-12 15:37:00,3092,5.7398,5.735,5.7301,5.745,5.7301,49
2024-01-12 15:38:00,273,5.7331,5.735,5.73,5.735,5.73,7
2024-01-12 15:39:00,8300,5.7182,5.73,5.705,5.73,5.705,80
2024-01-12 15:40:00,1171,5.7113,5.71,5.72,5.72,5.71,19
2024-01-12 15:42:00,201,5.715,5.715,5.715,5.715,5.715,5
2024-01-12 15:43:00,1642,5.7084,5.715,5.705,5.715,5.7,37
2024-01-12 15:44:00,10160,5.7239,5.71,5.73,5.73,5.71,74
2024-01-12 15:47:00,2395,5.7201,5.72,5.72,5.725,5.72,28
2024-01-12 15:48:00,3807,5.7196,5.7199,5.715,5.7199,5.715,7
2024-01-12 15:50:00,320,5.715,5.715,5.715,5.715,5.715,9
2024-01-12 15:52:00,1082,5.7149,5.715,5.715,5.715,5.715,22
2024-01-12 15:53:00,676,5.7141,5.715,5.71,5.715,5.71,19
2024-01-12 15:54:00,2170,5.7097,5.71,5.71,5.71,5.71,30
2024-01-12 15:55:00,5309,5.7085,5.705,5.71,5.72,5.7,61
2024-01-12 15:56:00,201,5.715,5.715,5.715,5.715,5.715,3
2024-01-12 15:57:00,2347,5.71,5.71,5.71,5.71,5.71,34
2024-01-12 15:59:00,309,5.7053,5.705,5.705,5.705,5.705,9
2024-01-12 16:01:00,709,5.712,5.71,5.715,5.715,5.71,26
2024-01-12 16:02:00,2703,5.7206,5.72,5.725,5.725,5.72,37
2024-01-12 16:04:00,3776,5.7315,5.725,5.735,5.735,5.725,50
2024-01-12 16:05:00,1791,5.731,5.735,5.7299,5.735,5.7299,15
2024-01-12 16:07:00,371,5.733,5.735,5.73,5.735,5.73,6
2024-01-12 16:08:00,242,5.7321,5.73,5.735,5.735,5.73,3
2024-01-12 16:09:00,103,5.735,5.735,5.735,5.735,5.735,4
2024-01-12 16:10:00,241,5.7346,5.735,5.735,5.735,5.735,7
2024-01-12 16:11:00,2383,5.7295,5.735,5.725,5.735,5.72,32
2024-01-12 16:12:00,3239,5.7143,5.72,5.71,5.72,5.71,34
2024-01-12 16:13:00,837,5.7128,5.71,5.71,5.7163,5.71,16
2024-01-12 16:15:00,1343,5.7113,5.7103,5.71,5.715,5.71,13
2024-01-12 16:16:00,327,5.7127,5.71,5.71,5.71,5.71,15
2024-01-12 16:17:00,200,5.7153,5.7153,5.7153,5.7153,5.7153,1
2024-01-12 16:18:00,261,5.7179,5.7199,5.7199,5.7199,5.7199,4
2024-01-12 16:19:00,204,5.715,5.715,5.715,5.715,5.715,4
2024-01-12 16:20:00,1146,5.71,5.71,5.71,5.71,5.71,23
2024-01-12 16:21:00,490,5.7118,5.71,5.715,5.715,5.71,11
2024-01-12 16:22:00,369,5.715,5.715,5.715,5.715,5.715,5
2024-01-12 16:23:00,1585,5.7143,5.7142,5.715,5.715,5.7142,4
2024-01-12 16:25:00,9779,5.7285,5.72,5.735,5.74,5.72,78
2024-01-12 16:26:00,200,5.7325,5.73,5.735,5.735,5.73,2
2024-01-12 16:27:00,354,5.7434,5.745,5.745,5.745,5.745,14
2024-01-12 16:28:00,901,5.7472,5.745,5.745,5.75,5.745,12
2024-01-12 16:29:00,955,5.745,5.745,5.745,5.745,5.745,13
2024-01-12 16:30:00,295,5.745,5.745,5.745,5.745,5.745,6
2024-01-12 16:31:00,1202,5.7409,5.7401,5.745,5.745,5.7401,4
2024-01-12 16:32:00,1537,5.7402,5.745,5.74,5.745,5.74,28
2024-01-12 16:33:00,208,5.7397,5.7399,5.7399,5.7399,5.7399,8
2024-01-12 16:34:00,531,5.7399,5.74,5.74,5.74,5.74,12
2024-01-12 16:35:00,602,5.735,5.735,5.735,5.735,5.735,8
2024-01-12 16:36:00,1165,5.7355,5.74,5.735,5.74,5.73,21
