t,v,vw,o,c,h,l,n
2024-02-21 09:00:00,740,25.2101,25.2,25.2,25.2,25.2,10
2024-02-21 09:02:00,511,25.3891,25.39,25.39,25.39,25.39,9
2024-02-21 09:16:00,156,25.2,25.2,25.2,25.2,25.2,5
2024-02-21 09:21:00,722,25.1685,25.15,25.2,25.2,25.15,9
2024-02-21 09:24:00,100,25.2,25.2,25.2,25.2,25.2,1
2024-02-21 10:09:00,184,25.2,25.2,25.2,25.2,25.2,2
2024-02-21 10:50:00,249,25.2802,25.28,25.28,25.28,25.28,7
2024-02-21 10:57:00,1001,25.3106,25.32,25.32,25.32,25.32,20
2024-02-21 11:16:00,800,25.1988,25.2,25.2,25.2,25.19,7
2024-02-21 11:44:00,1008,25.2059,25.2,25.2,25.2,25.2,17
2024-02-21 12:10:00,266,25.2398,25.25,25.25,25.25,25.25,5
2024-02-21 12:12:00,901,25.2483,25.26,25.25,25.26,25.25,19
2024-02-21 12:16:00,500,25.269,25.27,25.27,25.27,25.27,9
2024-02-21 12:17:00,100,25.27,25.27,25.27,25.27,25.27,1
2024-02-21 12:31:00,1021,25.2124,25.21,25.21,25.21,25.21,11
2024-02-21 12:34:00,300,25.186,25.18,25.18,25.18,25.18,8
2024-02-21 12:37:00,3195,25.1383,25.18,25.1,25.18,25.1,43
2024-02-21 12:38:00,1001,25.104,25.11,25.1,25.11,25.1,6
2024-02-21 12:41:00,360,25.1703,25.18,25.18,25.18,25.18,7
2024-02-21 12:48:00,628,25.0765,25.1,25.06,25.1,25.06,26
2024-02-21 12:50:00,800,25.06,25.06,25.06,25.06,25.06,1
2024-02-21 13:00:00,2237,25.2078,25.3188,25.18,25.3188,25.18,30
2024-02-21 13:02:00,697,25.477,25.5,25.5,25.5,25.5,13
2024-02-21 13:04:00,758,25.2513,25.19,25.19,25.19,25.19,16
2024-02-21 13:05:00,530,25.4892,25.59,25.59,25.59,25.59,24
2024-02-21 13:06:00,334,25.1282,25.13,25.13,25.13,25.13,8
2024-02-21 13:09:00,351,25.1473,25.15,25.15,25.15,25.15,4
2024-02-21 13:10:00,119,25.1101,25.11,25.11,25.11,25.11,7
2024-02-21 13:11:00,2276,25.1034,25.1,25.13,25.13,25.1,10
2024-02-21 13:15:00,240,25.11,25.11,25.11,25.11,25.11,2
2024-02-21 13:17:00,3480,25.1268,25.12,25.13,25.13,25.12,14
2024-02-21 13:18:00,407,25.1737,25.18,25.18,25.18,25.18,11
2024-02-21 13:22:00,3314,25.1766,25.19,25.13,25.19,25.13,8
2024-02-21 13:24:00,978,25.1271,25.11,25.11,25.11,25.11,17
2024-02-21 13:26:00,891,25.0755,25.08,25.06,25.08,25.06,18
2024-02-21 13:28:00,303,25.0967,25.09,25.1,25.1,25.09,3
2024-02-21 13:31:00,784,25.0623,25.05,25.05,25.05,25.05,30
2024-02-21 13:33:00,504,25.0418,25.04,25.04,25.04,25.04,7
2024-02-21 13:34:00,1584,25.0216,25.04,25.0,25.04,25.0,54
2024-02-21 13:38:00,339,25.1061,25.1096,25.1096,25.1096,25.1096,4
2024-02-21 13:43:00,1129,25.072,25.06,25.09,25.09,25.06,13
2024-02-21 13:45:00,476,25.0429,25.05,25.05,25.05,25.05,11
2024-02-21 13:47:00,1052,25.0405,25.04,25.04,25.04,25.04,4
2024-02-21 13:48:00,508,25.05,25.05,25.05,25.05,25.05,6
2024-02-21 13:49:00,259,25.0426,25.0401,25.04,25.0401,25.04,6
2024-02-21 13:50:00,731,25.0486,25.04,25.05,25.05,25.04,12
2024-02-21 13:51:00,150,25.05,25.05,25.05,25.05,25.05,3
2024-02-21 13:54:00,824,25.0537,25.05,25.05,25.05,25.05,11
2024-02-21 13:55:00,3000,25.0777,25.07,25.08,25.08,25.07,9
2024-02-21 13:58:00,283,25.0767,25.08,25.08,25.08,25.08,6
2024-02-21 13:59:00,101,25.08,25.08,25.08,25.08,25.08,2
2024-02-21 14:00:00,1550,25.0714,25.08,25.07,25.08,25.07,10
2024-02-21 14:01:00,583,25.0801,25.08,25.08,25.08,25.08,11
2024-02-21 14:03:00,201,25.095,25.09,25.09,25.09,25.09,4
2024-02-21 14:04:00,161,25.08,25.08,25.08,25.08,25.08,7
2024-02-21 14:05:00,293,25.0857,25.0897,25.08,25.0897,25.08,6
2024-02-21 14:06:00,1372,25.097,25.08,25.1,25.12,25.08,22
2024-02-21 14:07:00,111,25.1223,25.12,25.12,25.12,25.12,3
2024-02-21 14:08:00,418,25.1224,25.12,25.12,25.12,25.12,10
2024-02-21 14:10:00,212,25.1511,25.18,25.18,25.18,25.18,4
2024-02-21 14:17:00,362,25.1203,25.12,25.12,25.12,25.12,5
2024-02-21 14:18:00,2256,25.1109,25.12,25.12,25.12,25.1,21
2024-02-21 14:24:00,750,25.0987,25.1,25.1,25.1,25.1,4
2024-02-21 14:25:00,1755,25.0495,25.05,25.02,25.06,25.02,20
2024-02-21 14:27:00,17607,25.0,25.0,25.0,25.0,25.0,203
2024-02-21 14:29:00,572,24.9786,24.96,24.96,24.96,24.96,12
