t,v,vw,o,c,h,l,n
2024-04-25 12:00:00,524,1.6283,1.6284,1.6284,1.6284,1.6284,4
2024-04-25 12:20:00,100,1.62,1.62,1.62,1.62,1.62,1
2024-04-25 12:22:00,200,1.62,1.62,1.62,1.62,1.62,1
2024-04-25 13:30:00,34475,1.6001,1.6,1.6,1.605,1.595,54
2024-04-25 13:31:00,14150,1.5938,1.595,1.595,1.5989,1.59,31
2024-04-25 13:32:00,11725,1.5947,1.595,1.5931,1.595,1.5931,21
2024-04-25 13:33:00,145762,1.59,1.59,1.5953,1.5953,1.585,179
2024-04-25 13:34:00,9662,1.5902,1.59,1.595,1.595,1.59,67
2024-04-25 13:35:00,2700,1.5905,1.59,1.5995,1.5995,1.59,13
2024-04-25 13:36:00,310,1.5903,1.59,1.59,1.59,1.59,4
2024-04-25 13:37:00,375,1.5919,1.59,1.5932,1.5932,1.59,6
2024-04-25 13:39:00,16467,1.5891,1.59,1.58,1.59,1.58,28
2024-04-25 13:40:00,1801,1.5869,1.585,1.585,1.585,1.585,4
2024-04-25 13:41:00,493,1.58,1.58,1.58,1.58,1.58,4
2024-04-25 13:43:00,11553,1.5867,1.585,1.585,1.59,1.585,31
2024-04-25 13:44:00,1800,1.5861,1.5859,1.5859,1.5859,1.5859,3
2024-04-25 13:46:00,610,1.5891,1.59,1.585,1.59,1.585,3
2024-04-25 13:47:00,9407,1.5814,1.5801,1.58,1.5884,1.58,10
2024-04-25 13:48:00,146,1.5818,1.58,1.58,1.58,1.58,3
2024-04-25 13:49:00,700,1.5809,1.58,1.58,1.585,1.58,8
2024-04-25 13:50:00,1223,1.5846,1.58,1.585,1.585,1.58,6
2024-04-25 13:51:00,841,1.5848,1.585,1.585,1.585,1.585,5
2024-04-25 13:52:00,9713,1.5847,1.58,1.585,1.585,1.58,20
2024-04-25 13:53:00,6200,1.5869,1.585,1.585,1.59,1.585,13
2024-04-25 13:54:00,826,1.5844,1.585,1.585,1.585,1.58,8
2024-04-25 13:55:00,100,1.585,1.585,1.585,1.585,1.585,1
2024-04-25 13:56:00,201,1.5827,1.58,1.58,1.58,1.58,3
2024-04-25 13:57:00,3897,1.5846,1.585,1.58,1.585,1.58,7
2024-04-25 13:58:00,3039,1.5863,1.58,1.585,1.59,1.58,15
2024-04-25 13:59:00,1839,1.5864,1.585,1.585,1.59,1.585,7
2024-04-25 14:00:00,4000,1.5835,1.58,1.585,1.585,1.58,8
2024-04-25 14:01:00,938,1.5859,1.585,1.585,1.59,1.585,7
2024-04-25 14:02:00,201,1.5875,1.59,1.585,1.59,1.585,3
2024-04-25 14:03:00,206,1.5899,1.59,1.59,1.59,1.59,3
2024-04-25 14:04:00,4750,1.5813,1.581,1.59,1.59,1.581,5
2024-04-25 14:05:00,1120,1.5883,1.585,1.59,1.59,1.585,7
2024-04-25 14:06:00,672,1.5853,1.585,1.585,1.585,1.585,5
2024-04-25 14:07:00,100,1.59,1.59,1.59,1.59,1.59,1
2024-04-25 14:08:00,100,1.59,1.59,1.59,1.59,1.59,1
2024-04-25 14:09:00,119791,1.59,1.59,1.58,1.595,1.58,114
2024-04-25 14:10:00,1700,1.5837,1.58,1.58,1.585,1.58,5
2024-04-25 14:11:00,29589,1.5903,1.585,1.595,1.595,1.585,27
2024-04-25 14:12:00,1531,1.5959,1.5985,1.5912,1.5985,1.5912,5
2024-04-25 14:13:00,5115,1.591,1.5909,1.595,1.595,1.5909,3
