t,v,vw,o,c,h,l,n
2024-02-05 09:00:00,174,40.81,40.81,40.81,40.81,40.81,1
2024-02-05 12:16:00,1098,40.7679,40.8,40.78,40.8,40.78,9
2024-02-05 12:18:00,2274,40.8478,40.78,40.89,40.89,40.78,16
2024-02-05 12:36:00,1700,40.7541,40.76,40.75,40.76,40.75,3
2024-02-05 13:48:00,310,40.51,40.51,40.51,40.51,40.51,2
2024-02-05 13:51:00,246,40.51,40.51,40.51,40.51,40.51,1
2024-02-05 13:52:00,1501,40.52,40.52,40.52,40.52,40.52,4
2024-02-05 13:59:00,1502,40.5,40.5,40.5,40.5,40.5,5
2024-02-05 14:27:00,190,40.4953,40.5,40.5,40.5,40.5,2
2024-02-05 14:30:00,122284,40.4205,40.44,40.4,40.44,40.3,567
2024-02-05 14:31:00,21964,40.3173,40.39,40.265,40.4,40.24,327
2024-02-05 14:32:00,38408,40.3346,40.28,40.3054,40.42,40.27,293
2024-02-05 14:33:00,22445,40.2955,40.29,40.3,40.33,40.255,256
2024-02-05 14:34:00,6512,40.3047,40.32,40.36,40.36,40.24,122
2024-02-05 14:35:00,8088,40.3839,40.36,40.4,40.4109,40.34,133
2024-02-05 14:36:00,20530,40.3479,40.4,40.32,40.4,40.31,285
2024-02-05 14:37:00,35054,40.3221,40.32,40.32,40.38,40.29,497
2024-02-05 14:38:00,14857,40.3247,40.3098,40.305,40.36,40.28,204
2024-02-05 14:39:00,24264,40.2792,40.2899,40.34,40.35,40.2419,374
2024-02-05 14:40:00,36662,40.2531,40.3365,40.24,40.3365,40.21,555
2024-02-05 14:41:00,15743,40.238,40.2566,40.215,40.27,40.21,261
2024-02-05 14:42:00,22985,40.1763,40.2165,40.25,40.25,40.13,279
2024-02-05 14:43:00,18266,40.2664,40.25,40.22,40.31,40.22,219
2024-02-05 14:44:00,8613,40.2588,40.22,40.3,40.3,40.22,91
2024-02-05 14:45:00,17968,40.2787,40.3,40.27,40.33,40.225,258
2024-02-05 14:46:00,8127,40.2501,40.26,40.24,40.3,40.235,142
2024-02-05 14:47:00,13332,40.285,40.25,40.31,40.31,40.25,147
2024-02-05 14:48:00,18280,40.3654,40.325,40.37,40.39,40.325,188
2024-02-05 14:49:00,11119,40.3901,40.375,40.39,40.41,40.3601,173
2024-02-05 14:50:00,17140,40.3847,40.39,40.4,40.4,40.365,201
2024-02-05 14:51:00,33365,40.4008,40.395,40.405,40.42,40.39,306
2024-02-05 14:52:00,34781,40.3573,40.4,40.345,40.4,40.325,304
2024-02-05 14:53:00,15815,40.3569,40.3499,40.355,40.38,40.32,188
2024-02-05 14:54:00,30409,40.4101,40.36,40.46,40.49,40.36,264
2024-02-05 14:55:00,19633,40.4576,40.445,40.455,40.48,40.445,244
2024-02-05 14:56:00,27614,40.4131,40.45,40.42,40.47,40.38,310
2024-02-05 14:57:00,22710,40.41,40.415,40.42,40.435,40.38,208
2024-02-05 14:58:00,5408,40.4381,40.43,40.44,40.45,40.43,63
2024-02-05 14:59:00,11885,40.4257,40.43,40.45,40.45,40.39,136
2024-02-05 15:00:00,31650,40.3769,40.45,40.26,40.46,40.25,431
2024-02-05 15:01:00,17291,40.2556,40.26,40.225,40.295,40.21,170
2024-02-05 15:02:00,33265,40.2267,40.24,40.17,40.27,40.17,349
2024-02-05 15:03:00,12552,40.1384,40.18,40.125,40.19,40.115,168
2024-02-05 15:04:00,24362,40.1331,40.125,40.1762,40.1762,40.09,226
2024-02-05 15:05:00,19574,40.1683,40.17,40.1675,40.18,40.15,227
2024-02-05 15:06:00,16450,40.1384,40.16,40.12,40.16,40.11,278
