t,v,vw,o,c,h,l,n
2023-09-06 13:30:00,3399,3.0675,3.07,3.03,3.07,3.03,16
2023-09-06 13:31:00,986,3.0779,3.08,3.08,3.08,3.08,16
2023-09-06 13:32:00,427,3.0801,3.08,3.08,3.08,3.08,14
2023-09-06 13:37:00,209,3.0905,3.09,3.09,3.09,3.09,3
2023-09-06 13:38:00,242,3.103,3.105,3.105,3.105,3.105,3
2023-09-06 13:39:00,651,3.1093,3.105,3.11,3.11,3.105,10
2023-09-06 13:40:00,421,3.1117,3.115,3.11,3.115,3.11,9
2023-09-06 13:41:00,1119,3.1201,3.11,3.13,3.13,3.11,20
2023-09-06 13:42:00,1241,3.1361,3.13,3.1301,3.145,3.13,14
2023-09-06 13:43:00,607,3.1283,3.13,3.12,3.13,3.12,6
2023-09-06 13:45:00,310,3.12,3.12,3.12,3.12,3.12,3
2023-09-06 13:46:00,515,3.1142,3.12,3.115,3.12,3.115,17
2023-09-06 13:47:00,630,3.0919,3.1,3.085,3.1,3.085,5
2023-09-06 13:48:00,154,3.09,3.09,3.09,3.09,3.09,3
2023-09-06 13:50:00,1234,3.1111,3.11,3.1115,3.1115,3.11,14
2023-09-06 13:51:00,115,3.1332,3.135,3.135,3.135,3.135,3
2023-09-06 13:53:00,1369,3.1226,3.13,3.12,3.13,3.12,27
2023-09-06 13:55:00,554,3.1141,3.12,3.11,3.12,3.1072,10
2023-09-06 13:58:00,5416,3.113,3.11,3.115,3.12,3.11,19
2023-09-06 13:59:00,251,3.1148,3.12,3.11,3.12,3.11,9
2023-09-06 14:00:00,5216,3.0883,3.09,3.1,3.1,3.075,39
2023-09-06 14:02:00,947,3.0756,3.09,3.07,3.09,3.07,12
2023-09-06 14:03:00,188,3.08,3.08,3.08,3.08,3.08,7
2023-09-06 14:06:00,1550,3.064,3.06,3.065,3.065,3.06,19
2023-09-06 14:07:00,601,3.0713,3.07,3.07,3.07,3.07,13
2023-09-06 14:10:00,596,3.0908,3.095,3.095,3.095,3.095,22
2023-09-06 14:11:00,315,3.099,3.0994,3.0994,3.0994,3.0994,2
2023-09-06 14:13:00,639,3.0868,3.09,3.08,3.09,3.08,13
2023-09-06 14:14:00,120,3.07,3.07,3.07,3.07,3.07,2
2023-09-06 14:15:00,323,3.08,3.08,3.08,3.08,3.08,10
2023-09-06 14:16:00,340,3.0885,3.085,3.09,3.09,3.085,7
2023-09-06 14:17:00,732,3.1057,3.1,3.11,3.11,3.1,13
2023-09-06 14:18:00,266,3.1,3.1,3.1,3.1,3.1,8
2023-09-06 14:20:00,120,3.115,3.115,3.115,3.115,3.115,1
2023-09-06 14:21:00,333,3.1093,3.11,3.11,3.11,3.11,9
2023-09-06 14:23:00,262,3.0956,3.1,3.1,3.1,3.1,9
2023-09-06 14:28:00,5445,3.0906,3.095,3.08,3.095,3.08,36
2023-09-06 14:29:00,640,3.0697,3.07,3.07,3.07,3.07,7
2023-09-06 14:30:00,520,3.07,3.07,3.07,3.07,3.07,7
2023-09-06 14:33:00,744,3.0785,3.08,3.08,3.08,3.08,21
2023-09-06 14:35:00,1008,3.0897,3.09,3.09,3.09,3.09,12
2023-09-06 14:36:00,450,3.07,3.07,3.07,3.07,3.07,7
