t,v,vw,o,c,h,l,n
2023-12-27 13:55:00,100,16.5154,16.5154,16.5154,16.5154,16.5154,1
2023-12-27 14:20:00,500,16.6,16.6,16.6,16.6,16.6,2
2023-12-27 14:30:00,11212,16.7467,16.76,16.72,16.7745,16.7,39
2023-12-27 14:31:00,7488,16.7414,16.77,16.73,16.77,16.71,82
2023-12-27 14:32:00,2982,16.6962,16.7,16.69,16.71,16.69,26
2023-12-27 14:33:00,1228,16.6692,16.66,16.68,16.68,16.66,11
2023-12-27 14:34:00,1522,16.6691,16.67,16.67,16.67,16.665,21
2023-12-27 14:35:00,6049,16.6981,16.68,16.74,16.74,16.675,56
2023-12-27 14:36:00,3027,16.7338,16.74,16.72,16.74,16.72,50
2023-12-27 14:37:00,2901,16.7254,16.72,16.73,16.74,16.71,35
2023-12-27 14:38:00,4946,16.7072,16.72,16.705,16.735,16.685,64
2023-12-27 14:39:00,4414,16.7301,16.715,16.75,16.75,16.715,36
2023-12-27 14:40:00,10786,16.8176,16.75,16.85,16.85,16.75,99
2023-12-27 14:41:00,10358,16.8385,16.85,16.84,16.85,16.83,90
2023-12-27 14:42:00,4780,16.8389,16.84,16.83,16.85,16.82,55
2023-12-27 14:43:00,10297,16.8069,16.82,16.79,16.82,16.79,58
2023-12-27 14:44:00,22512,16.7952,16.78,16.83,16.8313,16.76,181
2023-12-27 14:45:00,6563,16.8357,16.83,16.835,16.845,16.83,63
2023-12-27 14:46:00,3020,16.8274,16.83,16.82,16.84,16.82,38
2023-12-27 14:47:00,17567,16.799,16.81,16.78,16.82,16.78,162
2023-12-27 14:48:00,11776,16.7984,16.79,16.785,16.81,16.785,140
2023-12-27 14:49:00,4965,16.7786,16.785,16.765,16.79,16.76,50
2023-12-27 14:50:00,6794,16.7874,16.77,16.805,16.805,16.77,94
2023-12-27 14:51:00,7896,16.8215,16.81,16.84,16.84,16.795,96
2023-12-27 14:52:00,9796,16.8638,16.84,16.88,16.89,16.84,107
2023-12-27 14:53:00,16146,16.9015,16.88,16.9,16.92,16.88,173
2023-12-27 14:54:00,8968,16.9028,16.9,16.91,16.91,16.887,88
2023-12-27 14:55:00,74671,16.9696,16.915,16.95,17.0,16.9075,540
2023-12-27 14:56:00,42500,16.9943,16.96,17.02,17.02,16.96,288
2023-12-27 14:57:00,15590,17.0446,17.02,17.04,17.06,17.02,178
2023-12-27 14:58:00,10311,17.0029,17.02,17.0,17.025,17.0,89
2023-12-27 14:59:00,11595,16.9915,17.0,17.0,17.0002,16.97,111
2023-12-27 15:00:00,14208,17.0314,16.995,17.08,17.08,16.99,185
2023-12-27 15:01:00,11300,17.0653,17.07,17.065,17.08,17.0447,120
2023-12-27 15:02:00,4542,17.0531,17.07,17.04,17.07,17.04,36
2023-12-27 15:03:00,3429,17.0247,17.02,17.02,17.035,17.01,42
2023-12-27 15:04:00,3323,17.0262,17.025,17.045,17.045,17.015,36
2023-12-27 15:05:00,7048,17.0359,17.05,17.02,17.05,17.01,86
2023-12-27 15:06:00,2044,17.0191,17.0187,17.01,17.028,17.01,40
2023-12-27 15:07:00,1096,17.0059,17.015,17.0,17.015,17.0,21
2023-12-27 15:08:00,1062,17.0096,17.01,17.005,17.01,17.005,14
2023-12-27 15:09:00,3194,17.0022,17.01,17.0,17.01,16.99,44
2023-12-27 15:10:00,7075,16.9964,17.0,16.98,17.005,16.98,89
2023-12-27 15:11:00,3342,16.9995,16.99,17.0,17.005,16.99,43
2023-12-27 15:12:00,3096,17.0043,17.0,17.01,17.01,17.0,43
2023-12-27 15:13:00,7751,17.0034,17.01,17.0,17.01,16.995,101
2023-12-27 15:14:00,7351,16.9999,16.99,17.005,17.015,16.9889,79
2023-12-27 15:15:00,5912,16.9766,17.0,16.965,17.0,16.96,45
2023-12-27 15:16:00,3937,16.9777,16.97,16.98,16.99,16.97,48
2023-12-27 15:17:00,2873,16.9855,16.99,16.99,16.99,16.98,30
2023-12-27 15:18:00,5436,16.9824,16.98,16.9806,16.99,16.98,37
2023-12-27 15:19:00,15340,16.9895,16.99,16.955,17.0,16.955,196
2023-12-27 15:20:00,57165,16.9744,16.935,16.99,17.0,16.93,579
2023-12-27 15:21:00,8797,16.9967,16.98,17.01,17.01,16.98,66
2023-12-27 15:22:00,4613,17.0013,17.0,17.0,17.005,17.0,38
2023-12-27 15:23:00,1765,17.0019,17.01,17.0048,17.01,17.0,21
2023-12-27 15:24:00,6512,16.9923,17.005,17.0,17.005,16.985,62
2023-12-27 15:25:00,7120,17.0063,17.0,17.005,17.015,17.0,75
2023-12-27 15:26:00,7899,17.0098,17.005,16.995,17.02,16.995,98
2023-12-27 15:27:00,2740,16.9986,16.995,17.01,17.01,16.995,26
2023-12-27 15:28:00,3263,16.989,17.005,16.975,17.005,16.975,34
2023-12-27 15:29:00,2329,16.9865,16.975,16.975,16.995,16.975,34
2023-12-27 15:30:00,10884,16.9783,16.975,16.98,16.99,16.96,98
2023-12-27 15:31:00,774,16.9639,16.97,16.96,16.97,16.96,15
