t,v,vw,o,c,h,l,n
2023-07-20 08:07:00,108,2.0707,2.07,2.07,2.07,2.07,2
2023-07-20 09:00:00,2420,2.05,2.05,2.05,2.05,2.05,1
2023-07-20 09:08:00,5000,2.05,2.05,2.05,2.05,2.05,2
2023-07-20 10:44:00,135,2.06,2.06,2.06,2.06,2.06,2
2023-07-20 11:30:00,2002,2.07,2.07,2.07,2.07,2.07,2
2023-07-20 11:53:00,569,2.0687,2.065,2.07,2.07,2.065,2
2023-07-20 11:59:00,100,2.07,2.07,2.07,2.07,2.07,1
2023-07-20 12:00:00,691,2.0733,2.06,2.08,2.08,2.06,5
2023-07-20 12:01:00,925,2.08,2.08,2.08,2.08,2.08,1
2023-07-20 12:02:00,200,2.08,2.08,2.08,2.08,2.08,2
2023-07-20 12:12:00,296,2.0609,2.0609,2.0609,2.0609,2.0609,1
2023-07-20 12:37:00,100,2.11,2.11,2.11,2.11,2.11,1
2023-07-20 13:06:00,2605,2.0838,2.09,2.08,2.09,2.08,3
2023-07-20 13:08:00,327,2.08,2.08,2.08,2.08,2.08,1
2023-07-20 13:16:00,1000,2.0709,2.07,2.07,2.07,2.07,2
2023-07-20 13:30:00,4845,2.0603,2.06,2.06,2.06,2.06,7
2023-07-20 13:31:00,900,2.0538,2.05,2.05,2.05,2.05,27
2023-07-20 13:32:00,2323,2.0548,2.055,2.055,2.055,2.055,3
2023-07-20 13:34:00,260,2.0642,2.0642,2.0642,2.0642,2.0642,1
2023-07-20 13:35:00,1306,2.05,2.05,2.05,2.05,2.05,3
2023-07-20 13:36:00,31115,2.0105,2.05,2.0369,2.05,2.0,48
2023-07-20 13:37:00,6269,2.0006,2.025,2.0,2.025,2.0,4
2023-07-20 13:38:00,2298,2.0576,2.06,2.06,2.06,2.06,10
2023-07-20 13:39:00,873,2.0202,2.02,2.0201,2.021,2.02,9
2023-07-20 13:42:00,811,2.0225,2.0,2.04,2.04,2.0,6
2023-07-20 13:44:00,1015,2.0189,2.019,2.019,2.019,2.019,3
2023-07-20 13:47:00,112,2.0264,2.0265,2.0265,2.0265,2.0265,3
2023-07-20 13:50:00,177,2.0102,2.0102,2.0102,2.0102,2.0102,1
2023-07-20 13:53:00,5582,2.0534,2.03,2.0321,2.07,2.03,10
2023-07-20 13:54:00,275,2.0541,2.055,2.055,2.055,2.055,6
2023-07-20 13:55:00,1671,2.0621,2.07,2.0417,2.07,2.0417,4
2023-07-20 13:56:00,6616,2.0399,2.04,2.04,2.04,2.04,11
2023-07-20 13:57:00,3455,2.0202,2.0201,2.0201,2.0201,2.0201,5
2023-07-20 13:58:00,100,2.04,2.04,2.04,2.04,2.04,1
2023-07-20 14:00:00,131,2.0406,2.0406,2.0406,2.0406,2.0406,2
2023-07-20 14:04:00,807,2.04,2.04,2.04,2.04,2.04,11
2023-07-20 14:12:00,10878,2.0485,2.04,2.03,2.05,2.03,30
2023-07-20 14:17:00,242,2.0492,2.0491,2.0491,2.0491,2.0491,2
2023-07-20 14:20:00,200,2.04,2.04,2.04,2.04,2.04,2
2023-07-20 14:22:00,1257,2.0499,2.0499,2.05,2.05,2.0499,9
2023-07-20 14:24:00,624,2.0505,2.05,2.05,2.05,2.05,5
2023-07-20 14:25:00,201,2.067,2.0671,2.0671,2.0671,2.0671,2
2023-07-20 14:26:00,1750,2.0673,2.0699,2.0639,2.0699,2.0639,2
2023-07-20 14:27:00,196,2.0522,2.0498,2.0498,2.0498,2.0498,3
2023-07-20 14:30:00,4144,2.0512,2.05,2.06,2.06,2.05,27
2023-07-20 14:31:00,2169,2.05,2.05,2.0495,2.05,2.0495,3
2023-07-20 14:35:00,1170,2.0401,2.0401,2.04,2.0401,2.04,4
2023-07-20 14:37:00,1732,2.0284,2.03,2.02,2.03,2.02,15
2023-07-20 14:39:00,1541,2.0265,2.02,2.03,2.03,2.02,6
2023-07-20 14:40:00,130,2.0295,2.0294,2.0294,2.0294,2.0294,2
2023-07-20 14:48:00,1004,2.02,2.02,2.02,2.02,2.02,3
