t,v,vw,o,c,h,l,n
2023-11-17 09:02:00,22.2222,11.169,10.8,11.475,11.475,10.8,7
2023-11-17 09:05:00,11.6667,10.908,10.908,10.908,10.908,10.908,2
2023-11-17 09:07:00,70.4,10.9035,10.908,10.8945,10.908,10.8945,4
2023-11-17 09:08:00,64.4444,10.8945,10.8945,10.8945,10.8945,10.8945,2
2023-11-17 09:10:00,22.2222,10.8945,10.8945,10.9125,10.9125,10.8945,4
2023-11-17 09:11:00,32.4667,10.917,10.9305,10.9125,10.9305,10.9125,3
2023-11-17 09:12:00,97.0667,11.25,11.25,11.25,11.25,11.25,2
2023-11-17 09:13:00,23.4889,11.1735,11.043,11.25,11.25,11.043,8
2023-11-17 09:14:00,13.3333,11.25,11.25,11.25,11.25,11.25,1
2023-11-17 09:24:00,24.8667,11.2635,11.259,11.259,11.259,11.259,3
2023-11-17 09:25:00,20.6222,12.4515,12.465,12.465,12.465,12.465,4
2023-11-17 09:27:00,20.6222,11.277,11.259,11.259,11.259,11.259,5
2023-11-17 09:35:00,12.9111,11.6145,11.7405,11.5875,11.7405,11.5875,4
2023-11-17 09:37:00,3.3333,11.5875,11.5875,11.5875,11.5875,11.5875,2
2023-11-17 09:38:00,24.4444,11.637,12.105,11.592,12.105,11.592,2
2023-11-17 09:39:00,68.6222,12.2805,12.078,11.7765,12.3975,11.7765,12
2023-11-17 09:40:00,38.1778,11.763,11.7765,11.8035,11.8035,11.7765,11
2023-11-17 09:41:00,64.4444,11.25,11.25,11.25,11.25,11.25,2
2023-11-17 09:43:00,45.6889,11.25,11.25,11.2545,11.2545,11.25,7
2023-11-17 09:45:00,91.1111,11.25,11.25,11.25,11.2545,11.25,7
2023-11-17 09:47:00,46.0667,11.2545,11.2545,11.2545,11.2545,11.2545,6
2023-11-17 09:49:00,11.7111,11.4345,11.475,11.25,11.475,11.25,2
2023-11-17 09:56:00,2.2222,11.475,11.475,11.475,11.475,11.475,1
2023-11-17 09:57:00,53.5778,11.466,11.4705,11.475,11.475,11.25,7
2023-11-17 09:58:00,15.2667,11.25,11.25,11.25,11.25,11.25,2
2023-11-17 09:59:00,2.2222,11.25,11.25,11.25,11.25,11.25,1
2023-11-17 10:00:00,4.8889,11.25,11.25,11.25,11.25,11.25,3
2023-11-17 10:01:00,15.4667,11.25,11.25,11.25,11.25,11.25,2
2023-11-17 10:03:00,22.7778,11.25,11.25,11.25,11.25,11.25,3
2023-11-17 10:13:00,40.2222,11.25,11.25,11.25,11.25,11.25,6
2023-11-17 10:33:00,10.4667,11.3265,11.3265,11.3265,11.3265,11.3265,4
