t,v,vw,o,c,h,l,n
2023-09-06 11:00:00,244,133.1,133.1,133.1,133.1,133.1,2
2023-09-06 12:00:00,178,132.6174,132.56,132.56,132.56,132.56,10
2023-09-06 12:09:00,938,132.5701,132.5701,132.5701,132.5701,132.5701,1
2023-09-06 13:30:00,33534,133.0445,132.97,133.65,133.65,132.97,179
2023-09-06 13:31:00,9759,133.6129,133.65,133.61,133.84,133.41,164
2023-09-06 13:32:00,10704,133.3578,133.605,133.27,133.62,133.12,158
2023-09-06 13:33:00,10286,133.1993,133.2,133.34,133.34,132.99,169
2023-09-06 13:34:00,12228,133.4786,133.255,133.66,133.74,133.255,150
2023-09-06 13:35:00,15019,133.7789,133.61,133.83,133.88,133.61,254
2023-09-06 13:36:00,20970,134.0746,133.855,133.915,134.25,133.855,229
2023-09-06 13:37:00,11544,134.0465,133.915,133.99,134.1702,133.915,197
2023-09-06 13:38:00,6816,134.0808,134.005,134.125,134.16,134.005,121
2023-09-06 13:39:00,25904,134.4007,134.13,134.57,134.62,134.13,241
2023-09-06 13:40:00,9370,134.6055,134.625,134.61,134.73,134.51,193
2023-09-06 13:41:00,6617,134.6476,134.62,134.68,134.68,134.6,121
2023-09-06 13:42:00,20032,134.7948,134.7,134.72,134.865,134.66,264
2023-09-06 13:43:00,6601,134.7566,134.73,134.69,134.845,134.69,119
2023-09-06 13:44:00,5593,134.688,134.6901,134.665,134.765,134.65,133
2023-09-06 13:45:00,7178,134.6307,134.725,134.5275,134.75,134.525,170
2023-09-06 13:46:00,4049,134.4419,134.565,134.26,134.565,134.26,114
2023-09-06 13:47:00,9007,134.3497,134.41,134.2809,134.47,134.2809,152
2023-09-06 13:48:00,9496,134.2663,134.365,134.4,134.4,134.16,156
2023-09-06 13:49:00,12310,134.4923,134.37,134.6,134.66,134.35,218
2023-09-06 13:50:00,6866,134.7155,134.605,134.78,134.82,134.605,155
2023-09-06 13:51:00,13230,134.85,134.815,134.76,134.93,134.76,237
2023-09-06 13:52:00,5897,134.7763,134.735,134.87,134.88,134.7,114
2023-09-06 13:53:00,14737,134.7156,134.82,134.61,134.82,134.61,239
2023-09-06 13:54:00,5641,134.6674,134.67,134.47,134.785,134.47,121
2023-09-06 13:55:00,3035,134.422,134.5,134.38,134.56,134.35,96
2023-09-06 13:56:00,8515,134.4529,134.35,134.58,134.59,134.29,176
2023-09-06 13:57:00,3321,134.471,134.51,134.47,134.51,134.42,71
2023-09-06 13:58:00,3289,134.4936,134.47,134.53,134.53,134.44,81
2023-09-06 13:59:00,6395,134.4455,134.495,134.42,134.53,134.42,116
2023-09-06 14:00:00,8991,134.2786,134.41,134.36,134.41,134.16,162
2023-09-06 14:01:00,8819,134.3633,134.29,134.37,134.47,134.29,105
2023-09-06 14:02:00,8610,134.2455,134.28,134.165,134.31,134.165,175
2023-09-06 14:03:00,10048,134.2614,134.21,134.35,134.49,134.12,197
2023-09-06 14:04:00,4074,134.2719,134.24,134.19,134.33,134.19,77
