t,v,vw,o,c,h,l,n
2023-06-20 08:39:00,400.0,4.4,4.4,4.4,4.4,4.4,3
2023-06-20 11:00:00,292.0,4.3984,4.4,4.38,4.4,4.38,5
2023-06-20 11:28:00,300.0,4.37,4.37,4.37,4.37,4.37,1
2023-06-20 12:00:00,298.0,4.3718,4.37,4.37,4.37,4.37,4
2023-06-20 12:29:00,857.0,4.37,4.37,4.37,4.37,4.37,2
2023-06-20 13:30:00,21136.0,4.3701,4.37,4.35,4.3785,4.35,42
2023-06-20 13:31:00,13553.0,4.3398,4.35,4.31,4.35,4.31,105
2023-06-20 13:32:00,3910.0,4.3244,4.31,4.34,4.34,4.31,33
2023-06-20 13:35:00,4955.0,4.36,4.345,4.38,4.38,4.345,32
2023-06-20 13:36:00,13685.0,4.3782,4.38,4.375,4.385,4.37,68
2023-06-20 13:37:00,1204.0,4.3775,4.375,4.375,4.38,4.375,6
2023-06-20 13:38:00,519.0,4.3739,4.375,4.37,4.375,4.37,7
2023-06-20 13:39:00,2135.0,4.3699,4.37,4.37,4.37,4.37,28
2023-06-20 13:40:00,6448.0,4.3801,4.38,4.38,4.38,4.38,31
2023-06-20 13:41:00,1752.0,4.3809,4.385,4.38,4.385,4.38,27
2023-06-20 13:42:00,1459.0,4.3654,4.37,4.36,4.37,4.36,28
2023-06-20 13:43:00,576.0,4.355,4.355,4.355,4.355,4.353,7
2023-06-20 13:44:00,971.0,4.3553,4.355,4.3599,4.3599,4.35,16
2023-06-20 13:45:00,2005.0,4.3431,4.35,4.32,4.35,4.32,46
2023-06-20 13:46:00,2447.0,4.316,4.305,4.31,4.31,4.305,18
2023-06-20 13:47:00,5340.0,4.3201,4.32,4.325,4.325,4.315,39
2023-06-20 13:48:00,6733.0,4.3091,4.32,4.305,4.32,4.3,56
2023-06-20 13:49:00,4883.0,4.3059,4.305,4.309,4.309,4.3,12
2023-06-20 13:50:00,15036.0,4.2969,4.3015,4.285,4.305,4.285,60
2023-06-20 13:51:00,487.0,4.2884,4.285,4.28,4.288,4.28,7
2023-06-20 13:52:00,1929.0,4.2906,4.29,4.29,4.29,4.29,3
2023-06-20 13:53:00,8214.0,4.2766,4.2809,4.2747,4.285,4.27,70
2023-06-20 13:54:00,203.0,4.2701,4.27,4.27,4.27,4.27,5
2023-06-20 13:55:00,10475.0,4.2588,4.27,4.25,4.27,4.25,97
