t,v,vw,o,c,h,l,n
2023-07-05 08:56:00,100,17.94,17.94,17.94,17.94,17.94,1
2023-07-05 11:50:00,1000,18.0,18.0,18.0,18.0,18.0,5
2023-07-05 12:00:00,550,18.0,18.0,18.0,18.0,18.0,2
2023-07-05 12:01:00,688,17.9988,18.0,18.0,18.0,18.0,4
2023-07-05 12:53:00,200,18.1,18.1,18.1,18.1,18.1,1
2023-07-05 13:30:00,13876,18.0049,18.03,17.88,18.03,17.82,70
2023-07-05 13:31:00,2432,17.8131,17.83,17.82,17.86,17.79,29
2023-07-05 13:32:00,1098,17.8156,17.83,17.79,17.83,17.79,37
2023-07-05 13:33:00,7451,17.7716,17.8,17.8,17.82,17.74,109
2023-07-05 13:34:00,2636,17.8073,17.81,17.795,17.83,17.79,48
2023-07-05 13:35:00,6894,17.7557,17.795,17.785,17.795,17.73,76
2023-07-05 13:36:00,2505,17.807,17.79,17.79,17.82,17.79,59
2023-07-05 13:37:00,8970,17.7625,17.77,17.79,17.79,17.75,124
2023-07-05 13:38:00,1028,17.8801,17.83,17.96,17.96,17.83,23
2023-07-05 13:39:00,3416,17.8915,17.9266,17.86,17.9266,17.86,62
2023-07-05 13:40:00,1597,17.8523,17.875,17.84,17.875,17.84,39
2023-07-05 13:41:00,5935,17.8183,17.86,17.845,17.8747,17.79,93
2023-07-05 13:42:00,5920,17.8412,17.83,17.86,17.87,17.83,98
2023-07-05 13:43:00,8060,17.8275,17.85,17.835,17.86,17.8,106
2023-07-05 13:44:00,9509,17.8031,17.82,17.8699,17.8699,17.775,146
2023-07-05 13:45:00,1305,17.8232,17.82,17.82,17.83,17.82,17
2023-07-05 13:46:00,4588,17.8073,17.81,17.82,17.83,17.79,70
2023-07-05 13:47:00,2491,17.833,17.845,17.815,17.86,17.815,40
2023-07-05 13:48:00,1041,17.8506,17.83,17.865,17.87,17.83,24
2023-07-05 13:49:00,1679,17.8903,17.89,17.885,17.91,17.885,25
2023-07-05 13:50:00,5815,17.8637,17.86,17.88,17.88,17.85,79
2023-07-05 13:51:00,1173,17.8809,17.88,17.89,17.89,17.87,30
2023-07-05 13:52:00,4510,17.8564,17.88,17.84,17.88,17.84,65
2023-07-05 13:53:00,2396,17.8529,17.84,17.84,17.86,17.84,51
2023-07-05 13:54:00,191,17.8503,17.85,17.85,17.85,17.85,5
2023-07-05 13:55:00,9367,17.7893,17.85,17.78,17.85,17.74,127
2023-07-05 13:56:00,11432,17.7598,17.78,17.74,17.795,17.71,175
2023-07-05 13:57:00,23685,17.7037,17.74,17.685,17.74,17.66,320
2023-07-05 13:58:00,5571,17.6839,17.685,17.69,17.7,17.67,74
2023-07-05 13:59:00,3465,17.7416,17.71,17.7475,17.79,17.71,40
2023-07-05 14:00:00,2615,17.7956,17.765,17.79,17.82,17.765,42
2023-07-05 14:01:00,2710,17.8191,17.8,17.86,17.87,17.8,37
2023-07-05 14:02:00,8031,17.9005,17.87,17.89,17.9093,17.87,63
2023-07-05 14:03:00,2351,17.9095,17.89,17.92,17.94,17.89,37
2023-07-05 14:04:00,9754,17.9346,17.94,17.895,17.96,17.895,129
2023-07-05 14:05:00,692,17.8808,17.88,17.88,17.89,17.88,15
2023-07-05 14:06:00,785,17.8894,17.88,17.89,17.89,17.88,19
2023-07-05 14:07:00,1820,17.9291,17.91,17.96,17.96,17.91,29
2023-07-05 14:08:00,3401,17.9948,18.0,18.0,18.02,17.99,68
2023-07-05 14:09:00,9221,17.9828,17.99,17.96,18.01,17.96,111
2023-07-05 14:10:00,2499,17.943,17.95,17.925,17.95,17.925,34
2023-07-05 14:11:00,2194,17.9274,17.93,17.94,17.94,17.92,52
2023-07-05 14:12:00,4295,17.9289,17.945,17.88,17.96,17.88,58
2023-07-05 14:13:00,2787,17.9119,17.9,17.92,17.94,17.9,38
2023-07-05 14:14:00,1094,17.9216,17.915,17.91,17.94,17.91,20
2023-07-05 14:15:00,4370,17.9187,17.91,17.92,17.94,17.9,66
2023-07-05 14:16:00,1090,17.9536,17.96,17.96,17.96,17.96,15
2023-07-05 14:17:00,2251,17.9849,17.96,18.01,18.01,17.96,46
2023-07-05 14:18:00,1371,18.0132,18.02,18.02,18.02,18.005,23
2023-07-05 14:19:00,6323,18.0004,18.02,17.98,18.02,17.98,96
2023-07-05 14:20:00,1562,17.9866,17.98,17.985,17.99,17.98,33
2023-07-05 14:21:00,5521,17.9892,17.98,17.99,18.0,17.98,95
2023-07-05 14:22:00,563,18.0018,18.0,18.0,18.0,18.0,9
2023-07-05 14:23:00,8273,17.9943,18.01,17.98,18.01,17.97,124
2023-07-05 14:24:00,327,17.9766,17.97,17.98,17.98,17.97,9
2023-07-05 14:25:00,7051,17.975,17.99,17.97,17.99,17.965,143
2023-07-05 14:26:00,4834,17.9653,17.975,17.96,17.977,17.96,83
2023-07-05 14:27:00,10335,17.9967,17.97,18.01,18.01,17.97,152
2023-07-05 14:28:00,9968,17.9973,18.01,18.0,18.01,17.98,132
2023-07-05 14:29:00,7443,18.0128,18.01,18.0,18.03,17.99,93
2023-07-05 14:30:00,16394,18.0018,18.0,18.01,18.02,17.99,130
2023-07-05 14:31:00,3767,18.0828,18.03,18.12,18.12,18.03,48
2023-07-05 14:32:00,9213,18.0965,18.14,18.08,18.14,18.08,120
2023-07-05 14:33:00,4553,18.0958,18.08,18.15,18.15,18.08,48
2023-07-05 14:34:00,3715,18.1283,18.14,18.11,18.149,18.11,51
2023-07-05 14:35:00,3882,18.117,18.11,18.14,18.14,18.105,66
2023-07-05 14:36:00,10473,18.1497,18.14,18.15,18.16,18.14,145
2023-07-05 14:37:00,2939,18.1306,18.14,18.12,18.14,18.12,51
2023-07-05 14:38:00,8230,18.1431,18.12,18.13,18.18,18.12,115
2023-07-05 14:39:00,1712,18.1349,18.125,18.14,18.14,18.125,33
2023-07-05 14:40:00,15009,18.1928,18.15,18.2099,18.22,18.15,134
2023-07-05 14:41:00,6584,18.2172,18.2299,18.24,18.24,18.195,68
2023-07-05 14:42:00,8974,18.2412,18.2201,18.21,18.2699,18.21,108
2023-07-05 14:43:00,11384,18.2195,18.2199,18.22,18.23,18.21,90
2023-07-05 14:44:00,4483,18.2206,18.21,18.27,18.27,18.2,70
