t,v,vw,o,c,h,l,n
2024-01-04 14:30:00,20665,38.2931,38.32,38.24,38.34,38.2,189
2024-01-04 14:31:00,2032,38.282,38.25,38.3071,38.33,38.25,22
2024-01-04 14:32:00,2412,38.3372,38.35,38.33,38.35,38.33,24
2024-01-04 14:33:00,2084,38.3348,38.35,38.32,38.35,38.32,28
2024-01-04 14:34:00,5939,38.3826,38.34,38.4,38.43,38.34,88
2024-01-04 14:35:00,7328,38.3798,38.38,38.44,38.44,38.35,91
2024-01-04 14:36:00,1202,38.4726,38.44,38.47,38.5,38.44,56
2024-01-04 14:37:00,8689,38.5189,38.48,38.55,38.56,38.48,125
2024-01-04 14:38:00,8338,38.5281,38.56,38.5,38.57,38.48,105
2024-01-04 14:39:00,4573,38.4711,38.53,38.45,38.53,38.44,84
2024-01-04 14:40:00,10416,38.4226,38.45,38.41,38.46,38.39,122
2024-01-04 14:41:00,3462,38.4211,38.43,38.42,38.43,38.41,57
2024-01-04 14:42:00,4577,38.436,38.42,38.43,38.46,38.42,68
2024-01-04 14:43:00,10783,38.3997,38.4385,38.41,38.44,38.38,141
2024-01-04 14:44:00,6543,38.3754,38.4,38.34,38.4,38.33,58
2024-01-04 14:45:00,4083,38.3341,38.315,38.345,38.35,38.315,87
2024-01-04 14:46:00,2922,38.3287,38.34,38.33,38.34,38.305,50
2024-01-04 14:47:00,3918,38.3391,38.34,38.33,38.345,38.33,64
2024-01-04 14:48:00,4828,38.3062,38.33,38.275,38.34,38.27,77
2024-01-04 14:49:00,2326,38.2925,38.29,38.29,38.3,38.29,55
2024-01-04 14:50:00,2888,38.314,38.32,38.32,38.32,38.3,67
2024-01-04 14:51:00,9971,38.3516,38.315,38.31,38.39,38.31,130
2024-01-04 14:52:00,3300,38.323,38.315,38.32,38.33,38.315,60
2024-01-04 14:53:00,3372,38.3057,38.3,38.32,38.32,38.29,54
2024-01-04 14:54:00,5570,38.3235,38.31,38.33,38.34,38.3,106
2024-01-04 14:55:00,5959,38.3141,38.335,38.29,38.335,38.28,91
2024-01-04 14:56:00,9263,38.2995,38.29,38.31,38.315,38.285,156
2024-01-04 14:57:00,1410,38.3236,38.32,38.32,38.33,38.32,24
2024-01-04 14:58:00,4410,38.3189,38.321,38.325,38.33,38.3,65
2024-01-04 14:59:00,2518,38.3275,38.32,38.33,38.335,38.32,50
2024-01-04 15:00:00,10153,38.3578,38.32,38.365,38.375,38.32,128
2024-01-04 15:01:00,3839,38.3655,38.36,38.38,38.38,38.345,74
2024-01-04 15:02:00,2331,38.415,38.39,38.45,38.45,38.39,47
2024-01-04 15:03:00,1549,38.4285,38.44,38.43,38.44,38.42,35
2024-01-04 15:04:00,3712,38.4497,38.4499,38.45,38.45,38.445,58
2024-01-04 15:05:00,3655,38.443,38.44,38.45,38.45,38.44,56
2024-01-04 15:06:00,3187,38.4516,38.45,38.46,38.46,38.44,56
2024-01-04 15:07:00,2250,38.4606,38.46,38.45,38.47,38.45,56
2024-01-04 15:08:00,969,38.4591,38.46,38.46,38.46,38.46,26
2024-01-04 15:09:00,1633,38.4724,38.46,38.49,38.49,38.46,50
2024-01-04 15:10:00,11682,38.5115,38.49,38.52,38.535,38.49,168
2024-01-04 15:11:00,4088,38.5172,38.52,38.51,38.525,38.51,67
2024-01-04 15:12:00,3638,38.5149,38.52,38.515,38.53,38.5,64
2024-01-04 15:13:00,3202,38.5232,38.53,38.525,38.53,38.51,56
2024-01-04 15:14:00,6942,38.5047,38.52,38.51,38.52,38.49,123
2024-01-04 15:15:00,2354,38.5187,38.52,38.54,38.54,38.51,44
2024-01-04 15:16:00,3970,38.5416,38.53,38.565,38.565,38.53,74
2024-01-04 15:17:00,3184,38.5495,38.56,38.54,38.56,38.54,68
2024-01-04 15:18:00,3434,38.5595,38.565,38.555,38.565,38.555,60
2024-01-04 15:19:00,804,38.5619,38.56,38.56,38.57,38.56,25
2024-01-04 15:20:00,4727,38.5724,38.57,38.585,38.59,38.57,72
2024-01-04 15:21:00,4025,38.5832,38.585,38.58,38.595,38.575,73
2024-01-04 15:22:00,2076,38.5759,38.585,38.56,38.585,38.56,39
2024-01-04 15:23:00,2744,38.5521,38.56,38.55,38.56,38.54,92
2024-01-04 15:24:00,2257,38.5389,38.55,38.55,38.55,38.52,97
2024-01-04 15:25:00,4120,38.5641,38.55,38.58,38.58,38.55,83
2024-01-04 15:26:00,23115,38.5982,38.585,38.6,38.62,38.585,163
2024-01-04 15:27:00,2371,38.5905,38.59,38.59,38.595,38.585,28
2024-01-04 15:28:00,7062,38.5962,38.6,38.585,38.61,38.585,55
2024-01-04 15:29:00,4134,38.5975,38.59,38.59,38.615,38.58,64
2024-01-04 15:30:00,4422,38.5812,38.585,38.58,38.595,38.57,68
2024-01-04 15:31:00,5445,38.5838,38.59,38.57,38.59,38.57,46
2024-01-04 15:32:00,3136,38.5864,38.585,38.59,38.59,38.58,53
2024-01-04 15:33:00,6718,38.5886,38.59,38.605,38.605,38.5795,63
2024-01-04 15:34:00,8449,38.6032,38.6,38.615,38.615,38.585,89
2024-01-04 15:35:00,7358,38.6295,38.62,38.68,38.68,38.615,99
2024-01-04 15:36:00,7055,38.6624,38.67,38.66,38.67,38.66,115
2024-01-04 15:37:00,1484,38.6587,38.66,38.66,38.66,38.65,35
2024-01-04 15:38:00,4206,38.6889,38.67,38.695,38.7,38.67,73
2024-01-04 15:39:00,8473,38.6759,38.69,38.66,38.69,38.66,130
2024-01-04 15:40:00,1498,38.6586,38.66,38.66,38.66,38.655,34
2024-01-04 15:41:00,4457,38.6533,38.66,38.66,38.66,38.65,78
2024-01-04 15:42:00,2476,38.6683,38.66,38.67,38.67,38.6587,78
2024-01-04 15:43:00,2741,38.6813,38.68,38.68,38.6883,38.68,48
