t,v,vw,o,c,h,l,n
2023-06-02 13:30:00,4906,11.7623,11.75,11.945,11.945,11.75,26
2023-06-02 13:31:00,627,11.7747,11.79,11.79,11.79,11.79,10
2023-06-02 13:32:00,2538,11.7336,11.8,11.85,11.89,11.6874,12
2023-06-02 13:33:00,518,11.7826,11.85,11.85,11.85,11.6801,9
2023-06-02 13:34:00,4159,11.6321,11.685,11.84,11.84,11.5,53
2023-06-02 13:35:00,335,11.6501,11.8,11.8,11.8,11.8,15
2023-06-02 13:37:00,416,11.5557,11.585,11.58,11.585,11.58,9
2023-06-02 13:38:00,617,11.501,11.5,11.5,11.5,11.5,9
2023-06-02 13:39:00,1401,11.5642,11.58,11.6113,11.65,11.5,15
2023-06-02 13:40:00,902,11.5025,11.52,11.49,11.535,11.49,16
2023-06-02 13:41:00,312,11.483,11.49,11.49,11.49,11.49,16
2023-06-02 13:43:00,1425,11.4904,11.5093,11.51,11.51,11.48,19
2023-06-02 13:44:00,1032,11.4788,11.465,11.4981,11.51,11.465,14
2023-06-02 13:45:00,370,11.4396,11.41,11.41,11.41,11.41,10
2023-06-02 13:46:00,286,11.4592,11.46,11.46,11.46,11.46,9
2023-06-02 13:47:00,914,11.5188,11.51,11.5247,11.53,11.51,23
2023-06-02 13:48:00,1543,11.5518,11.55,11.5481,11.56,11.5481,23
2023-06-02 13:49:00,1848,11.702,11.58,11.88,11.88,11.58,24
2023-06-02 13:50:00,1918,11.8287,11.82,11.89,11.92,11.73,20
2023-06-02 13:51:00,374,11.8527,11.885,11.875,11.885,11.875,6
2023-06-02 13:52:00,244,11.8294,11.875,11.875,11.875,11.875,8
2023-06-02 13:53:00,103,11.8522,11.855,11.855,11.855,11.855,4
2023-06-02 13:55:00,264,11.7859,11.78,11.78,11.78,11.78,4
2023-06-02 13:56:00,1791,11.7853,11.8,11.795,11.82,11.78,18
2023-06-02 13:57:00,210,11.83,11.81,11.855,11.855,11.81,3
2023-06-02 14:02:00,702,11.8491,11.85,11.85,11.85,11.845,6
2023-06-02 14:03:00,351,11.7856,11.785,11.85,11.85,11.785,9
2023-06-02 14:06:00,297,11.7908,11.8046,11.82,11.82,11.8046,4
2023-06-02 14:07:00,9355,11.6609,11.8065,11.55,11.815,11.54,47
2023-06-02 14:08:00,8425,11.5221,11.565,11.82,11.82,11.44,35
2023-06-02 14:09:00,726,11.8072,11.8099,11.81,11.81,11.8099,4
2023-06-02 14:10:00,506,11.7439,11.74,11.745,11.745,11.74,8
2023-06-02 14:11:00,3115,11.7001,11.74,11.7,11.74,11.69,11
2023-06-02 14:12:00,3500,11.7104,11.69,11.81,11.81,11.69,15
2023-06-02 14:13:00,1039,11.6873,11.685,11.68,11.74,11.68,14
2023-06-02 14:14:00,124,11.7266,11.73,11.73,11.73,11.73,2
2023-06-02 14:15:00,367,11.679,11.7292,11.6601,11.7292,11.66,4
2023-06-02 14:17:00,1080,11.7244,11.66,11.79,11.79,11.66,17
2023-06-02 14:18:00,3251,11.8317,11.77,11.9,11.9,11.77,42
2023-06-02 14:19:00,4030,11.9297,11.86,11.955,12.0,11.86,25
2023-06-02 14:20:00,219,11.9542,11.96,11.96,11.96,11.96,7
2023-06-02 14:21:00,644,11.9487,11.95,11.9499,11.95,11.9499,4
2023-06-02 14:22:00,352,11.9065,11.9092,11.9092,11.9092,11.9092,3
2023-06-02 14:24:00,200,11.9475,11.95,11.945,11.95,11.945,2
2023-06-02 14:25:00,172,11.8931,11.91,11.91,11.91,11.91,7
2023-06-02 14:28:00,166,11.8956,11.9,11.9,11.9,11.9,6
2023-06-02 14:30:00,407,11.8881,11.88,11.9,11.9,11.88,11
2023-06-02 14:31:00,125,11.9453,11.95,11.95,11.95,11.95,9
2023-06-02 14:32:00,4738,12.0007,11.95,12.05,12.05,11.95,47
2023-06-02 14:33:00,4800,11.9737,12.04,11.945,12.04,11.94,36
2023-06-02 14:34:00,116,11.99,11.99,11.99,11.99,11.99,2
2023-06-02 14:35:00,293,11.9575,11.96,11.96,11.96,11.96,7
2023-06-02 14:37:00,423,11.957,11.98,11.98,11.98,11.97,9
2023-06-02 14:39:00,237,11.9156,11.935,11.89,11.935,11.89,5
2023-06-02 14:43:00,610,11.91,11.93,11.92,11.93,11.89,10
2023-06-02 14:45:00,171,11.8945,11.895,11.895,11.895,11.895,3
2023-06-02 14:49:00,136,11.8899,11.9,11.9,11.9,11.9,4
2023-06-02 14:50:00,2280,11.8759,11.9,11.88,11.9,11.85,29
2023-06-02 14:51:00,430,11.8705,11.86,11.875,11.875,11.86,8
2023-06-02 14:53:00,103,11.86,11.86,11.86,11.86,11.86,3
2023-06-02 14:54:00,224,11.878,11.88,11.88,11.88,11.88,5
2023-06-02 14:55:00,2377,11.8967,11.9,11.886,11.9,11.881,23
2023-06-02 14:56:00,115,11.929,11.93,11.93,11.93,11.93,4
2023-06-02 14:57:00,441,11.9058,11.9054,11.9054,11.9054,11.9054,2
2023-06-02 14:58:00,200,11.9521,11.935,11.935,11.935,11.935,3
2023-06-02 15:00:00,101,11.9353,11.935,11.935,11.935,11.935,2
2023-06-02 15:01:00,490,11.975,11.97,11.95,12.0,11.95,11
2023-06-02 15:02:00,487,11.9488,11.9132,12.0,12.0,11.9132,3
2023-06-02 15:03:00,1066,11.9962,12.0,11.9975,12.0,11.9975,3
2023-06-02 15:05:00,100,11.975,11.975,11.975,11.975,11.975,1
2023-06-02 15:06:00,3500,11.9684,11.975,11.975,11.975,11.95,26
2023-06-02 15:11:00,967,11.9609,11.975,11.94,12.0,11.94,14
2023-06-02 15:16:00,301,11.94,11.94,11.94,11.94,11.94,7
2023-06-02 15:20:00,478,11.9071,11.93,11.9001,11.93,11.9,9
2023-06-02 15:21:00,159,11.8876,11.9,11.9,11.9,11.9,5
2023-06-02 15:24:00,200,11.88,11.9,11.86,11.9,11.86,2
2023-06-02 15:26:00,689,11.8832,11.9,11.9,11.9,11.86,9
2023-06-02 15:27:00,187,11.9253,11.93,11.93,11.93,11.93,4
2023-06-02 15:28:00,115,11.92,11.92,11.92,11.92,11.92,2
2023-06-02 15:29:00,132,11.9304,11.9312,11.9312,11.9312,11.9312,2
2023-06-02 15:30:00,997,11.9732,11.94,11.98,11.99,11.94,18
2023-06-02 15:33:00,1953,11.9168,11.9302,11.9,11.931,11.89,15
2023-06-02 15:38:00,144,11.8815,11.8815,11.8815,11.8815,11.8815,5
2023-06-02 15:46:00,430,11.8904,11.9,11.8814,11.9,11.8814,9
2023-06-02 15:52:00,222,11.9134,11.9088,11.9088,11.9088,11.9088,4
2023-06-02 15:53:00,416,11.95,11.95,11.95,11.95,11.95,1
2023-06-02 15:55:00,952,11.9407,11.93,11.94,11.94,11.93,30
2023-06-02 15:57:00,133,11.9337,11.935,11.935,11.935,11.935,6
2023-06-02 16:01:00,2550,11.9068,11.91,11.88,11.9101,11.88,15
2023-06-02 16:02:00,141,11.8946,11.9,11.9,11.9,11.9,3
2023-06-02 16:08:00,835,11.8785,11.885,11.885,11.9,11.885,14
2023-06-02 16:09:00,1766,11.8784,11.871,11.89,11.9,11.87,18
2023-06-02 16:10:00,1664,11.9124,11.9,11.94,11.94,11.88,24
2023-06-02 16:12:00,306,11.9273,11.93,11.92,11.93,11.92,4
2023-06-02 16:17:00,115,11.9487,11.95,11.95,11.95,11.95,3
2023-06-02 16:26:00,333,11.9131,11.9101,11.91,11.9101,11.91,6
2023-06-02 16:29:00,402,11.9387,11.9391,11.9391,11.9391,11.9391,3
2023-06-02 16:35:00,230,11.9199,11.92,11.92,11.92,11.92,10
2023-06-02 16:40:00,252,11.8603,11.8601,11.8601,11.8601,11.8601,3
2023-06-02 16:41:00,333,11.8609,11.8609,11.8609,11.8609,11.8609,1
2023-06-02 16:50:00,1175,11.8851,11.9,11.9,11.9,11.86,10
2023-06-02 16:54:00,100,11.9,11.9,11.9,11.9,11.9,1
2023-06-02 16:59:00,565,11.8895,11.9,11.89,11.9,11.89,8
2023-06-02 17:00:00,1042,11.8963,11.89,11.9,11.9,11.89,17
2023-06-02 17:02:00,100,11.895,11.895,11.895,11.895,11.895,1
2023-06-02 17:16:00,100,11.885,11.885,11.885,11.885,11.885,1
2023-06-02 17:24:00,100,11.885,11.885,11.885,11.885,11.885,1
2023-06-02 17:25:00,4088,11.8639,11.9,11.86,11.9,11.85,25
2023-06-02 17:26:00,450,11.8422,11.8266,11.885,11.885,11.8266,6
2023-06-02 17:27:00,701,11.8743,11.87,11.87,11.88,11.87,8
2023-06-02 17:30:00,212,11.8797,11.9,11.9,11.9,11.9,6
2023-06-02 17:33:00,637,11.8653,11.86,11.87,11.87,11.85,9
2023-06-02 17:35:00,431,11.8955,11.9,11.9,11.9,11.9,10
2023-06-02 17:44:00,300,11.8783,11.86,11.875,11.9,11.86,3
2023-06-02 17:47:00,247,11.8699,11.87,11.87,11.87,11.87,7
2023-06-02 17:48:00,1788,11.8433,11.865,11.81,11.87,11.81,22
2023-06-02 17:55:00,109,11.7572,11.75,11.75,11.75,11.75,5
2023-06-02 17:58:00,583,11.7585,11.76,11.76,11.76,11.75,11
2023-06-02 18:01:00,1216,11.748,11.75,11.76,11.76,11.71,11
2023-06-02 18:03:00,1619,11.7135,11.71,11.73,11.75,11.66,12
2023-06-02 18:04:00,4501,11.7549,11.75,11.75,11.81,11.67,46
2023-06-02 18:05:00,3362,11.8226,11.77,11.88,11.88,11.76,28
2023-06-02 18:06:00,352,11.8877,11.88,11.89,11.89,11.88,7
2023-06-02 18:07:00,7592,11.9481,11.885,11.94,12.0,11.885,68
2023-06-02 18:08:00,711,11.9741,11.94,12.0,12.0,11.94,7
2023-06-02 18:11:00,1577,11.9073,11.9,11.92,11.92,11.9,19
2023-06-02 18:12:00,601,11.9199,11.92,11.92,11.92,11.92,4
2023-06-02 18:14:00,3340,11.9199,11.92,11.92,11.92,11.92,7
2023-06-02 18:17:00,102,11.8803,11.88,11.88,11.88,11.88,3
2023-06-02 18:19:00,2163,11.8812,11.9,11.89,11.9,11.87,14
2023-06-02 18:20:00,106,11.82,11.82,11.82,11.82,11.82,4
2023-06-02 18:23:00,519,11.809,11.81,11.81,11.81,11.81,11
2023-06-02 18:24:00,115,11.731,11.7307,11.7307,11.7307,11.7307,4
2023-06-02 18:25:00,1364,11.7368,11.73,11.74,11.74,11.73,7
2023-06-02 18:26:00,836,11.7654,11.7412,11.7622,11.8,11.7412,9
2023-06-02 18:28:00,110,11.7414,11.74,11.74,11.74,11.74,5
2023-06-02 18:31:00,167,11.7708,11.7708,11.7708,11.7708,11.7708,2
2023-06-02 18:32:00,1307,11.7696,11.77,11.765,11.77,11.765,10
2023-06-02 18:33:00,369,11.7493,11.765,11.7401,11.765,11.7401,6
2023-06-02 18:34:00,601,11.7411,11.74,11.725,11.74,11.725,10
2023-06-02 18:36:00,117,11.7351,11.735,11.735,11.735,11.735,5
2023-06-02 18:41:00,1801,11.7253,11.735,11.71,11.735,11.71,8
2023-06-02 18:44:00,198,11.7074,11.71,11.71,11.71,11.71,5
2023-06-02 18:45:00,571,11.724,11.74,11.71,11.74,11.71,4
2023-06-02 18:46:00,1720,11.7196,11.71,11.74,11.74,11.71,23
2023-06-02 18:47:00,1682,11.831,11.78,11.87,11.87,11.78,26
2023-06-02 18:50:00,454,11.7559,11.7533,11.765,11.765,11.7533,2
2023-06-02 18:51:00,226,11.7952,11.82,11.765,11.82,11.765,3
2023-06-02 18:53:00,645,11.7555,11.7324,11.76,11.76,11.7324,11
2023-06-02 18:57:00,133,11.7868,11.795,11.795,11.795,11.795,4
2023-06-02 19:03:00,1297,11.7965,11.79,11.79,11.8283,11.79,16
2023-06-02 19:05:00,819,11.743,11.764,11.73,11.764,11.73,14
2023-06-02 19:06:00,1087,11.74,11.74,11.74,11.74,11.74,7
2023-06-02 19:07:00,712,11.7343,11.72,11.74,11.74,11.72,14
2023-06-02 19:08:00,3705,11.7408,11.74,11.75,11.75,11.74,21
2023-06-02 19:11:00,5844,11.7573,11.7699,11.75,11.77,11.73,51
2023-06-02 19:12:00,195,11.7675,11.77,11.77,11.77,11.77,6
2023-06-02 19:13:00,152,11.7499,11.75,11.75,11.75,11.75,5
2023-06-02 19:14:00,2336,11.7801,11.77,11.8,11.8,11.77,42
2023-06-02 19:15:00,200,11.805,11.805,11.805,11.805,11.805,1
2023-06-02 19:17:00,179,11.8025,11.8063,11.8063,11.8063,11.8063,5
2023-06-02 19:19:00,103,11.7802,11.78,11.78,11.78,11.78,4
2023-06-02 19:22:00,546,11.8242,11.805,11.83,11.83,11.805,6
2023-06-02 19:25:00,587,11.8281,11.83,11.83,11.83,11.83,19
2023-06-02 19:26:00,174,11.8331,11.83,11.83,11.83,11.83,4
2023-06-02 19:28:00,391,11.8523,11.85,11.85,11.85,11.85,12
2023-06-02 19:29:00,406,11.8863,11.895,11.88,11.895,11.88,6
2023-06-02 19:30:00,201,11.8799,11.88,11.88,11.88,11.88,2
2023-06-02 19:31:00,322,11.8639,11.8652,11.8652,11.8652,11.8652,18
2023-06-02 19:32:00,112,11.8819,11.88,11.88,11.88,11.88,5
2023-06-02 19:33:00,293,11.8887,11.9058,11.88,11.9058,11.88,8
2023-06-02 19:34:00,5270,11.8587,11.88,11.83,11.9,11.83,38
2023-06-02 19:35:00,1220,11.8217,11.83,11.76,11.855,11.76,19
2023-06-02 19:36:00,221,11.8461,11.825,11.88,11.88,11.825,4
2023-06-02 19:37:00,339,11.8256,11.825,11.825,11.825,11.825,9
2023-06-02 19:38:00,309,11.8243,11.825,11.825,11.825,11.825,6
2023-06-02 19:39:00,121,11.8309,11.825,11.825,11.825,11.825,5
2023-06-02 19:40:00,123,11.7741,11.77,11.77,11.77,11.77,5
2023-06-02 19:41:00,416,11.824,11.825,11.825,11.825,11.825,9
2023-06-02 19:42:00,205,11.825,11.825,11.825,11.825,11.825,5
2023-06-02 19:43:00,207,11.7979,11.825,11.77,11.825,11.77,7
2023-06-02 19:44:00,435,11.7842,11.825,11.77,11.825,11.77,12
2023-06-02 19:45:00,338,11.8099,11.81,11.81,11.81,11.81,11
2023-06-02 19:46:00,548,11.81,11.81,11.81,11.81,11.81,11
2023-06-02 19:47:00,155,11.8155,11.81,11.81,11.81,11.81,8
2023-06-02 19:49:00,407,11.7978,11.79,11.79,11.82,11.79,10
2023-06-02 19:50:00,6902,11.7582,11.79,11.745,11.79,11.72,70
2023-06-02 19:51:00,1367,11.7671,11.7522,11.77,11.79,11.7522,27
2023-06-02 19:52:00,1301,11.7796,11.78,11.78,11.79,11.77,13
2023-06-02 19:53:00,1341,11.7634,11.77,11.73,11.77,11.73,27
2023-06-02 19:54:00,1113,11.73,11.73,11.73,11.73,11.73,12
2023-06-02 19:55:00,815,11.7242,11.7016,11.73,11.73,11.7016,12
2023-06-02 19:56:00,3032,11.7845,11.7462,11.85,11.85,11.7462,53
2023-06-02 19:57:00,3897,11.8469,11.8129,11.87,11.87,11.8129,70
2023-06-02 19:58:00,2137,11.8849,11.87,11.89,11.94,11.87,35
2023-06-02 19:59:00,2993,11.924,11.9,11.94,11.94,11.9,71
2023-06-02 22:14:00,109,12.2372,12.2372,12.2372,12.2372,12.2372,1
2023-06-05 08:02:00,360,12.2875,12.59,12.6,12.6,12.59,7
2023-06-05 08:03:00,200,11.4597,11.46,11.46,11.46,11.46,2
2023-06-05 13:22:00,224,11.5398,11.46,11.46,11.46,11.46,4
2023-06-05 13:25:00,100,11.42,11.42,11.42,11.42,11.42,1
2023-06-05 13:30:00,7044,11.7664,11.76,11.87,11.87,11.76,42
2023-06-05 13:31:00,625,11.9356,11.96,11.87,11.96,11.87,6
2023-06-05 13:32:00,534,11.7723,11.76,11.8506,11.8506,11.75,11
2023-06-05 13:33:00,3685,11.9397,11.85,11.97,11.97,11.85,39
2023-06-05 13:35:00,269,11.9323,11.97,11.97,11.97,11.97,7
2023-06-05 13:36:00,1381,11.943,11.87,11.99,11.99,11.87,20
2023-06-05 13:37:00,5131,11.9919,11.98,12.0,12.0,11.98,27
2023-06-05 13:38:00,5088,12.2407,12.03,12.26,12.38,12.03,53
2023-06-05 13:39:00,2625,12.336,12.26,12.26,12.39,12.26,18
2023-06-05 13:40:00,2167,12.3298,12.3112,12.37,12.38,12.2253,21
2023-06-05 13:41:00,1155,12.3216,12.29,12.25,12.38,12.25,17
2023-06-05 13:42:00,376,12.3449,12.315,12.315,12.315,12.315,7
2023-06-05 13:43:00,101,12.3884,12.3899,12.3899,12.3899,12.3899,2
2023-06-05 13:44:00,578,12.3807,12.3748,12.39,12.39,12.3748,5
2023-06-05 13:46:00,361,12.379,12.3899,12.3899,12.3899,12.3899,7
2023-06-05 13:47:00,762,12.3288,12.3722,12.38,12.38,12.3,14
2023-06-05 13:48:00,406,12.2716,12.2401,12.36,12.36,12.2401,4
2023-06-05 13:49:00,610,12.3739,12.385,12.385,12.385,12.37,10
2023-06-05 13:50:00,3883,12.3688,12.3699,12.37,12.37,12.3699,8
2023-06-05 13:51:00,3397,12.3546,12.3775,12.35,12.3893,12.3012,16
2023-06-05 13:52:00,278,12.3798,12.39,12.39,12.39,12.39,8
2023-06-05 13:53:00,4107,12.4062,12.3001,12.41,12.548,12.3001,38
2023-06-05 13:54:00,1696,12.481,12.49,12.49,12.49,12.4886,13
2023-06-05 13:55:00,2361,12.6771,12.56,12.7999,12.7999,12.56,22
2023-06-05 13:56:00,2444,12.6849,12.7,12.68,12.8,12.6662,13
2023-06-05 13:57:00,1126,12.6811,12.6935,12.7,12.7,12.6701,13
2023-06-05 13:58:00,2049,12.6451,12.651,12.62,12.6516,12.62,16
2023-06-05 13:59:00,329,12.6532,12.695,12.69,12.695,12.69,12
2023-06-05 14:00:00,4979,12.6895,12.6899,12.6899,12.6899,12.6899,13
2023-06-05 14:02:00,1015,12.6506,12.665,12.63,12.665,12.63,10
2023-06-05 14:04:00,693,12.5974,12.6,12.59,12.6,12.59,7
2023-06-05 14:05:00,329,12.5501,12.56,12.56,12.56,12.56,6
2023-06-05 14:06:00,410,12.5336,12.53,12.58,12.58,12.51,11
2023-06-05 14:07:00,4897,12.4939,12.51,12.335,12.51,12.335,15
2023-06-05 14:08:00,2714,12.2189,12.3,12.1703,12.3,12.1703,11
2023-06-05 14:09:00,530,12.1365,12.2,12.1,12.2,12.1,18
2023-06-05 14:10:00,623,12.118,12.1,12.1799,12.1799,12.09,9
2023-06-05 14:11:00,1175,12.1544,12.1723,12.04,12.1723,12.04,6
2023-06-05 14:12:00,2550,11.9944,12.04,11.986,12.04,11.9738,22
2023-06-05 14:13:00,653,12.0765,12.025,12.09,12.09,12.025,9
2023-06-05 14:15:00,1005,12.0124,12.06,12.03,12.06,11.98,7
2023-06-05 14:19:00,277,11.9874,11.9819,11.99,11.99,11.9819,3
2023-06-05 14:24:00,3638,11.9443,11.98,11.9,11.98,11.9,31
2023-06-05 14:25:00,6350,11.8329,11.75,11.94,11.94,11.75,49
2023-06-05 14:26:00,407,12.0115,12.0,12.0349,12.0349,12.0,7
2023-06-05 14:29:00,2504,12.0515,12.05,12.07,12.07,12.0485,24
2023-06-05 14:30:00,420,12.1144,12.115,12.17,12.17,12.115,13
2023-06-05 14:33:00,137,12.1338,12.14,12.14,12.14,12.14,3
2023-06-05 14:35:00,718,12.1021,12.11,12.1,12.11,12.1,7
2023-06-05 14:38:00,432,12.0504,12.07,12.07,12.07,12.01,6
2023-06-05 14:46:00,113,12.0119,12.01,12.01,12.01,12.01,2
2023-06-05 14:49:00,1465,12.1259,12.1115,12.1195,12.14,12.11,17
2023-06-05 14:52:00,103,12.1104,12.11,12.11,12.11,12.11,2
2023-06-05 14:53:00,375,12.1729,12.17,12.18,12.18,12.17,6
2023-06-05 14:54:00,549,12.2105,12.21,12.21,12.21,12.21,7
2023-06-05 14:59:00,700,12.2019,12.1997,12.21,12.21,12.1997,8
2023-06-05 15:03:00,200,12.1926,12.2,12.2,12.2,12.2,3
2023-06-05 15:05:00,550,12.1709,12.17,12.17,12.17,12.17,5
2023-06-05 15:06:00,202,12.1544,12.16,12.1505,12.16,12.1505,4
2023-06-05 15:10:00,356,12.0735,12.105,12.06,12.105,12.06,8
2023-06-05 15:19:00,109,12.0951,12.095,12.095,12.095,12.095,2
2023-06-05 15:22:00,570,12.0956,12.095,12.095,12.095,12.095,2
2023-06-05 15:23:00,100,12.06,12.06,12.06,12.06,12.06,1
2023-06-05 15:25:00,400,12.0627,12.0601,12.0601,12.0601,12.0601,3
2023-06-05 15:31:00,100,12.13,12.13,12.13,12.13,12.13,1
2023-06-05 15:33:00,209,12.0899,12.1,12.1,12.1,12.1,5
2023-06-05 15:37:00,2011,12.0312,12.07,11.97,12.07,11.97,11
2023-06-05 15:40:00,1686,11.9701,11.971,11.97,11.971,11.97,5
2023-06-05 15:41:00,450,11.9644,11.96,11.98,11.98,11.96,6
2023-06-05 15:42:00,1455,11.9978,12.0099,11.98,12.01,11.95,9
2023-06-05 15:43:00,1407,12.0079,11.965,12.04,12.04,11.965,15
2023-06-05 15:44:00,1140,12.1242,12.09,12.11,12.16,12.09,15
2023-06-05 15:45:00,1402,12.0828,12.13,12.04,12.13,12.04,18
2023-06-05 15:48:00,150,12.1,12.085,12.085,12.085,12.085,2
2023-06-05 15:59:00,110,12.0904,12.09,12.09,12.09,12.09,2
2023-06-05 16:03:00,500,12.1,12.1,12.1,12.1,12.1,1
2023-06-05 16:05:00,143,12.0896,12.1,12.1,12.1,12.1,4
2023-06-05 16:15:00,118,12.0916,12.1,12.1,12.1,12.1,2
2023-06-05 16:16:00,101,12.0991,12.1,12.1,12.1,12.1,2
2023-06-05 16:17:00,200,12.085,12.07,12.1,12.1,12.07,2
2023-06-05 16:19:00,100,12.1,12.1,12.1,12.1,12.1,1
2023-06-05 16:20:00,102,12.0991,12.1,12.1,12.1,12.1,3
2023-06-05 16:21:00,117,12.0165,12.01,12.01,12.01,12.01,2
2023-06-05 16:22:00,610,12.0253,12.1,12.01,12.1,12.01,4
2023-06-05 16:23:00,102,12.0988,12.1,12.1,12.1,12.1,3
2023-06-05 16:24:00,102,12.0991,12.1,12.1,12.1,12.1,3
2023-06-05 16:25:00,200,12.055,12.055,12.055,12.055,12.055,1
2023-06-05 16:26:00,100,12.1,12.1,12.1,12.1,12.1,1
2023-06-05 16:27:00,1101,12.0183,12.1,12.0101,12.1,12.0101,3
2023-06-05 16:29:00,406,12.0859,12.1,12.0813,12.1,12.0813,2
2023-06-05 16:30:00,100,12.08,12.08,12.08,12.08,12.08,1
2023-06-05 16:32:00,117,12.0749,12.08,12.08,12.08,12.08,2
2023-06-05 16:33:00,100,12.08,12.08,12.08,12.08,12.08,1
2023-06-05 16:35:00,100,12.08,12.08,12.08,12.08,12.08,1
2023-06-05 16:36:00,580,12.0342,12.03,12.05,12.05,12.03,9
2023-06-05 16:38:00,101,12.0495,12.05,12.05,12.05,12.05,2
2023-06-05 16:39:00,100,12.05,12.05,12.05,12.05,12.05,1
2023-06-05 16:40:00,862,12.05,12.05,12.05,12.05,12.05,8
2023-06-05 16:41:00,407,12.0904,12.09,12.09,12.09,12.09,9
2023-06-05 16:42:00,100,12.16,12.16,12.16,12.16,12.16,1
2023-06-05 16:44:00,100,12.16,12.16,12.16,12.16,12.16,1
2023-06-05 16:45:00,200,12.16,12.16,12.16,12.16,12.16,2
2023-06-05 16:47:00,256,12.1546,12.1258,12.19,12.19,12.1258,4
2023-06-05 16:48:00,1311,12.1864,12.13,12.24,12.24,12.13,13
2023-06-05 16:49:00,368,12.2413,12.24,12.24,12.24,12.24,8
2023-06-05 16:50:00,114,12.2778,12.28,12.28,12.28,12.28,3
2023-06-05 16:51:00,203,12.2794,12.2799,12.28,12.28,12.2799,4
2023-06-05 16:53:00,201,12.2849,12.28,12.29,12.29,12.28,3
2023-06-05 16:55:00,100,12.3,12.3,12.3,12.3,12.3,1
2023-06-05 16:56:00,100,12.3,12.3,12.3,12.3,12.3,1
2023-06-05 16:57:00,1621,12.3421,12.3089,12.39,12.39,12.3089,11
2023-06-05 16:58:00,245,12.3754,12.33,12.42,12.42,12.33,8
2023-06-05 17:00:00,106,12.4475,12.45,12.45,12.45,12.45,4
