t,v,vw,o,c,h,l,n
2023-12-27 14:30:00,38529,4.1002,4.1,4.1,4.11,4.1,11
2023-12-27 14:31:00,1910,4.1,4.1,4.1,4.1,4.1,7
2023-12-27 14:32:00,22200,4.1084,4.1,4.11,4.11,4.1,64
2023-12-27 14:33:00,300,4.11,4.11,4.11,4.11,4.11,1
2023-12-27 14:35:00,606,4.1108,4.11,4.11,4.115,4.11,8
2023-12-27 14:36:00,400,4.11,4.11,4.11,4.11,4.11,4
2023-12-27 14:41:00,4912,4.1103,4.105,4.1143,4.115,4.105,27
2023-12-27 14:43:00,234,4.1122,4.115,4.115,4.115,4.115,6
2023-12-27 14:44:00,164,4.1141,4.115,4.115,4.115,4.115,6
2023-12-27 14:46:00,11773,4.1182,4.1187,4.115,4.12,4.11,39
2023-12-27 14:47:00,7169,4.1203,4.12,4.12,4.13,4.12,23
2023-12-27 14:48:00,109,4.128,4.128,4.128,4.128,4.128,1
2023-12-27 14:49:00,218,4.1258,4.125,4.125,4.125,4.125,5
2023-12-27 14:50:00,3842,4.1205,4.1203,4.12,4.125,4.12,5
2023-12-27 14:51:00,7212,4.1228,4.12,4.125,4.1299,4.12,5
2023-12-27 14:53:00,216,4.125,4.125,4.125,4.125,4.125,2
2023-12-27 14:55:00,1013,4.12,4.12,4.12,4.12,4.12,3
2023-12-27 14:56:00,148,4.1241,4.125,4.125,4.125,4.125,2
2023-12-27 14:57:00,328,4.1246,4.125,4.125,4.125,4.125,4
2023-12-27 14:58:00,322,4.1247,4.125,4.125,4.125,4.125,5
2023-12-27 14:59:00,1702,4.1209,4.12,4.128,4.128,4.12,5
2023-12-27 15:00:00,4536,4.1298,4.125,4.125,4.13,4.125,4
2023-12-27 15:05:00,200,4.125,4.125,4.125,4.125,4.125,2
2023-12-27 15:06:00,750,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:07:00,5654,4.1226,4.125,4.12,4.125,4.12,32
2023-12-27 15:08:00,201,4.125,4.125,4.125,4.125,4.125,3
2023-12-27 15:10:00,4000,4.1259,4.125,4.125,4.13,4.125,11
2023-12-27 15:11:00,342,4.1285,4.1299,4.125,4.1299,4.125,2
2023-12-27 15:12:00,200,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:14:00,2919,4.1287,4.125,4.1288,4.1288,4.125,4
2023-12-27 15:15:00,980,4.1255,4.125,4.125,4.13,4.125,6
2023-12-27 15:16:00,6225,4.1299,4.13,4.13,4.13,4.13,11
2023-12-27 15:20:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:21:00,200,4.13,4.13,4.13,4.13,4.13,2
2023-12-27 15:22:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:23:00,600,4.13,4.13,4.13,4.13,4.13,2
2023-12-27 15:25:00,203,4.13,4.13,4.13,4.13,4.13,2
2023-12-27 15:26:00,128,4.1298,4.13,4.13,4.13,4.13,3
2023-12-27 15:27:00,101,4.13,4.13,4.13,4.13,4.13,2
2023-12-27 15:28:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:29:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:30:00,17050,4.1209,4.13,4.125,4.13,4.12,12
2023-12-27 15:31:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:32:00,107,4.13,4.13,4.13,4.13,4.13,2
2023-12-27 15:33:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:34:00,202,4.13,4.13,4.13,4.13,4.13,4
2023-12-27 15:35:00,261,4.1298,4.13,4.13,4.13,4.13,4
2023-12-27 15:36:00,100,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:37:00,250,4.1289,4.13,4.1298,4.13,4.1298,3
2023-12-27 15:38:00,850,4.1265,4.13,4.125,4.13,4.125,4
2023-12-27 15:40:00,133,4.1251,4.125,4.125,4.125,4.125,2
2023-12-27 15:41:00,2044,4.1215,4.13,4.13,4.13,4.12,4
2023-12-27 15:42:00,500,4.127,4.13,4.125,4.13,4.125,3
2023-12-27 15:43:00,1915,4.1282,4.125,4.125,4.13,4.125,5
2023-12-27 15:44:00,240,4.13,4.13,4.13,4.13,4.13,1
2023-12-27 15:45:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:46:00,300,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:48:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:49:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:51:00,210,4.1274,4.13,4.125,4.13,4.125,3
2023-12-27 15:52:00,935,4.1298,4.13,4.13,4.13,4.13,4
2023-12-27 15:53:00,500,4.125,4.125,4.125,4.125,4.125,3
2023-12-27 15:55:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 15:56:00,268,4.1272,4.128,4.128,4.128,4.128,3
2023-12-27 15:57:00,440,4.1257,4.125,4.1201,4.13,4.1201,4
2023-12-27 15:58:00,300,4.1267,4.13,4.125,4.13,4.125,2
2023-12-27 16:00:00,200,4.1275,4.13,4.125,4.13,4.125,2
2023-12-27 16:01:00,3739,4.1263,4.1299,4.125,4.1299,4.1201,7
2023-12-27 16:02:00,350,4.1257,4.125,4.125,4.125,4.125,3
2023-12-27 16:03:00,3700,4.1259,4.125,4.125,4.1299,4.125,4
2023-12-27 16:04:00,150,4.1267,4.125,4.125,4.125,4.125,2
2023-12-27 16:05:00,200,4.125,4.125,4.125,4.125,4.125,2
2023-12-27 16:06:00,300,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 16:07:00,455,4.1246,4.125,4.125,4.125,4.125,6
2023-12-27 16:08:00,10950,4.1257,4.125,4.13,4.13,4.12,31
2023-12-27 16:09:00,752,4.1248,4.125,4.125,4.125,4.125,6
2023-12-27 16:10:00,6433,4.1208,4.1201,4.13,4.13,4.1201,4
2023-12-27 16:11:00,200,4.125,4.125,4.125,4.125,4.125,2
2023-12-27 16:12:00,160,4.1265,4.125,4.125,4.125,4.125,2
2023-12-27 16:13:00,887,4.124,4.125,4.125,4.125,4.12,6
2023-12-27 16:14:00,399,4.1249,4.125,4.125,4.125,4.125,5
2023-12-27 16:16:00,410,4.1246,4.125,4.125,4.125,4.125,3
2023-12-27 16:17:00,325,4.125,4.125,4.125,4.125,4.125,3
2023-12-27 16:18:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 16:20:00,1550,4.1281,4.125,4.13,4.13,4.125,5
2023-12-27 16:21:00,400,4.125,4.125,4.125,4.125,4.125,4
2023-12-27 16:22:00,400,4.125,4.125,4.125,4.125,4.125,4
2023-12-27 16:24:00,650,4.1248,4.125,4.125,4.125,4.125,7
2023-12-27 16:25:00,651,4.1216,4.125,4.1201,4.125,4.1201,3
2023-12-27 16:26:00,100,4.125,4.125,4.125,4.125,4.125,1
2023-12-27 16:27:00,89292,4.1122,4.125,4.12,4.125,4.11,139
2023-12-27 16:28:00,9372,4.1182,4.1197,4.115,4.12,4.115,81
2023-12-27 16:29:00,252,4.1194,4.12,4.12,4.12,4.12,4
2023-12-27 16:30:00,401,4.115,4.115,4.115,4.115,4.115,4
2023-12-27 16:31:00,101,4.115,4.115,4.115,4.115,4.115,2
2023-12-27 16:32:00,100,4.115,4.115,4.115,4.115,4.115,1
2023-12-27 16:33:00,2000,4.1113,4.1113,4.1113,4.1113,4.1113,1
2023-12-27 16:34:00,200,4.1125,4.115,4.11,4.115,4.11,2
2023-12-27 16:35:00,100,4.115,4.115,4.115,4.115,4.115,1
2023-12-27 16:36:00,306,4.1101,4.11,4.11,4.11,4.11,4
2023-12-27 16:37:00,13781,4.1185,4.115,4.12,4.12,4.11,57
2023-12-27 16:38:00,1758,4.1197,4.12,4.12,4.12,4.115,6
2023-12-27 16:39:00,2200,4.111,4.12,4.1101,4.12,4.1101,2
2023-12-27 16:40:00,1900,4.1133,4.1115,4.12,4.12,4.1115,2
2023-12-27 16:41:00,3367,4.1113,4.1101,4.115,4.115,4.1101,3
2023-12-27 16:42:00,400,4.115,4.115,4.115,4.115,4.115,4
2023-12-27 16:43:00,500,4.115,4.115,4.115,4.115,4.115,2
2023-12-27 16:45:00,400,4.115,4.115,4.115,4.115,4.115,4
2023-12-27 16:46:00,200,4.115,4.115,4.115,4.115,4.115,1
2023-12-27 16:48:00,700,4.1101,4.1104,4.11,4.1104,4.11,2
2023-12-27 16:50:00,158,4.115,4.115,4.115,4.115,4.115,1
2023-12-27 16:51:00,51810,4.108,4.115,4.11,4.115,4.1,122
2023-12-27 16:52:00,100,4.115,4.115,4.115,4.115,4.115,1
2023-12-27 16:53:00,4446,4.1115,4.115,4.11,4.115,4.11,3
2023-12-27 16:54:00,200,4.11,4.11,4.11,4.11,4.11,2
2023-12-27 16:55:00,201,4.11,4.11,4.11,4.11,4.11,3
2023-12-27 16:56:00,3354,4.1193,4.1199,4.11,4.1199,4.11,4
2023-12-27 16:57:00,400,4.11,4.11,4.11,4.11,4.11,3
2023-12-27 16:58:00,400,4.11,4.11,4.11,4.11,4.11,4
2023-12-27 16:59:00,401,4.11,4.11,4.11,4.11,4.11,5
2023-12-27 17:00:00,634,4.1129,4.11,4.11,4.12,4.11,6
2023-12-27 17:01:00,566,4.11,4.11,4.11,4.11,4.11,4
2023-12-27 17:02:00,726,4.113,4.11,4.11,4.1167,4.11,6
2023-12-27 17:03:00,400,4.11,4.11,4.11,4.11,4.11,4
2023-12-27 17:04:00,300,4.11,4.11,4.11,4.11,4.11,3
2023-12-27 17:05:00,600,4.1125,4.11,4.11,4.115,4.11,6
2023-12-27 17:06:00,300,4.11,4.11,4.11,4.11,4.11,3
2023-12-27 17:07:00,2267,4.1169,4.11,4.11,4.1181,4.11,5
2023-12-27 17:08:00,200,4.11,4.11,4.11,4.11,4.11,2
2023-12-27 17:09:00,300,4.11,4.11,4.11,4.11,4.11,3
