t,v,vw,o,c,h,l,n
2024-03-25 12:00:00,205,1.2654,1.27,1.27,1.27,1.27,7
2024-03-25 12:05:00,5000,1.27,1.27,1.27,1.27,1.27,1
2024-03-25 12:09:00,800,1.2698,1.2698,1.2698,1.2698,1.2698,1
2024-03-25 12:10:00,250,1.2605,1.26,1.26,1.26,1.26,5
2024-03-25 12:16:00,250,1.27,1.27,1.27,1.27,1.27,1
2024-03-25 12:23:00,3800,1.2699,1.27,1.27,1.27,1.27,6
2024-03-25 12:30:00,200,1.28,1.28,1.28,1.28,1.28,2
2024-03-25 12:32:00,320,1.28,1.28,1.28,1.28,1.28,1
2024-03-25 12:33:00,2000,1.28,1.28,1.28,1.28,1.28,1
2024-03-25 13:03:00,3000,1.28,1.28,1.28,1.28,1.28,6
2024-03-25 13:18:00,2244,1.27,1.27,1.27,1.27,1.27,6
2024-03-25 13:21:00,550,1.2714,1.26,1.28,1.28,1.26,3
2024-03-25 13:22:00,100,1.2791,1.2791,1.2791,1.2791,1.2791,1
2024-03-25 13:30:00,21823,1.2772,1.28,1.255,1.28,1.255,34
2024-03-25 13:31:00,9024,1.2512,1.26,1.24,1.26,1.24,51
2024-03-25 13:32:00,6251,1.2499,1.245,1.25,1.25,1.245,36
2024-03-25 13:33:00,8148,1.2499,1.25,1.25,1.255,1.245,34
2024-03-25 13:34:00,510,1.2498,1.25,1.2499,1.25,1.2499,3
2024-03-25 13:35:00,7502,1.2499,1.25,1.25,1.25,1.245,20
2024-03-25 13:36:00,104,1.2499,1.2499,1.2499,1.2499,1.2499,5
2024-03-25 13:37:00,1467,1.2481,1.25,1.24,1.25,1.24,8
2024-03-25 13:38:00,166,1.2479,1.2494,1.2494,1.2494,1.2494,3
2024-03-25 13:39:00,220,1.2475,1.2499,1.2499,1.2499,1.2499,2
2024-03-25 13:40:00,112,1.2499,1.25,1.25,1.25,1.25,3
2024-03-25 13:41:00,200,1.2499,1.2498,1.25,1.25,1.2498,2
2024-03-25 13:43:00,2005,1.24,1.24,1.24,1.24,1.24,2
2024-03-25 13:44:00,7561,1.2423,1.2499,1.245,1.25,1.24,28
2024-03-25 13:46:00,1895,1.2435,1.245,1.245,1.245,1.24,16
2024-03-25 13:47:00,9226,1.246,1.2497,1.245,1.2497,1.245,73
2024-03-25 13:48:00,6390,1.2479,1.245,1.245,1.2496,1.245,23
2024-03-25 13:49:00,105,1.245,1.245,1.245,1.245,1.245,2
2024-03-25 13:50:00,1520,1.2401,1.24,1.24,1.24,1.24,2
2024-03-25 13:51:00,4870,1.2451,1.245,1.245,1.2471,1.24,37
2024-03-25 13:52:00,2645,1.245,1.245,1.245,1.245,1.245,18
2024-03-25 13:53:00,56188,1.2469,1.245,1.25,1.255,1.24,312
2024-03-25 13:54:00,2152,1.2528,1.25,1.2525,1.255,1.25,24
2024-03-25 13:55:00,1191,1.2511,1.25,1.2501,1.2525,1.25,7
2024-03-25 13:56:00,299,1.2583,1.255,1.26,1.26,1.255,2
2024-03-25 13:57:00,444,1.2503,1.25,1.25,1.25,1.25,4
2024-03-25 13:58:00,9257,1.2579,1.255,1.255,1.26,1.25,29
2024-03-25 13:59:00,805,1.255,1.255,1.255,1.255,1.255,8
2024-03-25 14:00:00,8636,1.2589,1.255,1.255,1.265,1.255,52
2024-03-25 14:01:00,8064,1.2622,1.265,1.265,1.265,1.2601,17
2024-03-25 14:02:00,4132,1.268,1.27,1.265,1.27,1.26,5
2024-03-25 14:03:00,823,1.2669,1.265,1.27,1.27,1.265,5
2024-03-25 14:04:00,10814,1.2695,1.265,1.2646,1.27,1.26,7
2024-03-25 14:05:00,4661,1.2694,1.2675,1.275,1.275,1.265,23
2024-03-25 14:06:00,2500,1.2746,1.275,1.275,1.275,1.274,17
2024-03-25 14:07:00,1150,1.275,1.275,1.275,1.275,1.275,6
2024-03-25 14:08:00,206,1.2749,1.275,1.275,1.275,1.275,4
2024-03-25 14:09:00,40096,1.2759,1.28,1.275,1.28,1.27,151
2024-03-25 14:10:00,300,1.275,1.275,1.275,1.275,1.275,3
2024-03-25 14:11:00,6821,1.2748,1.275,1.275,1.28,1.27,27
2024-03-25 14:12:00,1080,1.2714,1.275,1.275,1.275,1.27,4
2024-03-25 14:13:00,625,1.2757,1.275,1.275,1.28,1.275,8
2024-03-25 14:14:00,1140,1.2746,1.275,1.275,1.275,1.27,14
2024-03-25 14:15:00,2910,1.2765,1.275,1.275,1.28,1.27,15
2024-03-25 14:16:00,927,1.2711,1.2708,1.275,1.275,1.27,5
2024-03-25 14:17:00,4246,1.2722,1.275,1.275,1.275,1.27,18
2024-03-25 14:18:00,500,1.274,1.275,1.275,1.275,1.27,4
2024-03-25 14:19:00,555,1.2754,1.275,1.275,1.275,1.275,7
2024-03-25 14:20:00,515,1.2771,1.28,1.275,1.28,1.275,5
2024-03-25 14:21:00,672,1.275,1.275,1.275,1.28,1.27,7
2024-03-25 14:22:00,497,1.275,1.275,1.275,1.275,1.275,9
2024-03-25 14:23:00,31759,1.2707,1.27,1.275,1.275,1.27,83
2024-03-25 14:24:00,1312,1.271,1.275,1.275,1.275,1.27,6
2024-03-25 14:25:00,1753,1.2754,1.275,1.275,1.2799,1.27,9
2024-03-25 14:26:00,418,1.2718,1.275,1.2718,1.275,1.2718,6
2024-03-25 14:27:00,305,1.2717,1.275,1.27,1.275,1.27,4
2024-03-25 14:28:00,1932,1.2784,1.2799,1.28,1.28,1.27,6
2024-03-25 14:29:00,300,1.2783,1.275,1.28,1.28,1.275,3
2024-03-25 14:30:00,477,1.2788,1.275,1.28,1.28,1.275,6
2024-03-25 14:31:00,1056,1.2761,1.275,1.275,1.28,1.275,17
2024-03-25 14:32:00,1516,1.274,1.275,1.275,1.275,1.2719,7
2024-03-25 14:33:00,1665,1.2726,1.275,1.275,1.275,1.27,16
2024-03-25 14:34:00,437,1.2753,1.275,1.275,1.275,1.275,5
2024-03-25 14:35:00,2205,1.2745,1.275,1.275,1.28,1.27,14
2024-03-25 14:36:00,767,1.2747,1.275,1.275,1.275,1.27,9
2024-03-25 14:37:00,1020,1.2735,1.28,1.275,1.28,1.27,10
