t,v,vw,o,c,h,l,n
2024-03-08 10:15:00,240.0,39.62,39.62,39.62,39.62,39.62,3
2024-03-08 11:32:00,200.0,39.62,39.62,39.62,39.62,39.62,2
2024-03-08 12:02:00,4455.0,39.5486,39.54,39.55,39.55,39.54,15
2024-03-08 12:12:00,196.0,39.5002,39.5,39.5,39.5,39.5,4
2024-03-08 12:17:00,309.0,39.5001,39.5,39.5,39.5,39.5,8
2024-03-08 12:43:00,200.0,39.54,39.54,39.54,39.54,39.54,2
2024-03-08 12:44:00,430.0,39.5415,39.55,39.53,39.55,39.53,7
2024-03-08 12:53:00,100.0,39.58,39.58,39.58,39.58,39.58,1
2024-03-08 13:00:00,4200.0,39.5478,39.55,39.5414,39.58,39.5,80
2024-03-08 13:01:00,515.0,39.5502,39.55,39.55,39.55,39.55,13
2024-03-08 13:04:00,239.0,39.5153,39.5,39.5,39.5,39.5,11
2024-03-08 13:06:00,460.0,39.6066,39.61,39.61,39.61,39.61,10
2024-03-08 13:10:00,1227.0,39.5798,39.58,39.58,39.58,39.58,5
2024-03-08 13:13:00,700.0,39.57,39.57,39.5699,39.57,39.5699,3
2024-03-08 13:15:00,972.0,39.575,39.58,39.58,39.58,39.57,7
2024-03-08 13:17:00,4314.0,39.5787,39.58,39.58,39.58,39.56,11
2024-03-08 13:18:00,2078.0,39.56,39.56,39.56,39.56,39.56,2
2024-03-08 13:20:00,213.0,39.56,39.56,39.56,39.56,39.56,3
2024-03-08 13:22:00,151.0,39.6,39.6,39.6,39.6,39.6,1
2024-03-08 13:25:00,201.0,39.57,39.57,39.57,39.57,39.57,2
2024-03-08 13:28:00,233.0,39.57,39.57,39.57,39.57,39.57,2
2024-03-08 13:38:00,106.0,39.5694,39.57,39.57,39.57,39.57,2
2024-03-08 13:40:00,152.0,39.5702,39.57,39.57,39.57,39.57,3
2024-03-08 13:41:00,295.0,39.5701,39.57,39.57,39.57,39.57,5
2024-03-08 13:44:00,510.0,39.6051,39.6,39.619,39.619,39.6,10
2024-03-08 13:46:00,307.0,39.63,39.63,39.63,39.63,39.63,2
2024-03-08 13:49:00,153.0,39.6283,39.63,39.63,39.63,39.63,7
2024-03-08 13:50:00,2798.0,39.6,39.6,39.6,39.6,39.6,7
2024-03-08 13:55:00,1649.0,39.6058,39.6,39.63,39.63,39.6,13
2024-03-08 13:56:00,400.0,39.6477,39.6477,39.6477,39.6477,39.6477,1
2024-03-08 13:57:00,531.0,39.6208,39.62,39.62,39.62,39.62,5
2024-03-08 14:02:00,179.0,39.5837,39.58,39.58,39.58,39.58,5
2024-03-08 14:04:00,609.0,39.6,39.595,39.6,39.6,39.595,7
2024-03-08 14:09:00,105.0,39.6096,39.61,39.61,39.61,39.61,3
2024-03-08 14:12:00,1210.0,39.6117,39.61,39.62,39.62,39.61,5
2024-03-08 14:13:00,804.0,39.6,39.6,39.6,39.6,39.6,4
2024-03-08 14:16:00,332.0,39.5886,39.57,39.62,39.62,39.57,6
2024-03-08 14:21:00,2003.0,39.5801,39.58,39.58,39.58,39.58,4
2024-03-08 14:23:00,307.0,39.616,39.6166,39.6166,39.6166,39.6166,4
2024-03-08 14:24:00,2669.0,39.6193,39.61,39.62,39.62,39.61,13
2024-03-08 14:26:00,2602.0,39.6233,39.6,39.63,39.63,39.6,5
2024-03-08 14:27:00,501.0,39.6467,39.644,39.65,39.65,39.64,5
2024-03-08 14:28:00,725.0,39.665,39.66,39.6581,39.71,39.6581,10
2024-03-08 14:29:00,7289.0,39.6812,39.6,39.74,39.74,39.56,48
2024-03-08 14:30:00,378277.0,39.5965,39.61,39.55,39.67,39.5,1103
2024-03-08 14:31:00,74220.0,39.5376,39.56,39.595,39.6,39.48,535
2024-03-08 14:32:00,52731.0,39.549,39.595,39.5,39.65,39.465,482
2024-03-08 14:33:00,48047.0,39.5264,39.51,39.5133,39.55,39.49,373
2024-03-08 14:34:00,96434.0,39.4242,39.51,39.435,39.51,39.39,722
2024-03-08 14:35:00,43355.0,39.4561,39.44,39.42,39.5,39.41,447
2024-03-08 14:36:00,43672.0,39.4508,39.4301,39.4534,39.47,39.4301,332
2024-03-08 14:37:00,38942.0,39.4635,39.455,39.49,39.49,39.42,327
2024-03-08 14:38:00,30894.0,39.5301,39.49,39.5719,39.58,39.49,280
2024-03-08 14:39:00,40400.0,39.6113,39.58,39.625,39.63,39.58,299
2024-03-08 14:40:00,29147.0,39.6275,39.6261,39.64,39.645,39.6,293
2024-03-08 14:41:00,41311.0,39.6701,39.6362,39.67,39.6862,39.635,365
2024-03-08 14:42:00,43480.0,39.6635,39.6701,39.685,39.7,39.63,335
2024-03-08 14:43:00,10667.0,39.6692,39.68,39.6702,39.68,39.66,140
2024-03-08 14:44:00,133663.0,39.7017,39.67,39.7316,39.74,39.67,544
2024-03-08 14:45:00,59914.0,39.7423,39.73,39.75,39.775,39.72,304
2024-03-08 14:46:00,25970.0,39.7706,39.735,39.7801,39.7876,39.735,267
2024-03-08 14:47:00,36147.0,39.7775,39.785,39.755,39.79,39.75,310
2024-03-08 14:48:00,54150.0,39.7447,39.7517,39.7607,39.7652,39.735,297
2024-03-08 14:49:00,139193.0,39.7875,39.7643,39.8002,39.82,39.735,434
2024-03-08 14:50:00,80399.0,39.8454,39.805,39.8716,39.88,39.8013,635
2024-03-08 14:51:00,64519.0,39.8458,39.87,39.795,39.88,39.785,642
2024-03-08 14:52:00,19547.0,39.7856,39.795,39.775,39.8,39.77,278
2024-03-08 14:53:00,23769.0,39.7761,39.775,39.78,39.79,39.765,260
2024-03-08 14:54:00,33608.0,39.7691,39.78,39.76,39.79,39.76,277
2024-03-08 14:55:00,32491.0,39.7691,39.765,39.78,39.79,39.755,329
2024-03-08 14:56:00,55745.0,39.7333,39.78,39.725,39.78,39.71,437
2024-03-08 14:57:00,17505.0,39.719,39.7201,39.725,39.73,39.71,205
2024-03-08 14:58:00,17326.0,39.7402,39.7214,39.755,39.755,39.72,240
2024-03-08 14:59:00,14377.0,39.7448,39.754,39.73,39.76,39.72,219
2024-03-08 15:00:00,9642.0,39.7248,39.725,39.7217,39.73,39.72,177
2024-03-08 15:01:00,27432.0,39.723,39.725,39.715,39.74,39.71,368
2024-03-08 15:02:00,35087.0,39.7198,39.72,39.72,39.74,39.71,302
2024-03-08 15:03:00,23674.0,39.7061,39.7118,39.695,39.72,39.69,241
