t,v,vw,o,c,h,l,n
2023-05-09 10:44:00,306,15.721,15.72,15.72,15.72,15.72,10
2023-05-09 12:00:00,256,15.8288,15.84,15.84,15.84,15.84,5
2023-05-09 12:45:00,930,15.8299,15.8299,15.8299,15.8299,15.8299,1
2023-05-09 12:48:00,100,15.82,15.82,15.82,15.82,15.82,1
2023-05-09 12:54:00,1164,15.7495,15.75,15.75,15.75,15.75,13
2023-05-09 13:30:00,14396,15.5554,15.63,15.43,15.7,15.42,189
2023-05-09 13:31:00,2130,15.4985,15.47,15.54,15.54,15.47,45
2023-05-09 13:33:00,10952,15.5011,15.55,15.47,15.6354,15.47,46
2023-05-09 13:34:00,1513,15.4449,15.44,15.43,15.48,15.43,35
2023-05-09 13:35:00,10604,15.4259,15.49,15.42,15.49,15.42,39
2023-05-09 13:36:00,460,15.4348,15.45,15.45,15.45,15.45,8
2023-05-09 13:37:00,1001,15.4188,15.42,15.42,15.42,15.42,10
2023-05-09 13:38:00,1256,15.4473,15.46,15.41,15.46,15.41,16
2023-05-09 13:39:00,436,15.4641,15.46,15.48,15.48,15.46,9
2023-05-09 13:40:00,1183,15.5409,15.48,15.59,15.59,15.48,17
2023-05-09 13:41:00,2611,15.6248,15.61,15.64,15.65,15.57,33
2023-05-09 13:42:00,2216,15.642,15.62,15.67,15.68,15.61,18
2023-05-09 13:43:00,511,15.6695,15.68,15.66,15.68,15.66,9
2023-05-09 13:45:00,328,15.6263,15.63,15.62,15.63,15.62,6
2023-05-09 13:46:00,675,15.6036,15.6,15.59,15.6,15.59,9
2023-05-09 13:47:00,396,15.5551,15.55,15.55,15.55,15.55,7
2023-05-09 13:48:00,211,15.5698,15.57,15.57,15.57,15.57,7
2023-05-09 13:49:00,5629,15.5802,15.58,15.585,15.588,15.565,19
2023-05-09 13:51:00,1090,15.5931,15.58,15.61,15.61,15.58,28
2023-05-09 13:52:00,120,15.6175,15.615,15.615,15.615,15.615,3
2023-05-09 13:54:00,433,15.6137,15.6168,15.6168,15.6168,15.6168,4
2023-05-09 13:58:00,100,15.675,15.675,15.675,15.675,15.675,1
2023-05-09 13:59:00,365,15.6697,15.68,15.66,15.68,15.66,5
2023-05-09 14:00:00,256,15.6473,15.65,15.65,15.65,15.65,9
2023-05-09 14:02:00,324,15.6557,15.6556,15.6556,15.6556,15.6556,2
2023-05-09 14:03:00,287,15.64,15.64,15.64,15.64,15.64,4
2023-05-09 14:04:00,130,15.6623,15.66,15.66,15.66,15.66,2
2023-05-09 14:05:00,963,15.6802,15.67,15.68,15.68,15.67,23
2023-05-09 14:07:00,1195,15.691,15.69,15.69,15.69,15.69,18
2023-05-09 14:08:00,1800,15.6729,15.6801,15.655,15.6801,15.65,25
2023-05-09 14:09:00,100,15.6506,15.6506,15.6506,15.6506,15.6506,1
2023-05-09 14:10:00,2429,15.6328,15.64,15.63,15.65,15.62,32
2023-05-09 14:12:00,1748,15.6265,15.635,15.62,15.635,15.62,24
