t,v,vw,o,c,h,l,n
2024-04-01 12:00:00,334,120.6896,120.89,120.89,120.89,120.89,14
2024-04-01 12:40:00,202,120.1058,120.11,120.11,120.11,120.11,4
2024-04-01 12:41:00,100,120.1,120.1,120.1,120.1,120.1,1
2024-04-01 13:02:00,795,119.63,119.63,119.63,119.63,119.63,1
2024-04-01 13:30:00,15300,119.765,119.75,119.71,120.0,119.45,171
2024-04-01 13:31:00,3634,119.7412,119.34,119.98,119.98,119.34,68
2024-04-01 13:32:00,2151,119.8146,119.785,119.95,119.95,119.775,42
2024-04-01 13:33:00,14085,120.0228,119.74,119.95,120.39,119.72,208
2024-04-01 13:34:00,3004,120.0845,120.065,120.04,120.2,119.94,56
2024-04-01 13:35:00,2993,119.7515,119.81,119.655,119.84,119.63,63
2024-04-01 13:36:00,5138,119.642,119.7999,119.68,119.8,119.47,99
2024-04-01 13:37:00,344,119.5342,119.53,119.42,119.53,119.42,30
2024-04-01 13:38:00,581,119.5948,119.5428,119.72,119.72,119.5428,35
2024-04-01 13:39:00,4388,119.9256,119.76,120.07,120.08,119.76,85
2024-04-01 13:40:00,565,119.9218,119.935,119.9325,119.935,119.9325,24
2024-04-01 13:41:00,402,119.9435,119.92,119.905,119.92,119.905,25
2024-04-01 13:42:00,1061,119.8213,119.8,119.8825,119.905,119.7628,18
2024-04-01 13:43:00,832,119.9872,119.885,120.01,120.06,119.885,34
2024-04-01 13:44:00,1237,120.0364,120.065,120.025,120.065,120.025,36
2024-04-01 13:45:00,2502,119.9219,119.93,119.79,120.01,119.79,49
2024-04-01 13:46:00,2096,119.7541,119.76,119.74,119.885,119.67,58
2024-04-01 13:47:00,2443,119.7926,119.83,119.66,119.87,119.64,74
2024-04-01 13:48:00,488,119.3672,119.33,119.31,119.33,119.31,32
2024-04-01 13:51:00,648,119.5098,119.58,119.58,119.58,119.43,18
2024-04-01 13:52:00,173,119.3858,119.35,119.35,119.35,119.35,15
2024-04-01 13:53:00,596,119.5143,119.56,119.428,119.57,119.428,27
2024-04-01 13:54:00,3234,119.6108,119.6,119.37,119.675,119.37,71
2024-04-01 13:55:00,413,119.6071,119.5231,119.5231,119.5231,119.5231,19
2024-04-01 13:56:00,494,119.5625,119.535,119.535,119.535,119.535,24
2024-04-01 13:57:00,228,119.4958,119.48,119.48,119.48,119.48,11
2024-04-01 13:58:00,589,119.5544,119.54,119.54,119.54,119.54,23
2024-04-01 13:59:00,1905,119.5539,119.53,119.59,119.6,119.42,63
2024-04-01 14:00:00,3519,119.4162,119.6,119.32,119.6,119.32,82
2024-04-01 14:01:00,1591,119.1912,119.19,119.11,119.28,119.11,66
2024-04-01 14:02:00,795,119.0542,119.11,119.0,119.11,119.0,41
2024-04-01 14:03:00,2273,119.1769,119.16,119.1469,119.215,119.1469,95
2024-04-01 14:04:00,702,119.0512,119.05,118.97,119.05,118.97,33
2024-04-01 14:05:00,565,118.8249,118.99,118.81,118.99,118.81,28
2024-04-01 14:06:00,883,118.8219,118.77,118.8399,118.8399,118.77,47
2024-04-01 14:07:00,859,118.6301,118.675,118.59,118.675,118.59,31
2024-04-01 14:08:00,3546,118.607,118.6,118.58,118.66,118.5686,97
2024-04-01 14:09:00,5451,118.6412,118.5,118.67,118.76,118.5,144
2024-04-01 14:10:00,1106,118.6725,118.665,118.69,118.69,118.665,36
2024-04-01 14:11:00,1046,118.7213,118.69,118.755,118.755,118.69,63
2024-04-01 14:12:00,429,118.7493,118.7,118.73,118.8199,118.7,15
2024-04-01 14:13:00,374,118.7942,118.745,118.82,118.82,118.745,13
2024-04-01 14:15:00,2718,118.7078,118.7,118.81,118.81,118.67,77
2024-04-01 14:16:00,2837,118.6336,118.68,118.61,118.73,118.59,92
2024-04-01 14:17:00,1432,118.6832,118.65,118.73,118.73,118.645,73
2024-04-01 14:18:00,682,118.6625,118.67,118.67,118.67,118.67,25
2024-04-01 14:19:00,1919,118.6605,118.62,118.7,118.7,118.6,55
2024-04-01 14:20:00,1506,118.6895,118.68,118.73,118.73,118.65,59
2024-04-01 14:21:00,6299,118.6989,118.685,118.6501,118.77,118.62,107
2024-04-01 14:22:00,2928,118.6251,118.715,118.58,118.715,118.57,80
2024-04-01 14:23:00,5749,118.4005,118.51,118.32,118.51,118.27,162
2024-04-01 14:24:00,3629,118.3943,118.36,118.33,118.47,118.33,90
2024-04-01 14:25:00,5029,118.3779,118.38,118.39,118.4,118.34,87
2024-04-01 14:26:00,3816,118.4685,118.3925,118.42,118.53,118.3925,96
2024-04-01 14:27:00,2285,118.454,118.49,118.42,118.49,118.41,40
2024-04-01 14:28:00,2282,118.4505,118.45,118.47,118.5,118.41,43
2024-04-01 14:29:00,7816,118.5747,118.51,118.52,118.71,118.47,204
2024-04-01 14:30:00,2470,118.5429,118.42,118.53,118.64,118.42,69
2024-04-01 14:31:00,675,118.5855,118.595,118.62,118.62,118.515,20
2024-04-01 14:32:00,1040,118.5004,118.53,118.38,118.53,118.38,44
2024-04-01 14:33:00,4819,118.4126,118.38,118.425,118.5,118.32,98
2024-04-01 14:34:00,280,118.4217,118.42,118.42,118.42,118.42,17
2024-04-01 14:35:00,1487,118.398,118.46,118.405,118.46,118.36,50
2024-04-01 14:36:00,375,118.4105,118.4,118.405,118.405,118.4,17
2024-04-01 14:37:00,5674,118.5554,118.47,118.48,118.65,118.47,116
2024-04-01 14:38:00,2388,118.6314,118.6,118.62,118.68,118.5301,72
2024-04-01 14:39:00,2573,118.6011,118.63,118.57,118.68,118.52,52
2024-04-01 14:40:00,387,118.5987,118.615,118.587,118.615,118.587,6
2024-04-01 14:42:00,4547,118.6642,118.54,118.5801,118.75,118.54,94
2024-04-01 14:43:00,824,118.714,118.6109,118.8499,118.8499,118.6109,25
2024-04-01 14:44:00,758,118.7487,118.73,118.77,118.77,118.73,27
2024-04-01 14:45:00,2693,118.6982,118.71,118.65,118.71,118.63,88
2024-04-01 14:46:00,348,118.7091,118.72,118.69,118.72,118.69,26
2024-04-01 14:47:00,1383,118.6638,118.65,118.61,118.7087,118.61,27
2024-04-01 14:48:00,1712,118.7254,118.6452,118.74,118.8,118.6452,61
2024-04-01 14:49:00,1208,118.7816,118.8,118.73,118.84,118.73,39
2024-04-01 14:51:00,261,118.7725,118.74,118.74,118.74,118.74,17
2024-04-01 14:52:00,1069,118.79,118.8275,118.75,118.8275,118.75,23
2024-04-01 14:53:00,2361,118.8737,118.785,118.88,118.93,118.785,67
2024-04-01 14:54:00,4546,118.8736,118.88,118.89,118.9,118.79,67
2024-04-01 14:55:00,686,118.9309,118.97,118.9,118.97,118.9,25
2024-04-01 14:56:00,719,118.9758,118.99,118.965,119.0,118.965,36
2024-04-01 14:57:00,307,119.0003,118.99,118.99,118.99,118.99,20
2024-04-01 14:58:00,1567,119.0619,119.09,119.15,119.15,119.05,52
2024-04-01 14:59:00,1267,119.1088,119.08,119.06,119.135,119.05,37
2024-04-01 15:00:00,4022,119.0007,119.04,118.97,119.07,118.89,93
2024-04-01 15:01:00,619,118.9608,118.935,118.98,118.98,118.935,17
2024-04-01 15:02:00,365,118.9792,119.04,118.95,119.04,118.95,19
2024-04-01 15:04:00,369,118.9206,118.88,118.88,118.88,118.88,22
2024-04-01 15:05:00,1256,118.8105,118.84,118.73,118.84,118.73,52
2024-04-01 15:06:00,168,118.7443,118.72,118.72,118.72,118.72,10
2024-04-01 15:07:00,4546,118.8308,118.8,118.82,118.9,118.7112,86
2024-04-01 15:08:00,648,118.8517,118.875,118.875,118.875,118.875,52
2024-04-01 15:09:00,1208,118.7909,118.81,118.74,118.83,118.73,27
2024-04-01 15:10:00,3739,118.819,118.77,118.835,118.87,118.73,87
2024-04-01 15:11:00,988,118.8191,118.8,118.835,118.835,118.8,33
2024-04-01 15:12:00,2591,118.8072,118.8,118.8,118.81,118.8,52
2024-04-01 15:13:00,1056,118.8411,118.86,118.79,118.86,118.79,40
2024-04-01 15:14:00,4975,118.7814,118.805,118.785,118.805,118.73,82
2024-04-01 15:15:00,6010,118.7717,118.775,118.68,118.87,118.64,168
2024-04-01 15:16:00,636,118.6387,118.63,118.67,118.67,118.63,19
2024-04-01 15:17:00,2435,118.6121,118.61,118.65,118.65,118.56,63
2024-04-01 15:18:00,3761,118.6108,118.65,118.66,118.66,118.56,92
2024-04-01 15:19:00,2273,118.69,118.64,118.74,118.74,118.64,55
2024-04-01 15:21:00,1937,118.6399,118.65,118.61,118.675,118.61,51
2024-04-01 15:22:00,2197,118.6459,118.59,118.699,118.7,118.585,47
2024-04-01 15:23:00,1971,118.6966,118.7,118.67,118.74,118.67,43
2024-04-01 15:24:00,3373,118.6226,118.61,118.66,118.66,118.6,79
2024-04-01 15:27:00,347,118.6602,118.65,118.66,118.66,118.65,20
