t,v,vw,o,c,h,l,n
2023-11-01 08:59:00,950,33.7274,33.71,33.75,33.75,33.71,5
2023-11-01 11:53:00,522,33.5031,33.5,33.5,33.5,33.5,9
2023-11-01 11:59:00,1003,33.499,33.49,33.5,33.5,33.49,4
2023-11-01 12:19:00,205,33.5,33.5,33.5,33.5,33.5,4
2023-11-01 12:24:00,691,33.49,33.49,33.49,33.49,33.49,4
2023-11-01 12:31:00,239,33.5062,33.5,33.5,33.5,33.5,2
2023-11-01 12:35:00,3413,33.7351,33.7,33.75,33.75,33.7,19
2023-11-01 12:41:00,276,33.8858,33.78,33.78,33.78,33.78,6
2023-11-01 12:52:00,770,33.7923,33.79,33.79,33.79,33.79,2
2023-11-01 13:01:00,131,33.8116,33.8,33.8,33.8,33.8,6
2023-11-01 13:22:00,103,33.8273,33.82,33.82,33.82,33.82,2
2023-11-01 13:26:00,3007,33.9497,33.95,33.95,33.95,33.95,3
2023-11-01 13:28:00,1095,33.7612,33.7,33.77,33.77,33.7,23
2023-11-01 13:29:00,4951,33.482,33.77,33.18,33.77,33.18,50
2023-11-01 13:30:00,60447,33.2989,33.27,33.2533,33.6,33.2244,272
2023-11-01 13:31:00,75890,32.9907,33.25,32.81,33.2517,32.77,313
2023-11-01 13:32:00,27475,32.8384,32.7309,32.96,33.0,32.7309,403
2023-11-01 13:33:00,14101,32.9114,33.0,32.88,33.02,32.8,188
2023-11-01 13:34:00,11173,32.8838,32.87,32.81,32.93,32.81,161
2023-11-01 13:35:00,15989,32.7678,32.86,32.66,32.89,32.61,256
2023-11-01 13:36:00,24260,32.5628,32.68,32.51,32.71,32.5,363
2023-11-01 13:37:00,15032,32.5299,32.54,32.42,32.68,32.41,239
2023-11-01 13:38:00,19266,32.4655,32.5,32.32,32.62,32.3,353
2023-11-01 13:39:00,33688,32.2037,32.3,32.0595,32.37,32.0,334
2023-11-01 13:40:00,22079,32.1012,32.09,32.11,32.19,32.01,255
2023-11-01 13:41:00,23246,32.0069,32.08,32.06,32.09,31.89,302
2023-11-01 13:42:00,18130,32.0555,32.0999,31.915,32.16,31.915,186
2023-11-01 13:43:00,32033,31.8367,31.88,31.835,31.91,31.8,312
2023-11-01 13:44:00,26246,31.8524,31.85,31.71,31.92,31.71,280
2023-11-01 13:45:00,33876,31.6162,31.75,31.5699,31.77,31.5,279
2023-11-01 13:46:00,23533,31.582,31.53,31.88,31.94,31.334,305
2023-11-01 13:47:00,28161,31.7802,31.8748,31.75,31.9255,31.68,297
2023-11-01 13:48:00,20469,31.8536,31.775,31.84,31.95,31.775,245
2023-11-01 13:49:00,26715,31.922,31.865,32.0,32.0896,31.76,362
2023-11-01 13:50:00,37631,32.1326,32.0,32.3238,32.328,32.0,395
2023-11-01 13:51:00,48054,32.3411,32.29,32.49,32.49,32.26,550
2023-11-01 13:52:00,27395,32.4309,32.49,32.3119,32.57,32.3119,291
2023-11-01 13:53:00,11968,32.188,32.32,32.205,32.32,32.13,154
