t,v,vw,o,c,h,l,n
2024-04-01 10:08:00,163,1.89,1.89,1.89,1.89,1.89,3
2024-04-01 11:24:00,266,1.9,1.9,1.9,1.9,1.9,4
2024-04-01 12:00:00,8390,1.9127,1.89,1.92,1.92,1.89,14
2024-04-01 12:05:00,500,1.9099,1.9099,1.9099,1.9099,1.9099,1
2024-04-01 12:12:00,150,1.9,1.9,1.9,1.9,1.9,5
2024-04-01 12:16:00,100,1.9,1.9,1.9,1.9,1.9,1
2024-04-01 12:34:00,200,1.85,1.85,1.85,1.85,1.85,1
2024-04-01 12:52:00,400,1.85,1.85,1.85,1.85,1.85,1
2024-04-01 13:23:00,1000,1.8511,1.85,1.85,1.85,1.85,11
2024-04-01 13:25:00,123,1.87,1.87,1.87,1.87,1.87,2
2024-04-01 13:30:00,85638,1.8783,1.88,1.86,1.88,1.85,259
2024-04-01 13:31:00,24379,1.8432,1.85,1.85,1.8675,1.825,140
2024-04-01 13:32:00,54438,1.8831,1.87,1.89,1.9,1.87,235
2024-04-01 13:33:00,37018,1.8738,1.88,1.885,1.89,1.87,149
2024-04-01 13:34:00,16065,1.8753,1.8899,1.87,1.8899,1.865,70
2024-04-01 13:35:00,224,1.8775,1.8799,1.8799,1.8799,1.8799,9
2024-04-01 13:36:00,4833,1.8764,1.87,1.8797,1.8797,1.87,26
2024-04-01 13:37:00,241,1.8722,1.87,1.875,1.875,1.87,6
2024-04-01 13:38:00,12523,1.8796,1.8798,1.885,1.885,1.871,51
2024-04-01 13:39:00,6514,1.8897,1.88,1.895,1.9,1.88,42
2024-04-01 13:40:00,18365,1.9074,1.895,1.92,1.92,1.8917,68
2024-04-01 13:41:00,27788,1.9263,1.915,1.935,1.94,1.911,105
2024-04-01 13:42:00,6839,1.9356,1.94,1.9303,1.94,1.93,37
2024-04-01 13:43:00,23197,1.9396,1.9375,1.95,1.95,1.935,64
2024-04-01 13:44:00,7761,1.9445,1.9408,1.94,1.95,1.94,45
2024-04-01 13:45:00,20468,1.9532,1.945,1.959,1.959,1.945,54
2024-04-01 13:46:00,18160,1.9561,1.955,1.9503,1.96,1.95,56
2024-04-01 13:47:00,77834,1.9333,1.9507,1.91,1.955,1.91,221
2024-04-01 13:48:00,13512,1.8888,1.9,1.895,1.905,1.88,71
2024-04-01 13:49:00,11375,1.8834,1.89,1.881,1.89,1.88,69
2024-04-01 13:50:00,5964,1.8807,1.885,1.87,1.89,1.87,26
2024-04-01 13:51:00,16597,1.877,1.88,1.86,1.885,1.86,48
