t,v,vw,o,c,h,l,n
2023-10-16 11:49:00,7369,90.9495,90.95,90.95,90.99,90.95,26
2023-10-16 11:54:00,3151,90.9461,90.95,90.95,90.95,90.95,7
2023-10-16 12:00:00,106,90.0542,90.0,90.0,90.0,90.0,3
2023-10-16 13:27:00,1520,90.2362,90.22,90.22,90.22,90.22,30
2023-10-16 13:30:00,20034,90.9494,90.95,91.175,91.175,90.53,67
2023-10-16 13:31:00,3109,90.9531,91.01,90.81,91.2,90.75,57
2023-10-16 13:32:00,2466,90.6757,90.81,90.66,90.84,90.62,38
2023-10-16 13:33:00,11408,90.6073,90.695,90.645,90.715,90.53,162
2023-10-16 13:34:00,7587,90.6475,90.645,90.77,90.77,90.5,109
2023-10-16 13:35:00,2896,90.7258,90.72,90.66,90.787,90.65,62
2023-10-16 13:36:00,6315,90.5295,90.63,90.25,90.63,90.25,106
2023-10-16 13:37:00,1598,90.32,90.305,90.47,90.47,90.29,27
2023-10-16 13:38:00,1700,90.2728,90.3,90.18,90.33,90.18,58
2023-10-16 13:39:00,1312,90.1111,90.14,90.1,90.14,90.1,58
2023-10-16 13:40:00,6906,89.9857,90.095,89.89,90.095,89.85,116
2023-10-16 13:41:00,7439,90.0138,89.85,90.23,90.23,89.85,82
2023-10-16 13:42:00,1894,90.0251,90.07,90.01,90.07,89.96,31
2023-10-16 13:43:00,1954,90.1996,90.185,90.06,90.28,90.06,71
2023-10-16 13:44:00,1760,90.1272,90.1525,90.18,90.2,90.05,37
2023-10-16 13:45:00,8852,90.066,90.155,90.1,90.25,89.98,83
2023-10-16 13:46:00,1468,90.1021,90.1025,90.11,90.11,90.1025,20
2023-10-16 13:47:00,4738,90.0008,90.155,90.0,90.205,89.91,82
2023-10-16 13:48:00,843,89.9978,89.97,90.02,90.02,89.96,24
2023-10-16 13:49:00,3844,90.0891,90.09,90.115,90.17,90.0408,71
2023-10-16 13:50:00,14693,90.1803,90.115,90.21,90.26,90.11,221
2023-10-16 13:51:00,26198,90.1608,90.23,90.15,90.318,90.14,349
2023-10-16 13:52:00,12933,90.288,90.2,90.54,90.54,90.18,221
2023-10-16 13:53:00,1899,90.4843,90.445,90.485,90.515,90.445,91
2023-10-16 13:54:00,5208,90.5828,90.56,90.6,90.6,90.53,133
2023-10-16 13:55:00,2756,90.6338,90.6,90.61,90.675,90.6,67
2023-10-16 13:56:00,2174,90.4299,90.56,90.65,90.65,90.55,36
2023-10-16 13:57:00,3553,90.7574,90.8,90.72,90.85,90.72,61
2023-10-16 13:58:00,618,90.7462,90.75,90.73,90.75,90.73,25
2023-10-16 13:59:00,1493,90.7256,90.8,90.7,90.85,90.7,64
2023-10-16 14:00:00,8599,90.6152,90.65,90.54,90.67,90.54,147
2023-10-16 14:01:00,3628,90.4172,90.48,90.495,90.495,90.21,77
2023-10-16 14:02:00,933,90.5199,90.56,90.435,90.56,90.435,23
2023-10-16 14:03:00,2795,90.3636,90.41,90.19,90.41,90.19,45
2023-10-16 14:04:00,4131,90.1245,90.1,90.19,90.19,90.0001,54
2023-10-16 14:05:00,1020,90.1116,90.24,90.11,90.24,90.07,25
2023-10-16 14:06:00,3974,90.1533,90.1,90.07,90.1,89.98,55
2023-10-16 14:07:00,1275,90.0515,90.05,90.01,90.08,90.01,59
2023-10-16 14:08:00,1951,90.0416,90.0172,90.12,90.12,89.99,75
2023-10-16 14:09:00,6262,90.2555,90.0989,90.4,90.4,90.0989,98
2023-10-16 14:10:00,6454,90.5171,90.41,90.63,90.63,90.41,89
2023-10-16 14:11:00,2650,90.7498,90.62,90.76,90.84,90.62,60
2023-10-16 14:12:00,2123,90.851,90.75,90.9,90.9,90.75,32
2023-10-16 14:13:00,15346,90.7658,90.88,90.76,90.91,90.71,133
2023-10-16 14:14:00,842,90.7704,90.84,90.73,90.84,90.73,38
2023-10-16 14:15:00,10187,90.858,90.78,90.94,90.99,90.7,165
2023-10-16 14:16:00,2598,90.8858,90.88,90.84,90.95,90.84,52
2023-10-16 14:17:00,2904,90.9094,90.8,90.9539,90.96,90.8,65
2023-10-16 14:18:00,3419,90.9792,90.92,91.02,91.02,90.92,64
2023-10-16 14:19:00,3044,90.8748,90.94,90.85,90.94,90.83,65
2023-10-16 14:20:00,3402,90.8419,90.83,90.8769,90.9,90.83,45
2023-10-16 14:21:00,2222,90.8285,90.8301,90.82,90.87,90.78,47
2023-10-16 14:22:00,1459,90.9243,90.91,90.93,90.93,90.91,38
2023-10-16 14:23:00,1076,90.8758,90.9225,90.89,90.9225,90.89,33
2023-10-16 14:24:00,3247,90.8924,90.91,90.9,90.92,90.87,56
2023-10-16 14:25:00,4220,90.8202,90.93,90.8,90.93,90.78,60
2023-10-16 14:26:00,806,90.8616,90.88,90.85,90.88,90.85,37
2023-10-16 14:27:00,3183,90.9714,90.92,91.05,91.05,90.91,91
2023-10-16 14:28:00,2587,91.0763,91.06,91.03,91.11,91.03,64
2023-10-16 14:29:00,859,91.0978,91.1,91.095,91.1,91.08,24
2023-10-16 14:30:00,15055,91.2106,91.06,91.285,91.3715,91.06,242
2023-10-16 14:31:00,4165,91.1526,91.24,91.195,91.245,91.18,75
2023-10-16 14:32:00,3848,91.2518,91.22,91.3,91.31,91.205,100
2023-10-16 14:33:00,4509,91.3126,91.33,91.32,91.37,91.26,111
2023-10-16 14:34:00,592,91.2966,91.33,91.3,91.33,91.28,28
2023-10-16 14:35:00,1598,91.3403,91.3,91.34,91.38,91.3,55
2023-10-16 14:36:00,2485,91.2612,91.33,91.16,91.33,91.16,61
2023-10-16 14:37:00,733,91.2036,91.23,91.19,91.23,91.19,24
2023-10-16 14:38:00,977,91.1983,91.18,91.21,91.21,91.175,48
2023-10-16 14:39:00,741,91.1535,91.22,91.14,91.22,91.14,34
2023-10-16 14:40:00,924,91.0628,90.99,91.055,91.055,90.99,27
2023-10-16 14:41:00,3161,91.1566,91.01,91.1225,91.1225,91.01,78
2023-10-16 14:42:00,2272,91.0551,91.09,91.05,91.09,91.015,48
2023-10-16 14:43:00,1981,91.0589,91.085,91.06,91.085,91.05,60
2023-10-16 14:44:00,1015,91.0425,91.05,91.07,91.07,91.01,33
2023-10-16 14:45:00,2097,91.0428,91.1,91.03,91.1,91.02,55
2023-10-16 14:46:00,1398,91.0255,91.02,91.02,91.055,91.02,26
2023-10-16 14:47:00,2162,91.0423,91.02,91.05,91.06,91.02,59
2023-10-16 14:48:00,2788,91.0616,91.07,91.025,91.1,91.02,70
2023-10-16 14:49:00,2480,91.0681,91.03,91.09,91.11,91.025,67
2023-10-16 14:50:00,2202,91.1142,91.1,91.08,91.14,91.08,66
2023-10-16 14:51:00,733,91.0641,91.06,91.075,91.075,91.05,24
2023-10-16 14:52:00,2169,91.0948,91.11,91.085,91.11,91.07,50
2023-10-16 14:53:00,1518,91.048,91.05,91.02,91.06,91.02,45
2023-10-16 14:54:00,2897,91.0734,91.07,91.05,91.13,91.03,78
2023-10-16 14:55:00,1155,91.0663,91.05,91.08,91.08,91.03,38
2023-10-16 14:56:00,4355,91.0892,91.15,91.045,91.15,91.03,87
2023-10-16 14:57:00,998,91.0813,91.06,91.1,91.1,91.06,30
2023-10-16 14:58:00,919,91.0971,91.105,91.11,91.11,91.07,36
2023-10-16 14:59:00,5884,91.1787,91.1,91.26,91.27,91.1,141
2023-10-16 15:00:00,5520,91.4107,91.28,91.45,91.45,91.28,120
2023-10-16 15:01:00,8052,91.3822,91.44,91.24,91.44,91.24,180
2023-10-16 15:02:00,2765,91.2305,91.22,91.175,91.25,91.175,51
2023-10-16 15:03:00,1014,91.117,91.15,91.1,91.15,91.1,40
2023-10-16 15:04:00,1263,91.1403,91.12,91.17,91.17,91.12,80
2023-10-16 15:05:00,1860,91.1638,91.19,91.135,91.2,91.135,50
2023-10-16 15:06:00,2130,91.1797,91.155,91.17,91.19,91.155,62
2023-10-16 15:07:00,1949,91.1834,91.19,91.18,91.1987,91.16,42
2023-10-16 15:08:00,1871,91.1376,91.18,91.145,91.18,91.09,47
2023-10-16 15:09:00,1143,91.1347,91.18,91.06,91.185,91.06,32
2023-10-16 15:10:00,3245,91.0757,91.07,91.07,91.09,91.06,93
2023-10-16 15:11:00,1563,91.0556,91.07,91.08,91.08,91.02,42
2023-10-16 15:12:00,4750,91.0875,91.06,91.09,91.12,91.03,73
2023-10-16 15:13:00,733,91.1109,91.1265,91.12,91.1265,91.09,12
2023-10-16 15:14:00,940,91.1181,91.11,91.105,91.11,91.105,36
