t,v,vw,o,c,h,l,n
2023-08-29 13:47:00,100,0.8201,0.8201,0.8201,0.8201,0.8201,1
2023-08-29 15:10:00,120,0.8224,0.8228,0.8228,0.8228,0.8228,2
2023-08-29 15:16:00,1000,0.848,0.848,0.848,0.848,0.848,1
2023-08-29 17:22:00,4539,0.8403,0.84,0.848,0.848,0.8399,19
2023-08-29 18:08:00,229,0.8204,0.8204,0.8204,0.8204,0.8204,1
2023-08-29 19:26:00,123,0.8499,0.85,0.85,0.85,0.85,3
2023-08-29 19:27:00,296,0.8497,0.85,0.85,0.85,0.85,4
2023-08-29 19:50:00,200,0.8491,0.8491,0.8491,0.8491,0.8491,2
2023-08-29 19:51:00,470,0.85,0.85,0.85,0.85,0.85,2
2023-08-29 19:53:00,610,0.8492,0.8491,0.84912,0.84912,0.849,9
2023-08-29 19:54:00,100,0.849,0.849,0.849,0.849,0.849,1
2023-08-29 19:55:00,102,0.849,0.849,0.849,0.849,0.849,3
2023-08-29 19:56:00,1039,0.8489,0.849,0.849,0.849,0.849,8
2023-08-29 19:59:00,1506,0.85,0.85,0.85,0.85,0.849901,10
2023-08-29 22:03:00,1177,0.85,0.85,0.85,0.85,0.85,2
2023-08-29 22:06:00,1181,0.8501,0.85,0.85,0.85,0.85,3
2023-08-30 13:30:00,340,0.85,0.85,0.85,0.85,0.85,3
2023-08-30 14:06:00,220,0.879,0.879,0.879,0.879,0.879,1
2023-08-30 14:10:00,1945,0.8751,0.8757,0.878,0.878,0.8721,5
2023-08-30 14:12:00,2782,0.8777,0.878,0.88,0.88,0.878,17
2023-08-30 14:16:00,4028,0.9461,0.9379,0.9671,0.978,0.9,27
2023-08-30 14:18:00,420,0.91,0.91,0.91,0.91,0.91,1
2023-08-30 14:19:00,2010,0.9413,0.941265,0.941265,0.941265,0.941265,3
2023-08-30 14:20:00,4520,0.9394,0.941265,0.9346,0.941265,0.9279,7
2023-08-30 14:21:00,106,0.934,0.934,0.934,0.934,0.934,1
2023-08-30 14:24:00,322,0.8979,0.93,0.89,0.93,0.89,4
2023-08-30 14:39:00,2182,0.8779,0.878,0.877,0.878,0.877,10
2023-08-30 15:05:00,1738,0.8779,0.878,0.877,0.878,0.877,6
2023-08-30 15:08:00,3360,0.8776,0.877,0.878,0.878,0.8648,12
2023-08-30 15:09:00,2950,0.8711,0.878,0.851,0.878,0.85,12
2023-08-30 15:24:00,7332,0.877,0.877,0.8767,0.877,0.8767,9
2023-08-30 15:28:00,1406,0.877,0.877,0.876891,0.877,0.876891,4
2023-08-30 15:29:00,1566,0.881,0.877,0.91205,0.91205,0.877,3
2023-08-30 15:51:00,1000,0.9166,0.916629,0.916629,0.916629,0.916629,1
2023-08-30 15:52:00,100,0.9166,0.9166,0.9166,0.9166,0.9166,1
2023-08-30 15:53:00,1385,0.9127,0.912729,0.912729,0.912729,0.912729,1
2023-08-30 16:21:00,436,0.9689,0.9729,0.9729,0.9729,0.9729,3
2023-08-30 16:34:00,100,0.9121,0.912101,0.912101,0.912101,0.912101,1
2023-08-30 16:37:00,110,0.9707,0.971,0.971,0.971,0.971,2
2023-08-30 17:07:00,100,0.971,0.971,0.971,0.971,0.971,1
2023-08-30 17:26:00,200,0.9411,0.94105,0.94105,0.94105,0.94105,1
2023-08-30 18:38:00,237,0.948,0.943,0.95418,0.95418,0.943,6
2023-08-30 19:27:00,129,0.94,0.94,0.94,0.94,0.94,2
2023-08-30 19:28:00,301,0.94,0.94,0.94,0.94,0.94,2
2023-08-30 19:29:00,169,0.9371,0.94,0.94,0.94,0.94,3
2023-08-30 19:31:00,1630,0.9302,0.930201,0.930201,0.930201,0.930201,4
2023-08-31 08:27:00,100,0.97,0.97,0.97,0.97,0.97,1
