t,v,vw,o,c,h,l,n
2024-05-03 08:10:00,100,37.82,37.82,37.82,37.82,37.82,1
2024-05-03 08:15:00,300,37.82,37.82,37.82,37.82,37.82,2
2024-05-03 08:16:00,100,37.83,37.83,37.83,37.83,37.83,1
2024-05-03 08:17:00,200,37.82,37.82,37.82,37.82,37.82,2
2024-05-03 08:26:00,200,37.82,37.82,37.82,37.82,37.82,2
2024-05-03 08:31:00,100,37.82,37.82,37.82,37.82,37.82,1
2024-05-03 09:19:00,100,37.85,37.85,37.85,37.85,37.85,1
2024-05-03 11:48:00,614,37.8516,37.86,37.85,37.86,37.85,2
2024-05-03 12:32:00,200,38.0867,38.0867,38.0867,38.0867,38.0867,1
2024-05-03 12:35:00,200,38.09,38.09,38.09,38.09,38.09,1
2024-05-03 12:57:00,855,38.0284,38.02,38.03,38.03,38.02,8
2024-05-03 13:11:00,400,38.0325,38.04,38.03,38.04,38.03,3
2024-05-03 13:28:00,231,38.0265,38.03,38.03,38.03,38.03,11
2024-05-03 13:29:00,300,38.0167,38.01,38.03,38.03,38.01,4
2024-05-03 13:30:00,75589,38.0416,38.02,38.215,38.24,38.02,204
2024-05-03 13:31:00,2845,38.2654,38.17,38.31,38.31,38.17,37
2024-05-03 13:32:00,14418,38.3745,38.35,38.43,38.46,38.3115,172
2024-05-03 13:33:00,18072,38.3293,38.42,38.31,38.42,38.28,135
2024-05-03 13:34:00,14245,38.3052,38.33,38.255,38.39,38.24,166
2024-05-03 13:35:00,28423,38.075,38.26,38.055,38.26,38.03,159
2024-05-03 13:36:00,5548,38.0897,38.07,38.1,38.11,38.06,84
2024-05-03 13:37:00,7763,38.0921,38.1,38.08,38.13,38.07,106
2024-05-03 13:38:00,6136,38.1766,38.065,38.23,38.25,38.065,96
2024-05-03 13:39:00,6655,38.1852,38.22,38.2,38.22,38.15,95
2024-05-03 13:40:00,14513,38.2018,38.2,38.165,38.21,38.165,79
2024-05-03 13:41:00,8850,38.1572,38.16,38.15,38.2,38.13,151
2024-05-03 13:42:00,4745,38.2024,38.17,38.205,38.215,38.17,72
2024-05-03 13:43:00,7735,38.2017,38.21,38.18,38.22,38.17,118
2024-05-03 13:44:00,6953,38.1899,38.14,38.25,38.25,38.136,110
2024-05-03 13:45:00,7664,38.2549,38.24,38.23,38.29,38.22,134
2024-05-03 13:46:00,5713,38.2921,38.26,38.3,38.33,38.24,79
2024-05-03 13:47:00,19744,38.3368,38.3016,38.28,38.37,38.27,259
2024-05-03 13:48:00,3822,38.2779,38.3,38.2775,38.31,38.26,88
2024-05-03 13:49:00,3333,38.284,38.3,38.26,38.3,38.26,70
2024-05-03 13:50:00,4097,38.2789,38.26,38.305,38.305,38.24,69
2024-05-03 13:51:00,10389,38.256,38.3,38.24,38.3,38.22,93
2024-05-03 13:52:00,2625,38.258,38.2406,38.245,38.275,38.24,51
2024-05-03 13:53:00,3634,38.2721,38.26,38.295,38.295,38.26,74
2024-05-03 13:54:00,4965,38.333,38.3,38.325,38.36,38.3,92
2024-05-03 13:55:00,3647,38.3458,38.32,38.36,38.365,38.32,75
2024-05-03 13:56:00,3232,38.3584,38.37,38.35,38.37,38.35,55
2024-05-03 13:57:00,5842,38.3241,38.345,38.32,38.345,38.305,94
2024-05-03 13:58:00,2402,38.3313,38.32,38.36,38.37,38.32,34
2024-05-03 13:59:00,3178,38.3885,38.37,38.4,38.405,38.37,50
2024-05-03 14:00:00,14111,38.4207,38.41,38.3,38.56,38.27,213
2024-05-03 14:01:00,6228,38.3099,38.33,38.31,38.33,38.3,86
2024-05-03 14:02:00,6431,38.3014,38.31,38.305,38.31,38.28,138
2024-05-03 14:03:00,5943,38.2554,38.3,38.24,38.3,38.24,99
2024-05-03 14:04:00,8770,38.2343,38.255,38.22,38.26,38.22,130
2024-05-03 14:05:00,7185,38.2391,38.22,38.24,38.27,38.215,107
2024-05-03 14:06:00,6018,38.2647,38.245,38.28,38.28,38.245,113
2024-05-03 14:07:00,4211,38.2681,38.29,38.24,38.29,38.23,69
2024-05-03 14:08:00,3282,38.1975,38.22,38.2,38.22,38.18,50
2024-05-03 14:09:00,4894,38.1658,38.19,38.16,38.19,38.15,71
2024-05-03 14:10:00,6137,38.1706,38.15,38.2,38.2,38.15,90
2024-05-03 14:11:00,4914,38.1688,38.2,38.14,38.2,38.14,80
2024-05-03 14:12:00,1781,38.108,38.13,38.08,38.13,38.08,34
2024-05-03 14:13:00,4976,38.0511,38.065,38.03,38.065,38.03,81
2024-05-03 14:14:00,5255,38.0655,38.04,38.1,38.1,38.04,95
2024-05-03 14:15:00,5210,38.094,38.1,38.085,38.11,38.085,77
2024-05-03 14:16:00,3174,38.0893,38.085,38.0999,38.0999,38.08,47
2024-05-03 14:17:00,8284,38.134,38.1,38.145,38.15,38.1,167
2024-05-03 14:18:00,1831,38.1482,38.145,38.155,38.155,38.145,40
2024-05-03 14:19:00,4960,38.1325,38.15,38.12,38.15,38.11,79
2024-05-03 14:20:00,5573,38.1267,38.13,38.1,38.145,38.1,92
2024-05-03 14:21:00,4294,38.0891,38.09,38.1,38.1,38.08,85
2024-05-03 14:22:00,6783,38.0776,38.105,38.06,38.105,38.05,104
2024-05-03 14:23:00,3666,38.0859,38.06,38.105,38.105,38.06,53
2024-05-03 14:24:00,59797,38.129,38.105,38.13,38.14,38.105,70
2024-05-03 14:25:00,7505,38.0952,38.12,38.0706,38.12,38.0706,121
2024-05-03 14:26:00,3841,38.0812,38.08,38.085,38.09,38.075,66
2024-05-03 14:27:00,8107,38.1188,38.085,38.19,38.19,38.085,139
2024-05-03 14:28:00,4238,38.2306,38.21,38.275,38.275,38.2,87
2024-05-03 14:29:00,6508,38.2844,38.28,38.26,38.3,38.26,116
2024-05-03 14:30:00,3289,38.271,38.28,38.26,38.29,38.26,81
2024-05-03 14:31:00,4205,38.2645,38.27,38.26,38.275,38.25,92
2024-05-03 14:32:00,5776,38.2625,38.265,38.25,38.28,38.24,108
2024-05-03 14:33:00,6179,38.2402,38.25,38.21,38.26,38.21,103
2024-05-03 14:34:00,1406,38.2078,38.21,38.2,38.21,38.2,42
2024-05-03 14:35:00,5511,38.1975,38.2,38.1975,38.205,38.19,109
2024-05-03 14:36:00,5962,38.2182,38.21,38.2101,38.23,38.2,121
2024-05-03 14:37:00,6587,38.2627,38.215,38.32,38.32,38.215,124
2024-05-03 14:38:00,5456,38.3135,38.33,38.32,38.33,38.295,96
2024-05-03 14:39:00,5360,38.3034,38.325,38.26,38.325,38.26,94
2024-05-03 14:40:00,4952,38.2679,38.25,38.26,38.275,38.25,78
2024-05-03 14:41:00,4898,38.2522,38.26,38.265,38.265,38.245,57
2024-05-03 14:42:00,7237,38.2304,38.26,38.195,38.265,38.195,110
2024-05-03 14:43:00,2991,38.1979,38.19,38.205,38.205,38.18,58
2024-05-03 14:44:00,3324,38.2259,38.2,38.23,38.24,38.2,73
2024-05-03 14:45:00,3470,38.2326,38.245,38.215,38.245,38.215,54
2024-05-03 14:46:00,5392,38.213,38.215,38.225,38.225,38.2,105
2024-05-03 14:47:00,11664,38.2409,38.23,38.27,38.27,38.215,152
2024-05-03 14:48:00,4947,38.2157,38.23,38.18,38.23,38.18,79
2024-05-03 14:49:00,3870,38.1906,38.18,38.2,38.2,38.18,64
2024-05-03 14:50:00,3589,38.1933,38.21,38.17,38.21,38.17,72
2024-05-03 14:51:00,2183,38.1866,38.1621,38.195,38.2,38.1621,50
2024-05-03 14:52:00,3788,38.1787,38.195,38.16,38.195,38.16,74
2024-05-03 14:53:00,3315,38.1404,38.14,38.14,38.145,38.135,64
2024-05-03 14:54:00,1768,38.1206,38.13,38.1,38.13,38.1,56
2024-05-03 14:55:00,7476,38.1257,38.1,38.14,38.15,38.1,119
2024-05-03 14:56:00,5813,38.1429,38.145,38.14,38.16,38.135,90
2024-05-03 14:57:00,2422,38.1545,38.15,38.17,38.18,38.15,54
2024-05-03 14:58:00,7621,38.1762,38.18,38.155,38.19,38.155,139
2024-05-03 14:59:00,2651,38.1672,38.16,38.17,38.17,38.16,60
2024-05-03 15:00:00,3678,38.1651,38.165,38.165,38.18,38.16,72
2024-05-03 15:01:00,2175,38.1674,38.19,38.16,38.2,38.145,57
2024-05-03 15:02:00,1884,38.139,38.14,38.13,38.16,38.12,43
2024-05-03 15:03:00,4981,38.1263,38.12,38.13,38.14,38.11,81
2024-05-03 15:04:00,4541,38.1288,38.14,38.11,38.14,38.11,63
2024-05-03 15:05:00,4044,38.0987,38.1,38.1,38.1,38.09,68
2024-05-03 15:06:00,15565,38.1121,38.0977,38.13,38.13,38.095,104
2024-05-03 15:07:00,8645,38.1174,38.12,38.1,38.13,38.09,91
2024-05-03 15:08:00,7708,38.078,38.09,38.105,38.105,38.06,133
2024-05-03 15:09:00,2316,38.0788,38.1,38.06,38.1,38.055,59
2024-05-03 15:10:00,1924,38.0686,38.06,38.08,38.08,38.055,46
2024-05-03 15:11:00,3236,38.0807,38.09,38.08,38.09,38.075,63
2024-05-03 15:12:00,2322,38.079,38.075,38.075,38.085,38.075,53
2024-05-03 15:13:00,4898,38.0769,38.07,38.08,38.0885,38.06,105
2024-05-03 15:14:00,4247,38.0838,38.09,38.08,38.09,38.08,59
2024-05-03 15:15:00,5003,38.0906,38.07,38.13,38.13,38.07,101
2024-05-03 15:16:00,3070,38.1214,38.12,38.13,38.13,38.115,72
2024-05-03 15:17:00,2224,38.1304,38.14,38.125,38.14,38.125,36
2024-05-03 15:18:00,9552,38.1472,38.13,38.16,38.16,38.13,133
2024-05-03 15:19:00,2406,38.1637,38.16,38.18,38.18,38.16,76
2024-05-03 15:20:00,2714,38.1684,38.17,38.165,38.17,38.165,53
2024-05-03 15:21:00,5647,38.1774,38.17,38.17,38.2,38.17,107
2024-05-03 15:22:00,8425,38.1398,38.17,38.08,38.17,38.08,106
2024-05-03 15:23:00,8268,38.0969,38.08,38.08,38.1127,38.075,105
2024-05-03 15:24:00,4122,38.0584,38.08,38.03,38.08,38.03,73
2024-05-03 15:25:00,969,38.044,38.03,38.03,38.03,38.03,19
2024-05-03 15:26:00,6413,37.9877,38.02,37.97,38.02,37.96,100
2024-05-03 15:27:00,2848,37.9638,37.96,37.96,37.97,37.955,77
2024-05-03 15:28:00,4413,37.9641,37.95,37.965,37.97,37.95,76
2024-05-03 15:29:00,5899,37.9983,37.97,38.02,38.02,37.97,91
2024-05-03 15:30:00,4384,38.0041,38.02,38.01,38.02,37.99,70
2024-05-03 15:31:00,4040,38.0103,38.0199,38.02,38.02,38.0,65
2024-05-03 15:32:00,1654,38.0116,38.02,38.005,38.02,38.005,48
2024-05-03 15:33:00,4940,38.0068,38.0075,38.0,38.02,38.0,82
2024-05-03 15:34:00,2006,38.0036,38.001,38.005,38.005,38.001,24
2024-05-03 15:35:00,9130,38.0038,38.005,38.0,38.02,37.99,133
2024-05-03 15:36:00,2777,38.0055,38.0,38.02,38.02,38.0,46
2024-05-03 15:37:00,2065,38.0211,38.02,38.02,38.03,38.02,51
2024-05-03 15:38:00,5839,38.0076,38.025,38.015,38.03,37.995,90
2024-05-03 15:39:00,6600,38.0324,38.02,38.03,38.045,38.02,115
2024-05-03 15:40:00,5091,37.9857,38.02,37.97,38.02,37.96,73
2024-05-03 15:41:00,1561,37.9714,37.975,37.97,37.98,37.97,37
2024-05-03 15:42:00,4624,37.9848,37.98,37.985,37.99,37.98,73
2024-05-03 15:43:00,5371,38.0018,37.985,38.005,38.02,37.985,101
2024-05-03 15:44:00,7389,37.9837,38.0,37.995,38.0,37.97,94
2024-05-03 15:45:00,1004,37.9931,37.99,37.995,37.995,37.99,20
2024-05-03 15:46:00,3088,37.9913,37.995,37.985,37.995,37.985,65
2024-05-03 15:47:00,13755,37.9886,37.985,37.975,38.01,37.97,189
2024-05-03 15:48:00,6179,37.9883,37.98,37.985,38.0,37.98,92
2024-05-03 15:49:00,3053,37.9946,37.985,37.995,38.01,37.985,63
2024-05-03 15:50:00,6881,38.0198,38.005,38.05,38.05,38.0,118
2024-05-03 15:51:00,2735,38.0299,38.04,38.01,38.04,38.01,63
2024-05-03 15:52:00,3244,38.013,38.005,38.02,38.02,38.005,60
2024-05-03 15:53:00,2790,38.0309,38.025,38.03,38.04,38.025,66
2024-05-03 15:54:00,2737,38.023,38.03,38.02,38.03,38.015,47
2024-05-03 15:55:00,2875,38.0318,38.02,38.035,38.04,38.02,62
