t,v,vw,o,c,h,l,n
2023-11-17 14:29:00,2376,176.5408,176.54,176.54,176.54,176.54,2
2023-11-17 14:30:00,131324,177.4589,177.41,177.7,177.7,176.97,56
2023-11-17 14:32:00,1052,177.3346,177.3,177.3,177.3,177.3,36
2023-11-17 14:33:00,679,177.2433,177.3,176.9,177.3,176.9,21
2023-11-17 14:34:00,738,177.2171,177.3,176.9,177.3,176.9,23
2023-11-17 14:35:00,8515,177.0467,177.7,176.94,177.7,176.72,139
2023-11-17 14:36:00,2667,176.4412,176.81,175.98,176.81,175.98,79
2023-11-17 14:37:00,890,176.1888,176.0,176.57,176.57,176.0,43
2023-11-17 14:38:00,28722,176.6013,176.56,176.445,176.655,176.445,138
2023-11-17 14:39:00,533,176.3594,176.595,176.1249,176.595,176.1249,15
2023-11-17 14:40:00,1969,176.1209,175.8669,176.035,176.035,175.8669,48
2023-11-17 14:41:00,679,176.1366,176.045,176.28,176.28,176.045,28
2023-11-17 14:42:00,6794,176.2877,176.28,176.255,176.34,176.15,121
2023-11-17 14:43:00,2592,176.3721,176.2,176.33,176.5,176.2,72
2023-11-17 14:44:00,4306,176.2241,176.44,175.93,176.525,175.93,76
2023-11-17 14:45:00,2805,176.1498,176.14,176.14,176.185,175.92,48
2023-11-17 14:46:00,1194,176.2131,176.14,176.145,176.45,176.14,25
2023-11-17 14:47:00,5003,175.9214,176.02,176.01,176.02,175.84,151
2023-11-17 14:48:00,688,175.9332,175.935,175.935,175.935,175.935,22
2023-11-17 14:49:00,1618,176.0898,176.07,176.29,176.29,176.07,41
2023-11-17 14:50:00,5028,176.1181,176.195,176.07,176.32,176.02,87
2023-11-17 14:51:00,4946,176.0125,176.07,176.005,176.09,175.94,95
2023-11-17 14:52:00,1652,176.0248,175.945,176.035,176.07,175.945,42
2023-11-17 14:53:00,2976,176.1212,176.045,176.055,176.1479,176.03,47
2023-11-17 14:54:00,7428,175.9673,175.95,175.83,176.055,175.83,128
2023-11-17 14:55:00,1351,175.8179,175.83,175.795,175.83,175.795,45
2023-11-17 14:56:00,1069,175.7234,175.795,175.715,175.795,175.71,29
2023-11-17 14:57:00,2929,175.8124,175.7,175.73,175.8599,175.7,26
2023-11-17 14:58:00,6238,175.885,175.86,175.89,175.96,175.83,121
2023-11-17 14:59:00,311,175.8847,175.885,175.89,175.89,175.885,20
2023-11-17 15:00:00,11689,175.7676,175.804,175.71,175.89,175.64,206
2023-11-17 15:01:00,1996,175.8849,175.715,175.98,176.0,175.715,77
2023-11-17 15:02:00,887,175.95,175.935,175.935,175.935,175.935,21
2023-11-17 15:03:00,3588,175.9144,176.025,175.89,176.025,175.81,40
2023-11-17 15:04:00,579,176.0671,176.2,176.2,176.2,176.19,16
2023-11-17 15:05:00,1123,175.9915,176.2,175.96,176.2,175.96,24
2023-11-17 15:06:00,7668,175.7996,175.84,175.795,175.94,175.72,106
2023-11-17 15:07:00,6471,175.8851,175.795,175.94,175.95,175.795,87
2023-11-17 15:08:00,3493,176.0257,175.95,176.16,176.16,175.95,59
2023-11-17 15:09:00,5846,175.9233,176.1,175.92,176.1,175.81,153
2023-11-17 15:10:00,4915,175.8837,175.91,175.89,176.02,175.82,57
2023-11-17 15:11:00,44647,175.8225,175.93,175.82,175.98,175.74,66
2023-11-17 15:12:00,954,175.8154,175.82,175.815,175.82,175.81,21
2023-11-17 15:13:00,297,175.8191,175.815,175.815,175.815,175.815,11
2023-11-17 15:14:00,7585,175.7548,175.82,175.91,175.91,175.66,159
2023-11-17 15:15:00,9235,176.0063,175.97,176.175,176.175,175.95,160
2023-11-17 15:16:00,10964,176.0021,175.98,175.895,176.085,175.86,144
2023-11-17 15:17:00,831,175.8745,175.88,175.865,175.88,175.8453,25
2023-11-17 15:18:00,1897,175.9397,175.82,175.98,175.99,175.82,60
2023-11-17 15:19:00,1536,175.9044,175.93,175.88,175.93,175.87,38
2023-11-17 15:20:00,796,175.88,175.885,175.885,175.885,175.885,16
2023-11-17 15:21:00,3681,175.8235,175.885,175.875,175.885,175.75,91
2023-11-17 15:22:00,9567,175.7769,175.805,175.785,175.83,175.72,116
2023-11-17 15:23:00,10720,175.8973,175.86,175.84,175.98,175.78,158
2023-11-17 15:24:00,458,175.8337,175.855,175.835,175.855,175.835,11
2023-11-17 15:25:00,3680,175.9038,175.89,175.95,175.95,175.865,72
2023-11-17 15:26:00,10984,175.8754,175.86,175.875,175.91,175.83,102
2023-11-17 15:27:00,5685,175.9043,175.8673,175.925,175.96,175.8,65
2023-11-17 15:28:00,3825,175.8351,175.98,175.84,175.98,175.77,81
2023-11-17 15:29:00,672,175.9182,176.0155,175.95,176.0155,175.95,39
2023-11-17 15:30:00,3210,175.8708,175.92,175.87,175.92,175.8,72
2023-11-17 15:31:00,1395,175.84,175.82,175.825,175.87,175.8,36
2023-11-17 15:32:00,3314,175.8226,175.795,175.82,175.87,175.795,58
2023-11-17 15:33:00,5022,175.8066,175.79,175.8,175.85,175.75,76
2023-11-17 15:35:00,4079,175.8554,175.85,175.88,175.88,175.8,77
2023-11-17 15:36:00,9881,175.8265,175.9,175.685,175.92,175.685,182
2023-11-17 15:37:00,2093,175.7489,175.65,175.76,175.77,175.65,49
2023-11-17 15:38:00,357,175.6731,175.67,175.67,175.67,175.67,25
2023-11-17 15:39:00,1583,175.6997,175.73,175.71,175.73,175.64,51
2023-11-17 15:40:00,3117,175.5304,175.65,175.37,175.69,175.37,117
2023-11-17 15:41:00,824,175.3712,175.41,175.41,175.41,175.41,38
2023-11-17 15:42:00,3410,175.4375,175.45,175.425,175.47,175.39,70
2023-11-17 15:43:00,956,175.4539,175.3142,175.53,175.53,175.3142,36
2023-11-17 15:44:00,630,175.6452,175.665,175.665,175.665,175.665,44
2023-11-17 15:45:00,446,175.7855,175.745,175.745,175.745,175.745,15
